workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,8.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,18.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,43.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,99.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,228.0,0,16280000000,16280000000,0,0,46,0,0,0,0
default,sweep,528.0,520,16270737351,16270000000,737351,1474702,45,0,1,0,0
default,sweep,1220.0,920,94645314,90000000,4645314,9290628,45,0,1,0,0
default,sweep,2819.0,2416,76944663,70000000,6944663,13889326,43,0,3,0,0
default,sweep,4096.0,3856,71561998,70000000,1561998,3123996,43,0,1,0,2
default,sweep,6515.0,5856,70000000,70000000,0,0,42,0,0,0,4
default,sweep,15057.0,14960,70000000,70000000,0,0,36,0,0,0,10
default,sweep,16384.0,14960,70000000,70000000,0,0,36,0,0,0,10
default,sweep,34800.0,31840,70000000,70000000,0,0,29,0,0,0,17
default,sweep,65536.0,42528,70000000,70000000,0,0,26,0,0,0,20
default,sweep,80432.0,80432,70000000,70000000,0,0,25,0,0,0,21
default,interpret,,0,16280000000,16280000000,0,0,46,0,0,0,0
default,jit,,40216,376395461,70000000,306395461,306395461,0,46,0,0,0
default,static,,103304,70000000,70000000,0,0,0,0,0,0,46
default,unbounded min-E2E,,80432,70000000,70000000,0,0,25,0,0,0,21
