workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,8.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,18.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,43.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,99.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,228.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,527.0,0,11950000000,11950000000,0,0,46,0,0,0,0
default,sweep,1218.0,856,83887842,80000000,3887842,7775685,45,0,1,0,0
default,sweep,2816.0,2536,70970312,70000000,970312,1940624,44,0,1,0,1
default,sweep,4096.0,3360,70000000,70000000,0,0,44,0,0,0,2
default,sweep,6507.0,6448,70000000,70000000,0,0,41,0,0,0,5
default,sweep,15037.0,14816,70000000,70000000,0,0,36,0,0,0,10
default,sweep,16384.0,14816,70000000,70000000,0,0,36,0,0,0,10
default,sweep,34750.0,31712,70000000,70000000,0,0,29,0,0,0,17
default,sweep,65536.0,42400,70000000,70000000,0,0,26,0,0,0,20
default,sweep,80304.0,80304,70000000,70000000,0,0,25,0,0,0,21
default,interpret,,0,11950000000,11950000000,0,0,46,0,0,0,0
default,jit,,40152,375012378,70000000,305012378,305012378,0,46,0,0,0
default,static,,103176,70000000,70000000,0,0,0,0,0,0,46
default,unbounded min-E2E,,80304,70000000,70000000,0,0,25,0,0,0,21
