workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,18.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,42.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,96.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,223.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,516.0,0,5260000000,5260000000,0,0,95,0,0,0,0
default,sweep,1195.0,1072,5180000000,5180000000,0,0,94,0,0,0,1
default,sweep,2764.0,2424,4538650639,4530000000,8650639,17301278,93,0,2,0,0
default,sweep,4096.0,3792,4422626596,4410000000,12626596,25253193,92,0,3,0,0
default,sweep,6397.0,1368,5143975957,5140000000,3975957,7951915,93,0,2,0,0
default,sweep,14803.0,9368,170169314,130000000,40169314,80338629,90,0,4,0,1
default,sweep,16384.0,11176,96194786,50000000,46194786,92389572,88,0,7,0,0
default,sweep,34255.0,28400,50000000,50000000,0,0,87,0,0,0,8
default,sweep,65536.0,60304,50000000,50000000,0,0,65,0,0,0,30
default,sweep,79270.0,73008,50000000,50000000,0,0,58,0,0,0,37
default,sweep,183440.0,175192,50000000,50000000,0,0,26,0,0,0,69
default,interpret,,0,5260000000,5260000000,0,0,95,0,0,0,0
default,jit,,83472,513682348,50000000,463682348,463682348,0,95,0,0,0
default,static,,219328,50000000,50000000,0,0,0,0,0,0,95
default,unbounded min-E2E,,175192,50000000,50000000,0,0,26,0,0,0,69
