workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,14.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,32.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,75.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,174.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,404.0,0,930000000,930000000,0,0,68,0,0,0,0
default,sweep,936.0,520,920749236,920000000,749236,1498473,67,0,1,0,0
default,sweep,2170.0,2120,341251867,330000000,11251867,22503735,67,0,1,0,0
default,sweep,4096.0,3840,66577103,50000000,16577103,33154206,65,0,3,0,0
default,sweep,5030.0,4360,65827866,50000000,15827866,31655733,65,0,2,0,1
default,sweep,11659.0,10976,50000000,50000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,50000000,50000000,0,0,59,0,0,0,9
default,sweep,27023.0,25936,50000000,50000000,0,0,53,0,0,0,15
default,sweep,62633.0,60944,50000000,50000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,50000000,50000000,0,0,36,0,0,0,32
default,sweep,145168.0,145168,50000000,50000000,0,0,27,0,0,0,41
default,interpret,,0,930000000,930000000,0,0,68,0,0,0,0
default,jit,,72584,549537866,50000000,499537866,499537866,0,68,0,0,0
default,static,,168920,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145168,50000000,50000000,0,0,27,0,0,0,41
default,aot+jit,,168920,50000000,50000000,0,0,0,0,0,0,68
default,aot+interp,,168920,50000000,50000000,0,0,0,0,0,0,68
default,interp+jit,,3840,83154206,50000000,33154206,33154206,65,3,0,0,0
