workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,19.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,44.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,102.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,236.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,546.0,0,2090000000,2090000000,0,0,85,0,0,0,0
default,sweep,1263.0,1024,2090000000,2090000000,0,0,84,0,0,0,1
default,sweep,2924.0,2048,2090000000,2090000000,0,0,83,0,0,0,2
default,sweep,4096.0,3088,2090000000,2090000000,0,0,82,0,0,0,3
default,sweep,6770.0,6680,40722159,10000000,30722159,61444319,82,0,1,0,2
default,sweep,15672.0,14544,10000000,10000000,0,0,79,0,0,0,6
default,sweep,16384.0,15792,10000000,10000000,0,0,78,0,0,0,7
default,sweep,36281.0,35056,10000000,10000000,0,0,66,0,0,0,19
default,sweep,65536.0,64672,10000000,10000000,0,0,50,0,0,0,35
default,sweep,83989.0,82272,10000000,10000000,0,0,42,0,0,0,43
default,sweep,194432.0,194432,10000000,10000000,0,0,22,0,0,0,63
default,interpret,,0,2090000000,2090000000,0,0,85,0,0,0,0
default,jit,,97216,651132640,10000000,641132640,641132640,0,85,0,0,0
default,static,,214224,10000000,10000000,0,0,0,0,0,0,85
default,unbounded min-E2E,,194432,10000000,10000000,0,0,22,0,0,0,63
default,aot+jit,,214224,10000000,10000000,0,0,0,0,0,0,85
default,aot+interp,,214224,10000000,10000000,0,0,0,0,0,0,85
default,interp+jit,,4632,71444319,10000000,61444319,61444319,84,1,0,0,0
