workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,155320000000,155320000000,0,0,111,0,0,0,0
default,sweep,21.0,0,155320000000,155320000000,0,0,111,0,0,0,0
default,sweep,49.0,0,155320000000,155320000000,0,0,111,0,0,0,0
default,sweep,112.0,0,155320000000,155320000000,0,0,111,0,0,0,0
default,sweep,260.0,0,155320000000,155320000000,0,0,111,0,0,0,0
default,sweep,600.0,544,155310980262,155310000000,980262,1960525,110,0,1,0,0
default,sweep,1388.0,1128,65012816642,65010000000,2816642,5633284,109,0,2,0,0
default,sweep,3209.0,2952,37660284426,37650000000,10284426,20568852,108,0,3,0,0
default,sweep,4096.0,3608,12733918585,12720000000,13918585,27837170,108,0,3,0,0
default,sweep,7419.0,6880,1365507724,1340000000,25507724,51015448,106,0,5,0,0
default,sweep,16384.0,16136,1084577022,1030000000,54577022,109154045,105,0,4,0,2
default,sweep,17154.0,17040,1081435930,1030000000,51435930,102871860,105,0,4,0,2
default,sweep,39664.0,39392,1030000000,1030000000,0,0,94,0,0,0,17
default,sweep,65536.0,64624,1030000000,1030000000,0,0,79,0,0,0,32
default,sweep,91710.0,89520,1030000000,1030000000,0,0,67,0,0,0,44
default,sweep,212048.0,212048,1030000000,1030000000,0,0,50,0,0,0,61
default,interpret,,0,155320000000,155320000000,0,0,111,0,0,0,0
default,jit,,106024,1772654072,1030000000,742654072,742654072,0,111,0,0,0
default,static,,256712,1030000000,1030000000,0,0,0,0,0,0,111
default,unbounded min-E2E,,212048,1030000000,1030000000,0,0,50,0,0,0,61
default,aot+jit,,256712,1030000000,1030000000,0,0,0,0,0,0,111
default,aot+interp,,256712,1030000000,1030000000,0,0,0,0,0,0,111
default,interp+jit,,13728,1157762372,1030000000,127762372,127762372,105,6,0,0,0
