workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,sweep,43.0,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,sweep,99.0,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,sweep,230.0,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,sweep,531.0,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,sweep,1226.0,1048,2532985494592,2532980000000,5494592,10989185,133,0,1,0,0
default,sweep,2833.0,2800,1749888907682,1749880000000,8907682,17815364,132,0,2,0,0
default,sweep,4096.0,4080,437748767435,437730000000,18767435,37534871,131,0,3,0,0
default,sweep,6547.0,6160,290340461272,290310000000,30461272,60922545,130,0,4,0,0
default,sweep,15128.0,14504,101446795284,101380000000,66795284,133590568,124,0,10,0,0
default,sweep,16384.0,16344,101436554999,101380000000,56554999,113109999,124,0,9,0,1
default,sweep,34957.0,34632,18109993647,17880000000,229993647,459987295,123,0,11,0,0
default,sweep,65536.0,65456,15710363050,15460000000,250363050,500726100,120,0,7,0,7
default,sweep,80778.0,80760,15571643251,15460000000,111643251,223286503,120,0,9,0,5
default,sweep,186659.0,186368,15460000000,15460000000,0,0,78,0,0,0,56
default,sweep,262144.0,253792,15460000000,15460000000,0,0,61,0,0,0,73
default,sweep,431328.0,431328,15460000000,15460000000,0,0,54,0,0,0,80
default,interpret,,0,3842990000000,3842990000000,0,0,134,0,0,0,0
default,jit,,215664,17169408394,15460000000,1709408394,1709408394,0,134,0,0,0
default,static,,506096,15460000000,15460000000,0,0,0,0,0,0,134
default,unbounded min-E2E,,431328,15460000000,15460000000,0,0,54,0,0,0,80
default,aot+jit,,506096,15460000000,15460000000,0,0,0,0,0,0,134
default,aot+interp,,506096,15460000000,15460000000,0,0,0,0,0,0,134
default,interp+jit,,55984,16058281928,15460000000,598281928,598281928,120,14,0,0,0
