workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
create-insert-select,sweep,0.0,0,4410000000,4410000000,0,0,2911,0,0,0,0
create-insert-select,sweep,342.0,0,4410000000,4410000000,0,0,2911,0,0,0,0
create-insert-select,sweep,790.0,656,4136930329,4135000000,1930329,3860659,2910,0,1,0,0
create-insert-select,sweep,1825.0,1800,3889493362,3885000000,4493362,8986725,2908,0,3,0,0
create-insert-select,sweep,4096.0,3960,3402606858,3390000000,12606858,25213716,2907,0,4,0,0
create-insert-select,sweep,4217.0,3960,3402606858,3390000000,12606858,25213716,2907,0,4,0,0
create-insert-select,sweep,9742.0,9704,2550810498,2519999999,30810499,61620999,2904,0,7,0,0
create-insert-select,sweep,16384.0,16360,1836177446,1783333332,52844114,105688229,2898,0,13,0,0
create-insert-select,sweep,22506.0,22432,1409583489,1343333331,66250158,132500317,2892,0,19,0,0
create-insert-select,sweep,51994.0,50992,553120860,393333330,159787530,319575061,2874,0,37,0,0
create-insert-select,sweep,65536.0,64560,363160653,168333330,194827323,389654647,2864,0,47,0,0
create-insert-select,sweep,120119.0,119240,146351210,83333330,63017880,126035760,2854,0,32,0,25
create-insert-select,sweep,262144.0,260928,43333330,43333330,0,0,2848,0,0,0,63
create-insert-select,sweep,277501.0,275456,43333330,43333330,0,0,2833,0,0,0,78
create-insert-select,sweep,641091.0,634872,43333330,43333330,0,0,2577,0,0,0,334
create-insert-select,sweep,1048576.0,1040848,43333330,43333330,0,0,2371,0,0,0,540
create-insert-select,sweep,1481066.0,1469992,43333330,43333330,0,0,2185,0,0,0,726
create-insert-select,sweep,3421600.0,3404496,43333330,43333330,0,0,1864,0,0,0,1047
create-insert-select,interpret,,0,4410000000,4410000000,0,0,2911,0,0,0,0
create-insert-select,jit,,1695840,10604954187,46666663,10558287524,10558287524,0,2911,0,0,0
create-insert-select,static,,6254360,46666663,46666663,0,0,0,0,0,0,2911
create-insert-select,unbounded min-E2E,,3404496,43333330,43333330,0,0,1864,0,0,0,1047
bulk-insert-transaction,sweep,0.0,0,37350000000,37350000000,0,0,2888,23,0,0,0
bulk-insert-transaction,sweep,349.0,0,37350000000,37350000000,0,0,2888,23,0,0,0
bulk-insert-transaction,sweep,806.0,584,33306747900,33305000000,1747900,3495800,2887,23,1,0,0
bulk-insert-transaction,sweep,1863.0,1728,30724349985,30720000000,4349985,8699970,2885,23,3,0,0
bulk-insert-transaction,sweep,4096.0,4064,25498802502,25485000000,13802502,27605004,2885,23,3,0,0
bulk-insert-transaction,sweep,4306.0,4272,25328909799,25315000000,13909799,27819599,2883,23,5,0,0
bulk-insert-transaction,sweep,9949.0,9664,17715187558,17685000000,30187558,60375116,2879,23,9,0,0
bulk-insert-transaction,sweep,16384.0,16280,12997249371,12950000000,47249371,94498743,2874,23,14,0,0
bulk-insert-transaction,sweep,22989.0,22960,9654940887,9585000000,69940887,139881774,2868,23,20,0,0
bulk-insert-transaction,sweep,53120.0,52936,3306615163,3140000000,166615163,333230326,2848,23,40,0,0
bulk-insert-transaction,sweep,65536.0,65536,1906116608,1705000000,201116608,402233216,2840,23,48,0,0
bulk-insert-transaction,sweep,122743.0,122640,461909232,295000000,166909232,333818464,2815,23,61,0,12
bulk-insert-transaction,sweep,262144.0,261616,245000000,245000000,0,0,2789,23,0,0,99
bulk-insert-transaction,sweep,283618.0,283360,245000000,245000000,0,0,2769,23,0,0,119
bulk-insert-transaction,sweep,655349.0,653632,235000000,235000000,0,0,2567,23,0,0,321
bulk-insert-transaction,sweep,1048576.0,1048160,235000000,235000000,0,0,2365,23,0,0,523
bulk-insert-transaction,sweep,1514298.0,1512928,235000000,235000000,0,0,2161,23,0,0,727
bulk-insert-transaction,sweep,3499048.0,3455184,235000000,235000000,0,0,1827,23,0,0,1061
bulk-insert-transaction,interpret,,0,37350000000,37350000000,0,0,2911,0,0,0,0
bulk-insert-transaction,jit,,1729216,10990406984,245000000,10745406984,10745406984,0,2911,0,0,0
bulk-insert-transaction,static,,6287736,245000000,245000000,0,0,0,0,0,0,2911
bulk-insert-transaction,unbounded min-E2E,,3455184,235000000,235000000,0,0,1827,23,0,0,1061
select-where-index,sweep,0.0,0,25070000000,25070000000,0,0,2897,14,0,0,0
select-where-index,sweep,369.0,0,25070000000,25070000000,0,0,2897,14,0,0,0
select-where-index,sweep,853.0,584,24251778614,24250000000,1778614,3557228,2896,14,1,0,0
select-where-index,sweep,1970.0,1784,23096423357,23090000000,6423357,12846714,2895,14,2,0,0
select-where-index,sweep,4096.0,4024,21541318305,21530000000,11318305,22636610,2892,14,5,0,0
select-where-index,sweep,4552.0,4456,21115570102,21100000000,15570102,31140205,2891,14,6,0,0
select-where-index,sweep,10518.0,10352,17532781445,17500000000,32781445,65562890,2887,14,10,0,0
select-where-index,sweep,16384.0,16280,14483389335,14420000000,63389335,126778671,2883,14,14,0,0
