workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,9.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,21.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,48.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,111.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,258.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,597.0,0,100000000,100000000,0,0,45,0,0,0,0
default,sweep,1381.0,1296,40000000,40000000,0,0,44,0,0,0,1
default,sweep,3195.0,3120,27434039,20000000,7434039,14868078,43,0,1,0,1
default,sweep,4096.0,4072,19813183,10000000,9813183,19626367,42,0,2,0,1
default,sweep,7392.0,6544,10000000,10000000,0,0,42,0,0,0,3
default,sweep,16384.0,16112,10000000,10000000,0,0,35,0,0,0,10
default,sweep,17104.0,16112,10000000,10000000,0,0,35,0,0,0,10
default,sweep,39575.0,39232,10000000,10000000,0,0,24,0,0,0,21
default,sweep,65536.0,65184,0,0,0,0,28,0,0,0,17
default,sweep,91568.0,91568,0,0,0,0,19,0,0,0,26
default,interpret,,0,100000000,100000000,0,0,45,0,0,0,0
default,jit,,45784,335800515,0,335800515,335800515,0,45,0,0,0
default,static,,108680,0,0,0,0,0,0,0,0,45
default,unbounded min-E2E,,91568,0,0,0,0,19,0,0,0,26
default,aot+jit,,108680,0,0,0,0,0,0,0,0,45
default,aot+interp,,108680,0,0,0,0,0,0,0,0,45
default,interp+jit,,3272,37399971,10000000,27399971,27399971,42,3,0,0,0
