workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,14.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,32.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,75.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,175.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,405.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,941.0,0,810000000,810000000,0,0,68,0,0,0,0
default,sweep,2182.0,2120,301229879,290000000,11229879,22459759,67,0,1,0,0
default,sweep,4096.0,3320,55835157,40000000,15835157,31670314,66,0,2,0,0
default,sweep,5062.0,4520,51229879,40000000,11229879,22459759,66,0,1,0,1
default,sweep,11742.0,11552,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,14800,40000000,40000000,0,0,60,0,0,0,8
default,sweep,27240.0,26688,40000000,40000000,0,0,53,0,0,0,15
default,sweep,63191.0,62688,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,62688,40000000,40000000,0,0,37,0,0,0,31
default,sweep,146592.0,145552,40000000,40000000,0,0,28,0,0,0,40
default,interpret,,0,810000000,810000000,0,0,68,0,0,0,0
default,jit,,73296,568831383,50000000,518831383,518831383,0,68,0,0,0
default,static,,170344,50000000,50000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145552,40000000,40000000,0,0,28,0,0,0,40
default,aot+jit,,170344,50000000,50000000,0,0,0,0,0,0,68
default,aot+interp,,169304,40000000,40000000,0,0,1,0,0,0,67
default,interp+jit,,3320,71670314,40000000,31670314,31670314,66,2,0,0,0
