workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,14.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,32.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,75.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,175.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,405.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,938.0,0,990000000,990000000,0,0,68,0,0,0,0
default,sweep,2176.0,2120,321182279,310000000,11182279,22364558,67,0,1,0,0
default,sweep,4096.0,3320,75793857,60000000,15793857,31587714,66,0,2,0,0
default,sweep,5046.0,4520,71182279,60000000,11182279,22364558,66,0,1,0,1
default,sweep,11700.0,10976,60000000,60000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,60000000,60000000,0,0,59,0,0,0,9
default,sweep,27130.0,26400,60000000,60000000,0,0,53,0,0,0,15
default,sweep,62909.0,60944,60000000,60000000,0,0,37,0,0,0,31
default,sweep,65536.0,64368,60000000,60000000,0,0,36,0,0,0,32
default,sweep,145872.0,145872,60000000,60000000,0,0,27,0,0,0,41
default,interpret,,0,990000000,990000000,0,0,68,0,0,0,0
default,jit,,72936,569178455,60000000,509178455,509178455,0,68,0,0,0
default,static,,169624,60000000,60000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145872,60000000,60000000,0,0,27,0,0,0,41
default,aot+jit,,169624,60000000,60000000,0,0,0,0,0,0,68
default,aot+interp,,169624,60000000,60000000,0,0,0,0,0,0,68
default,interp+jit,,3320,91587714,60000000,31587714,31587714,66,2,0,0,0
