workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,14.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,32.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,75.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,175.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,405.0,0,790000000,790000000,0,0,68,0,0,0,0
default,sweep,939.0,520,780802956,780000000,802956,1605913,67,0,1,0,0
default,sweep,2178.0,2120,311217488,300000000,11217488,22434977,67,0,1,0,0
default,sweep,4096.0,3840,56607383,40000000,16607383,33214766,65,0,3,0,0
default,sweep,5050.0,5040,52020445,40000000,12020445,24040890,65,0,2,0,1
default,sweep,11711.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27160.0,25936,40000000,40000000,0,0,53,0,0,0,15
default,sweep,62984.0,60944,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,40000000,40000000,0,0,36,0,0,0,32
default,sweep,146064.0,146064,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,790000000,790000000,0,0,68,0,0,0,0
default,jit,,73032,549140108,40000000,509140108,509140108,0,68,0,0,0
default,static,,169816,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146064,40000000,40000000,0,0,27,0,0,0,41
