workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,14.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,32.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,75.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,174.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,404.0,0,610000000,610000000,0,0,68,0,0,0,0
default,sweep,936.0,520,600733166,600000000,733166,1466333,67,0,1,0,0
default,sweep,2169.0,2120,321165920,310000000,11165920,22331841,67,0,1,0,0
default,sweep,4096.0,3840,96512103,80000000,16512103,33024206,65,0,3,0,0
default,sweep,5028.0,4360,95778936,80000000,15778936,31557873,65,0,2,0,1
default,sweep,11652.0,10976,80000000,80000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,80000000,80000000,0,0,59,0,0,0,9
default,sweep,27004.0,25936,80000000,80000000,0,0,53,0,0,0,15
default,sweep,62583.0,60944,80000000,80000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,80000000,80000000,0,0,36,0,0,0,32
default,sweep,145040.0,145040,80000000,80000000,0,0,27,0,0,0,41
default,interpret,,0,610000000,610000000,0,0,68,0,0,0,0
default,jit,,72520,794217890,80000000,714217890,714217890,0,68,0,0,0
default,static,,168792,80000000,80000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,145040,80000000,80000000,0,0,27,0,0,0,41
