workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,14.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,32.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,75.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,175.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,405.0,0,590000000,590000000,0,0,68,0,0,0,0
default,sweep,940.0,520,580745971,580000000,745971,1491942,67,0,1,0,0
default,sweep,2182.0,2120,311218119,300000000,11218119,22436239,67,0,1,0,0
default,sweep,4096.0,3840,56566938,40000000,16566938,33133877,65,0,3,0,0
default,sweep,5061.0,5040,51964090,40000000,11964090,23928181,65,0,2,0,1
default,sweep,11739.0,10976,40000000,40000000,0,0,62,0,0,0,6
default,sweep,16384.0,15840,40000000,40000000,0,0,59,0,0,0,9
default,sweep,27233.0,25936,40000000,40000000,0,0,53,0,0,0,15
default,sweep,63172.0,60944,40000000,40000000,0,0,37,0,0,0,31
default,sweep,65536.0,63728,40000000,40000000,0,0,36,0,0,0,32
default,sweep,146544.0,146544,40000000,40000000,0,0,27,0,0,0,41
default,interpret,,0,590000000,590000000,0,0,68,0,0,0,0
default,jit,,73272,552663225,40000000,512663225,512663225,0,68,0,0,0
default,static,,170296,40000000,40000000,0,0,0,0,0,0,68
default,unbounded min-E2E,,146544,40000000,40000000,0,0,27,0,0,0,41
