workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,664820000000,664820000000,0,0,664,0,0,0,0
default,sweep,138.0,0,664820000000,664820000000,0,0,664,0,0,0,0
default,sweep,319.0,0,664820000000,664820000000,0,0,664,0,0,0,0
default,sweep,737.0,552,541380980487,541380000000,980487,1960974,663,0,1,0,0
default,sweep,1704.0,1424,375954830560,375950000000,4830560,9661120,662,0,2,0,0
default,sweep,3938.0,3928,226924237179,226910000000,14237179,28474359,660,0,4,0,0
default,sweep,4096.0,3928,226924237179,226910000000,14237179,28474359,660,0,4,0,0
default,sweep,9102.0,9024,63799730177,63770000000,29730177,59460354,654,0,10,0,0
default,sweep,16384.0,16368,39031910286,38980000000,51910286,103820572,648,0,16,0,0
default,sweep,21038.0,20960,33823171659,33760000000,63171659,126343319,644,0,20,0,0
default,sweep,48626.0,48328,9237412106,9030000000,207412106,414824213,642,0,22,0,0
default,sweep,65536.0,65480,5193916650,4960000000,233916650,467833301,623,0,41,0,0
default,sweep,112389.0,112272,4762569613,4590000000,172569613,345139227,596,0,66,0,2
default,sweep,259764.0,259592,3192336889,3010000000,182336889,364673778,593,0,69,0,2
default,sweep,262144.0,262056,3180318725,3010000000,170318725,340637450,593,0,68,0,3
default,sweep,600391.0,599424,2960000000,2960000000,0,0,425,0,0,0,239
default,sweep,1048576.0,1047376,2960000000,2960000000,0,0,218,0,0,0,446
default,sweep,1387680.0,1387680,2960000000,2960000000,0,0,167,0,0,0,497
default,interpret,,0,664820000000,664820000000,0,0,664,0,0,0,0
default,jit,,693840,6963625609,2960000000,4003625609,4003625609,0,664,0,0,0
default,static,,1593168,2960000000,2960000000,0,0,0,0,0,0,664
default,unbounded min-E2E,,1387680,2960000000,2960000000,0,0,167,0,0,0,497
default,aot+jit,,1593168,2960000000,2960000000,0,0,0,0,0,0,664
default,aot+interp,,1593168,2960000000,2960000000,0,0,0,0,0,0,664
default,interp+jit,,171080,4892580957,2990000000,1902580957,1902580957,591,73,0,0,0
