workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,sweep,38.0,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,sweep,88.0,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,sweep,203.0,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,sweep,470.0,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,sweep,1087.0,944,1383561647684,1383560000000,1647684,3295369,192,0,1,0,0
default,sweep,2514.0,2424,1048113818100,1048110000000,3818100,7636200,191,0,2,0,0
default,sweep,4096.0,3656,905308011035,905300000000,8011035,16022070,189,0,4,0,0
default,sweep,5814.0,5728,700264298476,700250000000,14298476,28596952,188,0,5,0,0
default,sweep,13445.0,12952,327280949093,327240000000,40949093,81898186,184,0,9,0,0
default,sweep,16384.0,16272,234694613874,234650000000,44613874,89227748,181,0,11,0,1
default,sweep,31093.0,31056,88965491258,88880000000,85491258,170982516,172,0,21,0,0
default,sweep,65536.0,64976,42297363745,42090000000,207363745,414727490,157,0,36,0,0
default,sweep,71908.0,71600,39119529305,38900000000,219529305,439058611,151,0,42,0,0
default,sweep,166299.0,166296,35289617256,35260000000,29617256,59234512,142,0,19,0,32
default,sweep,262144.0,261168,35250000000,35250000000,0,0,105,0,0,0,88
default,sweep,384592.0,384592,35250000000,35250000000,0,0,81,0,0,0,112
default,interpret,,0,1617250000000,1617250000000,0,0,193,0,0,0,0
default,jit,,192296,36391249299,35250000000,1141249299,1141249299,0,193,0,0,0
default,static,,482320,35250000000,35250000000,0,0,0,0,0,0,193
default,unbounded min-E2E,,384592,35250000000,35250000000,0,0,81,0,0,0,112
default,aot+jit,,482320,35250000000,35250000000,0,0,0,0,0,0,193
default,aot+interp,,482320,35250000000,35250000000,0,0,0,0,0,0,193
default,interp+jit,,92496,35816686048,35260000000,556686048,556686048,142,51,0,0,0
