workload,label,budget,code_size,e2e,exec,waiting,compilation,interpret,jit,async,specialize,static
default,sweep,0.0,0,98770000000,98770000000,0,0,669,0,0,0,0
default,sweep,203.0,0,98770000000,98770000000,0,0,669,0,0,0,0
default,sweep,469.0,0,98770000000,98770000000,0,0,669,0,0,0,0
default,sweep,1084.0,928,95064160142,95060000000,4160142,8320284,668,0,1,0,0
default,sweep,2506.0,2496,89266170561,89250000000,16170561,32341123,668,0,1,0,0
default,sweep,4096.0,4056,83092627152,83070000000,22627152,45254305,666,0,3,0,0
default,sweep,5791.0,5664,77292953419,77260000000,32953419,65906839,665,0,4,0,0
default,sweep,13382.0,13232,56642480549,56570000000,72480549,144961099,658,0,11,0,0
default,sweep,16384.0,16304,48914037409,48820000000,94037409,188074819,659,0,10,0,0
default,sweep,30926.0,30888,26204235551,26030000000,174235551,348471103,651,0,18,0,0
default,sweep,65536.0,65456,8038013097,7700000000,338013097,676026195,626,0,43,0,0
default,sweep,71472.0,71312,6727691982,6360000000,367691982,735383964,623,0,46,0,0
default,sweep,165173.0,165136,2325563909,1720000000,605563909,1211127818,565,0,98,0,6
default,sweep,262144.0,262136,1805231456,1480000000,325231456,650462912,564,0,78,0,27
default,sweep,381719.0,381712,1344856286,1280000000,64856286,129712573,557,0,33,0,79
default,sweep,882163.0,881152,920000000,920000000,0,0,509,0,0,0,160
default,sweep,1048576.0,1047088,920000000,920000000,0,0,416,0,0,0,253
default,sweep,2038704.0,2030400,920000000,920000000,0,0,285,0,0,0,384
default,interpret,,0,98770000000,98770000000,0,0,669,0,0,0,0
default,jit,,1019352,8497223822,950000000,7547223822,7547223822,0,669,0,0,0
default,static,,2610680,950000000,950000000,0,0,0,0,0,0,669
default,unbounded min-E2E,,2030400,920000000,920000000,0,0,285,0,0,0,384
default,aot+jit,,2610680,950000000,950000000,0,0,0,0,0,0,669
default,aot+interp,,2602376,920000000,920000000,0,0,3,0,0,0,666
default,interp+jit,,169096,3058271929,1610000000,1448271929,1448271929,562,107,0,0,0
