id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,84,984,68510,0,0,4613041,984,63070,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4682731,0,1,1476353,512,66840,0,1,999999999999,999999999999,999999999999
42,__main_void,214,1392,6159714,0,1,4932321,1392,67460,0,1,999999999999,999999999999,999999999999
44,__wasi_args_sizes_get,18,824,11092625,0,1,1929595,824,71110,0,1,999999999999,999999999999,999999999999
34,malloc,12,808,13025860,0,2,1806794,808,75160,0,2,999999999999,999999999999,999999999999
35,dlmalloc,5377,8240,14833504,0,3,80549507,8240,75590,0,3,999999999999,999999999999,999999999999
39,calloc,108,984,95388351,0,1,3592458,984,86900,0,1,999999999999,999999999999,999999999999
86,memset,394,1200,98981889,0,8,9138851,1200,90610,0,6,999999999999,999999999999,999999999999
43,__wasi_args_get,18,816,108121950,0,1,1780165,816,92280,0,1,999999999999,999999999999,999999999999
14,main,2429,6200,109903845,0,1,33763168,6200,93350,0,1,999999999999,999999999999,999999999999
32,portable_init,10,520,143668363,0,1,1635993,520,94510,0,1,999999999999,999999999999,999999999999
21,get_seed_32,47,544,145305146,0,6,2084925,544,95020,0,6,999999999999,999999999999,999999999999
26,portable_malloc,11,808,147391161,0,1,1653324,808,98260,0,1,999999999999,999999999999,999999999999
12,core_list_init,712,1288,149048535,0,1,13330591,1288,104330,0,1,999999999999,999999999999,999999999999
17,core_init_matrix,328,904,162381616,0,1,9003151,904,199590,0,1,999999999999,999999999999,999999999999
20,core_init_state,341,3992,171385916,0,1,25587629,3992,229800,0,1,999999999999,999999999999,999999999999
28,start_time,22,832,196976506,0,1,1882054,832,324140,0,1,999999999999,999999999999,999999999999
40,__clock_gettime,125,1024,198859440,0,2,3401268,1024,324500,0,2,999999999999,999999999999,999999999999
45,__wasi_clock_time_get,20,824,202261558,0,2,1934005,824,327840,0,2,999999999999,999999999999,999999999999
13,iterate,167,1328,204203823,0,1,4977461,1328,332451,0,1,999999999999,999999999999,999999999999
11,core_bench_list,1399,2768,209181874,4800000000,600000,26086520,2768,333211,283300000000,600000,999999999999,999999999999,999999999999
10,calc_func,207,1296,235279124,1030000000,66635458,5825524,1296,785332,36090000000,66635458,999999999999,999999999999,999999999999
22,crcu16,497,1008,241105278,3470000000,87600004,6722975,1008,786332,706650000000,87600004,999999999999,999999999999,999999999999
15,core_bench_matrix,40,976,247830423,0,1200000,2567526,976,829462,240000000,1200000,999999999999,999999999999,999999999999
16,matrix_test,2695,6952,250398729,200000000,1200000,72275478,6952,830092,48030000000,1200000,999999999999,999999999999,999999999999
24,crc16,18,824,322676927,620000000,40200004,1997294,824,872182,4430000000,40200004,999999999999,999999999999,999999999999
18,core_bench_state,607,2296,324684201,30000000,1200000,10593355,2296,2146865,830000000,1200000,999999999999,999999999999,999999999999
19,core_state_transition,510,1600,335278626,6280000000,307200000,7516717,1600,2148145,787980000000,307200000,999999999999,999999999999,999999999999
23,crcu32,29,920,342803323,190000000,19200000,2106975,920,2820316,3030000000,19200000,999999999999,999999999999,999999999999
29,stop_time,22,832,17129744756,0,1,2565677,832,1888325429172,0,1,999999999999,999999999999,999999999999
30,get_time,52,584,17132316653,0,1,2222425,584,1888325436032,0,1,999999999999,999999999999,999999999999
64,puts,109,984,17134540738,0,2,3016797,984,1888325448623,0,2,999999999999,999999999999,999999999999
63,fputs,37,944,17137558645,0,2,2307215,944,1888325450032,0,2,999999999999,999999999999,999999999999
87,strlen,206,656,17139867800,0,2,5187982,656,1888325450803,0,2,999999999999,999999999999,999999999999
62,fwrite,289,1368,17145056902,0,2,7764308,1368,1888325455623,0,2,999999999999,999999999999,999999999999
58,__towrite,94,624,17152822210,0,1,3032687,624,1888325457013,0,1,999999999999,999999999999,999999999999
85,memcpy,1008,1888,17155856017,0,109,15265675,1888,1888325466773,0,109,999999999999,999999999999,999999999999
59,__overflow,165,1192,17171123642,0,1,4471401,1192,1888325469753,0,1,999999999999,999999999999,999999999999
71,__stdout_write,60,1008,17175596022,0,1,3071938,1008,1888325471243,0,1,999999999999,999999999999,999999999999
70,__isatty,103,968,17178669100,0,1,3094757,968,1888325472313,0,1,999999999999,999999999999,999999999999
47,__wasi_fd_fdstat_get,18,824,17181764567,0,1,1939105,824,1888325473293,0,1,999999999999,999999999999,999999999999
69,__stdio_write,316,1368,17183709922,0,2,7159456,1368,1888325480903,0,2,999999999999,999999999999,999999999999
68,writev,115,984,17190870178,0,2,3077817,984,1888325482273,0,2,999999999999,999999999999,999999999999
49,__wasi_fd_write,22,824,17193949035,0,2,1918064,824,1888325483623,0,2,999999999999,999999999999,999999999999
25,check_data_types,5,520,17195907620,0,1,1582653,520,1888325529283,0,1,999999999999,999999999999,999999999999
55,printf,60,912,17197491304,0,15,2303605,912,1888325530163,0,15,999999999999,999999999999,999999999999
80,vfprintf,398,1568,17199795649,0,15,7040976,1568,1888325531173,0,15,999999999999,999999999999,999999999999
81,printf_core,8995,18856,17206837535,0,30,207348409,18856,1888325532783,0,30,999999999999,999999999999,999999999999
61,__fwritex,238,1344,17414188905,0,107,7421528,1344,1888325562373,0,107,999999999999,999999999999,999999999999
82,pop_arg,565,1808,17421613002,0,21,5862423,1808,1888325572573,0,21,999999999999,999999999999,999999999999
