id,name,size.bytecode,size.static
8,__wasm_call_ctors,3,512
9,_start,84,984
10,calc_func,207,1296
11,core_bench_list,1399,2768
12,core_list_init,712,1288
13,iterate,167,1328
14,main,2429,6200
15,core_bench_matrix,40,976
16,matrix_test,2695,6952
17,core_init_matrix,328,904
18,core_bench_state,607,2296
19,core_state_transition,510,1600
20,core_init_state,341,3992
21,get_seed_32,47,544
22,crcu16,497,1008
23,crcu32,29,920
24,crc16,18,824
25,check_data_types,5,520
26,portable_malloc,11,808
27,portable_free,11,808
28,start_time,22,832
29,stop_time,22,832
30,get_time,52,584
31,time_in_secs,16,736
32,portable_init,10,520
33,portable_fini,10,520
34,malloc,12,808
35,dlmalloc,5377,8240
36,prepend_alloc,1091,1680
37,free,12,808
38,dlfree,1713,2216
39,calloc,108,984
40,__clock_gettime,125,1024
41,_Exit,13,792
42,__main_void,214,1392
43,__wasi_args_get,18,816
44,__wasi_args_sizes_get,18,824
45,__wasi_clock_time_get,20,824
46,__wasi_fd_close,16,824
47,__wasi_fd_fdstat_get,18,824
48,__wasi_fd_seek,22,824
49,__wasi_fd_write,22,824
50,__wasi_proc_exit,12,792
51,abort,5,504
52,sbrk,79,888
53,dummy,3,512
54,__wasm_call_dtors,15,864
55,printf,60,912
56,__ofl_lock,10,520
57,__stdio_exit,388,1712
58,__towrite,94,624
59,__overflow,165,1192
60,putchar,90,888
61,__fwritex,238,1344
62,fwrite,289,1368
63,fputs,37,944
64,puts,109,984
65,__wasilibc_populate_preopens,3,512
66,close,40,936
67,__stdio_close,14,840
68,writev,115,984
69,__stdio_write,316,1368
70,__isatty,103,968
71,__stdout_write,60,1008
72,__lseek,101,976
73,__stdio_seek,18,840
74,dummy,5,512
75,__lctrans,13,808
76,strerror,87,904
77,wcrtomb,311,856
78,wctomb,26,848
79,frexp,145,1200
80,vfprintf,398,1568
81,printf_core,8995,18856
82,pop_arg,565,1808
83,pad,159,1168
84,long_double_not_supported,30,856
85,memcpy,1008,1888
86,memset,394,1200
87,strlen,206,656
88,memchr,371,800
89,strnlen,25,880
