id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74157,0,0,3670906,984,74418,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3746142,0,1,1827695,864,78579,0,1,999999999999,999999999999,999999999999
30,init,20,840,5574478,0,1,1984376,840,79352,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7559503,200000,23387,1961651,824,80913,1866666,11552,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9527682,0,1,5503151,1296,88438,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15031653,0,3,1923788,824,90256,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16961847,0,131,1792763,808,97329,0,131,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18755281,1466666,5081,99103206,9304,98207,258266666,5081,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117871322,0,2,2007887,824,124129,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119882747,0,2,5811748,1320,125597,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125695353,0,2,3356717,984,127349,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129053218,43000000,14182,9156303,1200,132071,278400000,15098,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138210730,1334666666,50500154,14630927,1824,135852,111281200000,50504075,999999999999,999999999999,999999999999
1512,free,12,808,152842714,133333,10147,1703125,808,139870,733333,10147,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154546710,933333,10215,23290893,2224,140256,29733333,10215,999999999999,999999999999,999999999999
1798,strdup,47,960,177838962,0,3,2509631,960,141939,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180349384,133333,1879,4648350,648,142863,4000000,1902,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185004679,0,1,4623777,1400,166319,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189629299,0,1,1843410,824,167533,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191475181,0,1,1911431,816,174897,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193388210,0,1,9953419,2712,176558,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203342558,0,1,1472217,512,178118,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204815698,0,1,1827731,544,178518,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206644281,0,1,3419191,648,179998,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210064379,0,1,1867277,536,181913,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211935532,0,1,9271282,1976,185230,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221207781,0,5,8633739,1504,186524,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229842483,0,18,4381651,1072,188796,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234225111,133333,1783,4593602,648,190411,133333,1783,999999999999,999999999999,999999999999
1794,strcmp,105,600,238822763,400000,18833,3551734,600,235056,8066666,18853,999999999999,999999999999,999999999999
2240,check_options,171,1024,242387783,0,1,4259696,1024,580658,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246660679,0,1,2233854,896,1355409,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248895374,0,5,4930238,1120,1356403,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253827347,0,5,2077822,824,1357169,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255906112,0,1,4629046,1360,1357990,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260536060,0,1,1934183,824,1358920,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262472614,66666,807,7284267,1144,1360836,1266666,807,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269758529,0,1,1833426,536,1366227,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271603208,0,1,1784468,808,1733685,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273388440,0,1,2136289,584,1734335,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275528947,0,1,1452312,512,1738055,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276982105,0,1,3438938,1112,1738815,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280429575,0,1,4672985,1360,2106671,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285103441,66666,1454,2563948,936,2108231,800000,1474,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287668212,200000,1489,4978272,1072,2109681,1800000,1509,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292647609,800000,1489,13028116,2584,2112386,4933333,1509,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305679141,66666,145,1750987,528,2116453,66666,165,999999999999,999999999999,999999999999
27183,format_line,895,2496,307431141,0,145,12576293,2496,2117965,333333,165,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,320008426,0,616,4223484,1048,2119869,1066666,736,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324233770,0,145,6184413,1280,2127524,200000,165,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330419252,66666,2571,4012639,1152,2130172,1466666,2934,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334433572,266666,2571,6919190,1568,2133233,2600000,2934,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341353759,600000,5143,211416021,18952,2134892,14400000,5869,999999999999,999999999999,999999999999
1724,__towrite,94,624,552772582,0,2588,3339252,624,2145038,1866666,2971,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556113816,133333,12535,7094118,1368,2149431,6066666,16113,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563209624,200000,3331,5807989,1808,2154725,7066666,4005,999999999999,999999999999,999999999999
1805,strnlen,27,880,569021822,0,1013,2100557,880,2160770,333333,1153,999999999999,999999999999,999999999999
1784,memchr,371,800,571123656,0,1066,7752886,800,2161673,2866666,1206,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578879412,66666,2617,4372626,1176,2179031,1066666,3020,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583254054,66666,681,3187008,616,2185112,2600000,1024,999999999999,999999999999,999999999999
1743,snprintf,58,912,586442912,66666,1870,2240696,912,2190408,600000,1891,999999999999,999999999999,999999999999
1572,__isatty,103,968,588688844,0,1,2972664,968,2236975,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591662643,0,4,1771790,824,2238149,0,4,999999999999,999999999999,999999999999
1796,strcpy,17,840,593440627,0,512,1736394,840,2242782,66666,532,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595178101,0,512,6431409,776,2243483,933333,532,999999999999,999999999999,999999999999
27187,sanitize,146,600,601611592,66666,581,3554818,600,2246933,3533333,661,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605167569,66666,581,3752245,1096,2248067,333333,661,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608921569,0,1,4177676,1224,2265386,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613102720,0,148,5411810,1232,2278598,200000,168,999999999999,999999999999,999999999999
1727,fputs,38,944,618515447,66666,148,2173715,944,2280717,0,168,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620690812,66666,148,7587381,1384,2283672,133333,168,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,628279565,0,148,7110749,1368,2286005,133333,168,999999999999,999999999999,999999999999
1709,writev,115,984,635391430,0,148,3056034,984,2287665,266666,168,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,638448546,0,151,1923111,824,2288874,200000,171,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,640399807,0,162,5583027,1280,2308428,400000,202,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645984310,0,145,1746512,528,2311145,0,165,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647775172,0,2,29410299,6088,3241905,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,677187329,0,1,1396727,512,3243440,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,678586775,0,1,1323611,512,3343577,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679912269,0,1,1384534,512,3443160,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,681298503,0,1,1435897,512,3543378,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682736067,0,1,1438917,512,3643001,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,684176596,0,1,1440535,512,3743067,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,685618821,0,1,1441583,512,3843477,0,1,999999999999,999999999999,999999999999
2275,postproc_configuration,3,512,687062057,0,1,1436898,512,3943180,0,1,999999999999,999999999999,999999999999
2260,avutil_version,368,1320,688500917,0,1,4414980,1320,4042933,0,1,999999999999,999999999999,999999999999
1839,llrint,40,832,692916839,866666,21837,2038817,832,4046309,34333333,21837,999999999999,999999999999,999999999999
2262,avcodec_version,3,512,694988714,0,1,1454946,512,4259753,0,1,999999999999,999999999999,999999999999
2264,avformat_version,3,512,696462708,0,1,1446445,512,4457606,0,1,999999999999,999999999999,999999999999
2266,avdevice_version,3,512,697927876,0,1,1441293,512,4653458,0,1,999999999999,999999999999,999999999999
2268,avfilter_version,3,512,699387946,0,1,1441231,512,4847766,0,1,999999999999,999999999999,999999999999
2270,swscale_version,3,512,700848148,0,1,1438307,512,5044925,0,1,999999999999,999999999999,999999999999
2272,swresample_version,3,512,702305428,0,1,1436653,512,5241920,0,1,999999999999,999999999999,999999999999
2274,postproc_version,3,512,703760953,0,1,1439677,512,5438561,0,1,999999999999,999999999999,999999999999
2099,ffmpeg_parse_options,482,1784,705219814,0,1,6998267,1784,5632287,0,1,999999999999,999999999999,999999999999
2100,split_commandline,1724,4064,712219648,0,1,21783818,4064,5634094,0,1,999999999999,999999999999,999999999999
2246,prepare_app_arguments,29,536,734005025,0,1,1885647,536,5635399,0,1,999999999999,999999999999,999999999999
2247,init_parse_context,251,1264,735891819,0,1,5817599,1264,5636307,0,1,999999999999,999999999999,999999999999
2030,av_calloc,114,1024,741710959,0,88,3261998,1024,5637722,0,88,999999999999,999999999999,999999999999
27198,size_mult,114,600,744974028,66666,432,2911226,600,5639147,533333,432,999999999999,999999999999,999999999999
1866,av_mallocz,101,1008,747886643,66666,3215,3051662,1008,5641451,533333,3215,999999999999,999999999999,999999999999
1967,av_malloc,203,1136,750939617,266666,4334,4186446,1136,5642945,2533333,4334,999999999999,999999999999,999999999999
1517,posix_memalign,124,1000,755127257,133333,4334,3772221,1000,5644803,3400000,4334,999999999999,999999999999,999999999999
1518,internal_memalign,430,1352,758900755,266666,4334,9087027,1352,5646633,2933333,4334,999999999999,999999999999,999999999999
1516,dispose_chunk,1618,2120,767989941,866666,7881,22567545,2120,5653262,52800000,7881,999999999999,999999999999,999999999999
2249,match_group_separator,191,1152,790563885,0,3,5227299,1152,5670947,0,3,999999999999,999999999999,999999999999
2250,add_opt,268,1232,795796841,0,2,4873641,1232,5715221,0,2,999999999999,999999999999,999999999999
1870,grow_array,304,1600,800671510,0,7,5384074,1600,5717042,66666,7,999999999999,999999999999,999999999999
2157,av_realloc_array,129,1064,806056951,66666,241,3513248,1064,5719451,66666,241,999999999999,999999999999,999999999999
5554,av_realloc,153,984,809571901,66666,729,3339426,984,5722246,600000,729,999999999999,999999999999,999999999999
1515,realloc,1131,2192,812912990,133333,729,18222486,2192,5724174,866666,729,999999999999,999999999999,999999999999
2057,opt_default,1353,3432,833514980,0,1,16108715,3432,6861636,0,1,999999999999,999999999999,999999999999
2248,finish_group,409,1352,839299043,0,2,5578500,1352,6135433,0,2,999999999999,999999999999,999999999999
2101,parse_optgroup,489,1688,844890252,0,3,9472253,1688,6289167,0,3,999999999999,999999999999,999999999999
2038,avformat_get_class,3,512,851106223,0,1,1425851,512,6863216,0,1,999999999999,999999999999,999999999999
2040,swr_get_class,3,512,853955966,0,1,1431509,512,6864105,0,1,999999999999,999999999999,999999999999
2233,write_option,1168,3152,854365139,0,2,14965634,3152,6295334,0,2,999999999999,999999999999,999999999999
2237,opt_find,163,1016,862913160,0,3,3576699,1016,6876432,0,3,999999999999,999999999999,999999999999
2080,parse_number_or_die,475,2048,869332299,0,1,6465611,2048,6298666,0,1,999999999999,999999999999,999999999999
2148,av_strtod,633,1832,875799383,0,23,8439514,1832,6300274,0,23,999999999999,999999999999,999999999999
1779,strtod,117,1096,884240409,133333,32,3456946,1096,6302331,0,32,999999999999,999999999999,999999999999
21576,codec_child_class_iterate,131,1008,884522303,0,117,3650116,1008,6883845,0,117,999999999999,999999999999,999999999999
1752,__shlim,73,608,887698960,0,163,2807415,608,6303420,266666,163,999999999999,999999999999,999999999999
1756,__floatscan,4829,8760,890507639,0,32,88134189,8760,6304985,200000,32,999999999999,999999999999,999999999999
11241,format_child_class_iterate,432,1448,902451633,0,89,7474736,1448,10817216,0,89,999999999999,999999999999,999999999999
8682,child_class_iterate.17258,68,568,909928248,0,2,2261003,568,10821871,0,2,999999999999,999999999999,999999999999
11325,ff_urlcontext_child_class_iterate,205,664,912192207,0,8,4668323,664,10825104,0,8,999999999999,999999999999,999999999999
2102,term_init,64,992,978648940,0,1,2306332,992,6325945,0,1,999999999999,999999999999,999999999999
29,signal,105,576,980957518,0,4,2404252,576,6326569,0,4,999999999999,999999999999,999999999999
2104,open_files,488,2152,983363906,0,2,9009096,2152,6329948,0,2,999999999999,999999999999,999999999999
2125,init_options,229,1120,992374247,0,2,3308368,1120,6331663,0,2,999999999999,999999999999,999999999999
2103,open_input_file,5489,11128,995981810,0,1,75951672,11128,6342548,0,1,999999999999,999999999999,999999999999
4125,av_opt_next,221,632,1073247974,333333,24694,3661447,632,5994683,20200000,24694,999999999999,999999999999,999999999999
1802,strncmp,145,624,1073269542,0,719,4691242,624,6346895,1266666,719,999999999999,999999999999,999999999999
2110,avformat_alloc_context,294,1336,1077964640,0,3,4776035,1336,6382241,0,3,999999999999,999999999999,999999999999
2533,av_opt_set_defaults,55,888,1082746240,0,28,2127918,888,6393082,133333,28,999999999999,999999999999,999999999999
21572,av_opt_set_defaults2,708,2888,1084875618,0,41,10865185,2888,6394475,133333,41,999999999999,999999999999,999999999999
27215,write_number,1337,4280,1099154990,66666,1527,14747658,4280,6400740,1466666,1527,999999999999,999999999999,999999999999
1881,av_strdup,149,1144,1108751661,0,391,3740579,1144,6479618,333333,391,999999999999,999999999999,999999999999
1945,av_freep,89,920,1112499898,666666,9084,2375118,920,6407736,2933333,9084,999999999999,999999999999,999999999999
27211,set_string_binary,480,1656,1113906771,0,17,8342902,1656,6444514,0,17,999999999999,999999999999,999999999999
2046,av_free,52,880,1114876418,133333,10141,2057672,880,6409235,2133333,10141,999999999999,999999999999,999999999999
1889,av_dict_get,588,1496,1119057951,133333,539,10731512,1496,6538778,800000,539,999999999999,999999999999,999999999999
27210,set_string,119,1048,1126396524,66666,85,3027389,1048,6534791,0,85,999999999999,999999999999,999999999999
2065,av_dict_set,1073,2760,1127953921,133333,140,16540442,2760,6540856,0,140,999999999999,999999999999,999999999999
1994,av_packet_alloc,108,992,1132926142,0,87,3029404,992,6568919,0,87,999999999999,999999999999,999999999999
13646,get_packet_defaults,135,1064,1135958457,66666,1988,2970809,1064,6578605,800000,1988,999999999999,999999999999,999999999999
13645,av_make_q.29208,49,560,1138931063,266666,2414,2055327,560,6580427,3600000,2414,999999999999,999999999999,999999999999
2114,avformat_open_input,2015,5064,1166586480,0,2,27876223,5064,6635947,0,2,999999999999,999999999999,999999999999
2109,av_find_input_format,145,1072,1193696520,0,1,4105653,1072,12692418,0,1,999999999999,999999999999,999999999999
2058,av_dict_copy,196,1192,1194464826,66666,171,4722789,1192,6639210,400000,171,999999999999,999999999999,999999999999
27102,av_toupper.50521,73,552,1196858703,0,1210,2182871,552,6640427,1533333,1210,999999999999,999999999999,999999999999
4122,av_opt_find2,697,2032,1197902007,0,170,11734707,2032,6242909,133333,170,999999999999,999999999999,999999999999
2465,av_opt_set_dict,70,920,1201228414,0,33,2302803,920,6677260,0,33,999999999999,999999999999,999999999999
2518,av_opt_set_dict2,377,1600,1203532414,0,38,7099636,1600,6678711,0,38,999999999999,999999999999,999999999999
1888,av_opt_set,1651,4248,1210634018,0,63,18167028,4248,6683516,0,63,999999999999,999999999999,999999999999
1965,av_dict_free,183,1176,1239757126,266666,1053,4751435,1176,6810119,400000,1053,999999999999,999999999999,999999999999
2314,av_demuxer_iterate,195,664,1242833520,266666,1295,3847996,664,6737213,1066666,1295,999999999999,999999999999,999999999999
8956,init_input,534,1696,1244514191,0,2,8629532,1696,6829385,0,2,999999999999,999999999999,999999999999
27045,av_tolower.50185,72,552,1286608357,0,2170,2281629,552,6944444,933333,2170,999999999999,999999999999,999999999999
2360,av_match_name,465,1520,1287840783,200000,1785,8168265,1520,7061289,1466666,1785,999999999999,999999999999,999999999999
8599,av_probe_input_format2,147,1024,1290112788,0,3,3445195,1024,7153535,0,3,999999999999,999999999999,999999999999
8968,av_probe_input_format3,1112,2464,1293559229,0,3,15897031,2464,7154915,66666,3,999999999999,999999999999,999999999999
11236,io_open_default,332,1480,1305394507,0,2,6368141,1480,7427994,0,2,999999999999,999999999999,999999999999
8688,ffio_open_whitelist,251,1264,1311766160,0,3,4906780,1264,7441859,0,3,999999999999,999999999999,999999999999
9615,img_read_probe,308,1384,1313070729,0,3,5371380,1384,7337660,0,3,999999999999,999999999999,999999999999
2079,av_strlcpy,235,1064,1314069012,0,30,5301410,1064,7003321,0,30,999999999999,999999999999,999999999999
8637,ffurl_open_whitelist,874,2488,1316674214,0,3,12171733,2488,7444017,0,3,999999999999,999999999999,999999999999
8303,ff_guess_image2_codec,56,896,1318443384,0,4,2233093,896,7339232,0,4,999999999999,999999999999,999999999999
1792,strchr,31,864,1318870731,66666,802,2155234,864,7008051,0,802,999999999999,999999999999,999999999999
9606,str2id,198,1120,1320677606,0,4,4879585,1120,7340443,0,4,999999999999,999999999999,999999999999
1808,strrchr,25,912,1325558691,66666,420,2144049,912,7341644,0,420,999999999999,999999999999,999999999999
1807,__memrchr,48,560,1327704734,0,420,2937841,560,7345335,533333,420,999999999999,999999999999,999999999999
8630,ffurl_alloc,173,1144,1328847233,0,3,3937397,1144,7445724,0,3,999999999999,999999999999,999999999999
2098,av_strcasecmp,199,1144,1330643966,0,271,4694080,1144,7347663,0,271,999999999999,999999999999,999999999999
8631,url_find_protocol,665,2312,1332785845,0,6,10691527,2312,7446907,0,6,999999999999,999999999999,999999999999
1809,strspn,249,768,1343478992,0,227,6111350,768,7447863,666666,227,999999999999,999999999999,999999999999
8634,ffurl_get_protocols,354,1328,1356553538,0,6,6620502,1328,7473508,0,6,999999999999,999999999999,999999999999
8632,url_alloc_for_protocol,1257,3240,1363185899,0,3,18841342,3240,7508556,0,3,999999999999,999999999999,999999999999
8627,ffurl_connect,1240,2968,1382052042,0,3,16094575,2968,7735830,0,3,999999999999,999999999999,999999999999
11288,file_open,524,1512,1398157376,0,3,7640986,1512,7807318,0,3,999999999999,999999999999,999999999999
11289,avpriv_open,241,1400,1405800718,0,3,4542754,1400,7810991,0,3,999999999999,999999999999,999999999999
1574,open,163,1024,1410345044,0,3,3043481,1024,7812832,0,3,999999999999,999999999999,999999999999
1586,__wasilibc_find_relpath,95,904,1413390415,0,3,2420285,904,7814168,0,3,999999999999,999999999999,999999999999
1587,__wasilibc_find_abspath,313,1408,1415811721,0,3,8986736,1408,7815304,0,3,999999999999,999999999999,999999999999
1785,memcmp,75,584,1424800430,0,160,3524432,584,7819702,1000000,160,999999999999,999999999999,999999999999
1562,__wasilibc_nocwd_openat_nomode,282,1240,1428327053,0,3,5200058,1240,7829675,0,3,999999999999,999999999999,999999999999
1554,__wasi_path_open,38,992,1433534293,0,3,2571163,992,7835176,0,3,999999999999,999999999999,999999999999
1522,fcntl,276,1504,1436152310,0,3,4586958,1504,7863736,0,3,999999999999,999999999999,999999999999
1523,fstat,417,1456,1440741172,0,45,7003338,1456,7866589,66666,45,999999999999,999999999999,999999999999
1544,__wasi_fd_filestat_get,18,824,1447745924,0,45,1918513,824,7867581,0,45,999999999999,999999999999,999999999999
8629,ffurl_seek,151,1024,1449682347,66666,49,3656523,1024,7934402,0,49,999999999999,999999999999,999999999999
11292,file_seek,357,1224,1453340866,66666,49,5401335,1224,7936126,0,49,999999999999,999999999999,999999999999
1530,__lseek,101,976,1458743828,0,6,3009638,976,7938308,0,6,999999999999,999999999999,999999999999
1549,__wasi_fd_seek,22,824,1461754951,0,6,1917479,824,7939530,0,6,999999999999,999999999999,999999999999
8680,ffio_fdopen,737,1888,1463678280,0,3,10880988,1888,7945905,0,3,999999999999,999999999999,999999999999
8598,avio_alloc_context,190,1208,1474566553,0,3,4329721,1208,7961682,0,3,999999999999,999999999999,999999999999
8185,ffio_init_context,512,1712,1478899097,0,22,7707618,1712,7969905,0,22,999999999999,999999999999,999999999999
8651,url_resetbuf,109,600,1486608692,0,22,2873206,600,7972790,66666,22,999999999999,999999999999,999999999999
8960,av_probe_input_buffer2,1281,2736,1518247864,0,1,17734172,2736,8335157,0,1,999999999999,999999999999,999999999999
8684,av_opt_get,2028,4136,1535983622,0,1,22442251,4136,8338403,0,1,999999999999,999999999999,999999999999
2140,avio_read,746,1744,1544599279,0,188,11835426,1744,8037283,266666,188,999999999999,999999999999,999999999999
27209,set_string_bool,382,1568,1548849753,0,1,6546437,1568,14467890,0,1,999999999999,999999999999,999999999999
8654,fill_buffer,853,1960,1556436665,66666,8,12205754,1960,8040029,0,8,999999999999,999999999999,999999999999
27221,av_opt_child_next,132,976,1558429199,0,73,3292234,976,8341360,66666,73,999999999999,999999999999,999999999999
8681,ff_avio_child_next,76,576,1561723857,0,15,2403207,576,8342837,0,15,999999999999,999999999999,999999999999
8636,urlcontext_child_next,122,616,1564129353,0,15,3003310,616,8346346,0,15,999999999999,999999999999,999999999999
8573,av_reallocp,180,1104,1567138783,0,4,3820365,1104,8368293,0,4,999999999999,999999999999,999999999999
8656,read_packet_wrapper,143,1008,1568643949,0,8,3581467,1008,8044110,66666,8,999999999999,999999999999,999999999999
8640,ffurl_read,131,1016,1572226824,0,8,3435117,1016,8045810,0,8,999999999999,999999999999,999999999999
8641,retry_transfer_wrapper,595,1712,1575663210,0,11,10464021,1712,8047410,0,11,999999999999,999999999999,999999999999
9434,av_strncasecmp,265,1208,1580227514,66666,654,5870037,1208,7974978,333333,654,999999999999,999999999999,999999999999
8642,ff_check_interrupt,124,952,1586128477,0,17,3277811,952,8048851,133333,17,999999999999,999999999999,999999999999
2511,decode_interrupt_cb,57,560,1589407834,0,17,2102917,560,8050365,0,17,999999999999,999999999999,999999999999
11290,file_read,264,1128,1591512742,0,8,4527720,1128,8052350,0,8,999999999999,999999999999,999999999999
1531,read,113,984,1596042546,66666,8,3092843,984,8053870,0,8,999999999999,999999999999,999999999999
1547,__wasi_fd_read,22,824,1599137538,0,8,1920219,824,8054848,0,8,999999999999,999999999999,999999999999
8182,ff_id3v2_match,287,704,1601095406,0,7,4277145,704,8087476,0,7,999999999999,999999999999,999999999999
8159,aa_probe,150,600,1627686524,0,1,2783261,600,8427475,0,1,999999999999,999999999999,999999999999
8263,av_match_ext,152,1056,1630470892,0,415,3640177,1056,8429970,133333,415,999999999999,999999999999,999999999999
8175,adts_aac_probe,667,1048,1639611617,0,1,10771584,1048,8451761,1866666,1,999999999999,999999999999,999999999999
8189,aax_probe,411,696,1650391864,0,1,4750141,696,10296143,0,1,999999999999,999999999999,999999999999
8197,ac3_probe,60,904,1655146094,0,1,2267797,904,10311952,0,1,999999999999,999999999999,999999999999
8198,ac3_eac3_probe,1330,2608,1657414953,0,3,20157352,2608,10312932,0,3,999999999999,999999999999,999999999999
8199,av_ac3_parse_header,184,1128,1677573915,0,3,3907043,1128,10316257,0,3,999999999999,999999999999,999999999999
12141,init_get_bits8.27144,126,960,1681482620,0,3,2893465,960,10317735,0,3,999999999999,999999999999,999999999999
12143,init_get_bits.27146,80,936,1684377721,0,3,2491877,936,10319726,0,3,999999999999,999999999999,999999999999
12144,init_get_bits_xe.27147,215,744,1686870724,0,3,3992483,744,10320860,0,3,999999999999,999999999999,999999999999
12134,ff_ac3_parse_header,1667,3424,1690864813,0,3,21040798,3424,10323718,0,3,999999999999,999999999999,999999999999
8809,concat_read_header,700,1696,1697588085,0,1,10573613,1696,14678866,0,1,999999999999,999999999999,999999999999
8810,concat_parse_script,2760,6504,1708163192,0,1,34871110,6504,14679845,0,1,999999999999,999999999999,999999999999
12135,get_bits.27136,251,688,1711907109,0,3,3602989,688,10325417,7933333,3,999999999999,999999999999,999999999999
8203,ace_probe,414,704,1715520682,0,1,4700870,704,11251865,0,1,999999999999,999999999999,999999999999
8206,acm_probe,141,584,1720223713,0,1,2636165,584,11256055,0,1,999999999999,999999999999,999999999999
8208,probe,366,776,1722864252,0,1,5922769,776,11271508,0,1,999999999999,999999999999,999999999999
8213,adp_probe,371,792,1728791603,0,1,6633895,792,11288434,0,1,999999999999,999999999999,999999999999
8217,ads_probe,96,592,1735430267,0,1,2672326,592,11310073,66666,1,999999999999,999999999999,999999999999
8220,adx_probe,289,1072,1738106854,0,1,4517814,1072,11329550,0,1,999999999999,999999999999,999999999999
8224,aea_read_probe,345,872,1742628726,0,1,6570132,872,11344474,0,1,999999999999,999999999999,999999999999
8672,ff_read_line_to_bprint_overwrite,74,928,1743037643,0,16,2420745,928,14683500,0,16,999999999999,999999999999,999999999999
8673,read_string_to_bprint_overwrite,184,1200,1745460234,0,16,4130767,1200,14684658,0,16,999999999999,999999999999,999999999999
8229,aiff_probe,277,680,1749204368,0,1,4089094,680,11371807,66666,1,999999999999,999999999999,999999999999
1926,av_bprint_clear,59,568,1749592301,0,16,2230100,568,14685460,0,16,999999999999,999999999999,999999999999
8674,read_string_to_bprint,696,1736,1751824767,0,16,10531305,1736,14686652,0,16,999999999999,999999999999,999999999999
8245,aix_probe,253,632,1753295423,0,1,3627970,632,11375351,0,1,999999999999,999999999999,999999999999
8257,alp_probe,193,1032,1756927805,0,1,3885962,1032,11389759,0,1,999999999999,999999999999,999999999999
8264,amr_probe,97,952,1760815823,0,1,2779257,952,11393437,0,1,999999999999,999999999999,999999999999
8267,amrnb_probe,432,976,1763597791,0,1,9137901,976,11397614,2133333,1,999999999999,999999999999,999999999999
8676,av_bprint_append_data,292,1272,1765916283,0,16,5940403,1272,14713197,0,16,999999999999,999999999999,999999999999
8675,av_bprint_is_complete.17248,42,560,1771860124,0,15,2123059,560,14722006,0,15,999999999999,999999999999,999999999999
