id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,70848,0,0,3675552,984,72965,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3747522,0,1,1823296,864,77094,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571401,0,1,1978378,840,77805,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7550469,0,109,1956529,824,79312,0,109,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9513100,0,1,5488068,1296,87298,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15001982,0,3,1921163,824,89063,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16929339,0,219,1793353,808,95504,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18723357,2000000,5040,99998457,9304,96413,430000000,5040,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,118734071,0,2,2040166,824,120420,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,120777898,0,2,5925208,1320,122017,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,126703935,0,3,3403341,984,123902,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,130108545,52000000,17449,9274209,1200,128554,230000000,19374,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,139384357,2341000000,87747391,14640652,1824,132214,191482000000,87755646,999999999999,999999999999,999999999999
1512,free,12,808,154026036,1000000,10675,1697686,808,136072,0,10675,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,155724626,3000000,10738,23293419,2224,136438,20000000,10738,999999999999,999999999999,999999999999
1798,strdup,47,960,179019376,0,4,2488713,960,138077,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,181508939,0,1561,4629798,648,138984,1000000,1603,999999999999,999999999999,999999999999
1534,__main_void,214,1400,186145722,0,1,4611858,1400,161716,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,190758416,0,1,1826187,824,162822,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,192586978,0,1,1904960,816,170716,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,194493402,0,1,9958631,2712,172398,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,204452857,0,1,1464829,512,173961,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,205918606,0,1,1822649,544,174416,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,207742136,0,1,3409190,648,175811,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,211152228,0,1,1857830,536,177565,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,213013831,0,1,9265471,1976,180763,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,222280194,0,5,8642857,1504,182019,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,230923963,0,11,4383924,1072,184230,0,11,999999999999,999999999999,999999999999
2234,av_strstart,211,648,235308828,0,1112,4582319,648,185870,0,1112,999999999999,999999999999,999999999999
1794,strcmp,105,600,239895206,0,21264,3537627,600,230291,5000000,21306,999999999999,999999999999,999999999999
2240,check_options,171,1024,243444341,0,1,4257679,1024,453141,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,247711693,0,1,2229737,896,982360,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,249942236,0,5,4937219,1120,983405,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,254881296,0,5,2070328,824,984126,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,256952621,0,1,4626409,1360,984893,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,261579983,0,1,1914629,824,985804,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,263497181,0,562,7269768,1144,987798,0,562,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,270768607,0,1,1822416,536,993109,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,272600801,0,1,1771567,808,1237493,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,274373055,0,1,2132161,584,1238116,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,276508741,0,1,1441773,512,1241661,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,277951362,0,1,3433910,1112,1242350,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,281392491,0,1,4668214,1360,1488154,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,286061550,0,938,2555968,936,1489717,1000000,980,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,288618338,0,992,4967855,1072,1491207,1000000,1034,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,293587331,1000000,992,12991535,2584,1493975,3000000,1034,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,306581956,0,190,1738212,528,1497889,0,232,999999999999,999999999999,999999999999
27183,format_line,895,2496,308321142,0,190,12585116,2496,1499385,0,232,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,320907233,0,806,4205572,1048,1501309,2000000,1055,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,325114657,0,190,6179876,1280,1509011,0,232,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,331295607,0,1719,4006403,1152,1511542,2000000,2466,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,335303702,0,1719,6915054,1568,1514658,3000000,2466,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,342219841,0,3438,211253937,18952,1516277,17000000,4932,999999999999,999999999999,999999999999
1724,__towrite,94,624,553476856,0,1740,3329048,624,1526290,1000000,2528,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556807887,0,10401,7113118,1368,1530672,13000000,17951,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563922691,0,2700,5814404,1808,1536032,8000000,4111,999999999999,999999999999,999999999999
1805,strnlen,27,880,569741530,0,1215,2102653,880,1541924,0,1506,999999999999,999999999999,999999999999
1784,memchr,371,800,571845453,0,1246,7764735,800,1542908,4000000,1537,999999999999,999999999999,999999999999
1763,sn_write,184,1176,579613077,0,1773,4377365,1176,1560304,1000000,2603,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583992472,0,755,3190505,616,1566493,4000000,1461,999999999999,999999999999,999999999999
1743,snprintf,58,912,587184839,0,925,2245395,912,1571776,0,967,999999999999,999999999999,999999999999
1572,__isatty,103,968,589435525,0,1,2970835,968,1619105,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,592407536,0,3,1769072,824,1620242,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,594182689,0,746,1733658,840,1624681,0,788,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595917376,0,746,6434663,776,1625385,1000000,788,999999999999,999999999999,999999999999
27187,sanitize,146,600,602354167,0,763,3543420,600,1628868,7000000,929,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605898799,0,763,3750317,1096,1629984,0,929,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,609650922,0,1,4170816,1224,1647437,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613825178,0,192,5413905,1232,1660581,2000000,234,999999999999,999999999999,999999999999
1727,fputs,38,944,619239935,0,192,2174936,944,1662635,0,234,999999999999,999999999999,999999999999
1735,fwrite,278,1384,621416599,0,192,7576447,1384,1665622,0,234,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,628994431,0,192,7098616,1368,1667937,0,234,999999999999,999999999999,999999999999
1709,writev,115,984,636094153,0,192,3061441,984,1669512,0,234,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,639156651,0,196,1928907,824,1670705,0,238,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,641113506,0,212,5574171,1280,1689999,1000000,295,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,646689051,0,190,1750218,528,1692664,0,232,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,648483918,0,2,29371318,6088,2615455,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,677857091,0,1,1391858,512,2616857,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,679251644,0,1,1317816,512,2717699,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,680571376,0,1,1380370,512,2817926,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,681953487,0,1,1429884,512,2918171,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,683385006,0,1,1428136,512,3018857,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,684814825,0,1,1428786,512,3119511,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,686245266,0,1,1437262,512,3219615,0,1,999999999999,999999999999,999999999999
2275,postproc_configuration,3,512,687684153,0,1,1429140,512,3322561,0,1,999999999999,999999999999,999999999999
2260,avutil_version,368,1320,689115258,0,1,4406457,1320,3421400,0,1,999999999999,999999999999,999999999999
1839,llrint,40,832,693522712,0,12035,2026808,832,3424847,22000000,12035,999999999999,999999999999,999999999999
2262,avcodec_version,3,512,695581645,0,1,1449062,512,3637640,0,1,999999999999,999999999999,999999999999
2264,avformat_version,3,512,697049788,0,1,1438968,512,3836383,0,1,999999999999,999999999999,999999999999
2266,avdevice_version,3,512,698507600,0,1,1435369,512,4034268,0,1,999999999999,999999999999,999999999999
2268,avfilter_version,3,512,699961834,0,1,1440678,512,4228153,0,1,999999999999,999999999999,999999999999
2270,swscale_version,3,512,701422448,0,1,1430079,512,4426026,0,1,999999999999,999999999999,999999999999
2272,swresample_version,3,512,702871707,0,1,1430174,512,4623335,0,1,999999999999,999999999999,999999999999
2274,postproc_version,3,512,704320537,0,1,1427892,512,4820643,0,1,999999999999,999999999999,999999999999
2099,ffmpeg_parse_options,482,1784,705767632,0,1,6983995,1784,5015385,0,1,999999999999,999999999999,999999999999
2100,split_commandline,1724,4064,712753231,0,1,21754722,4064,5017289,0,1,999999999999,999999999999,999999999999
2246,prepare_app_arguments,29,536,734509510,0,1,1911942,536,5018670,0,1,999999999999,999999999999,999999999999
2247,init_parse_context,251,1264,736422657,0,1,5830704,1264,5019572,0,1,999999999999,999999999999,999999999999
2030,av_calloc,114,1024,742254846,0,63,3254065,1024,5021001,0,63,999999999999,999999999999,999999999999
27198,size_mult,114,600,745509945,0,358,2896106,600,5022495,0,358,999999999999,999999999999,999999999999
1866,av_mallocz,101,1008,748407358,0,3361,3046069,1008,5024839,1000000,3361,999999999999,999999999999,999999999999
1967,av_malloc,203,1136,751454620,0,4218,4177359,1136,5026291,3000000,4218,999999999999,999999999999,999999999999
1517,posix_memalign,124,1000,755633172,0,4218,3769252,1000,5028171,1000000,4218,999999999999,999999999999,999999999999
1518,internal_memalign,430,1352,759403747,0,4218,9060716,1352,5030016,5000000,4218,999999999999,999999999999,999999999999
1516,dispose_chunk,1618,2120,768466790,1000000,7847,22595386,2120,5036128,15000000,7847,999999999999,999999999999,999999999999
2249,match_group_separator,191,1152,791068363,0,2,5211091,1152,5051157,0,2,999999999999,999999999999,999999999999
2250,add_opt,268,1232,796285275,0,1,4864332,1232,5095591,0,1,999999999999,999999999999,999999999999
1870,grow_array,304,1600,801150701,0,7,5362128,1600,5097498,0,7,999999999999,999999999999,999999999999
2157,av_realloc_array,129,1064,806514169,0,223,3522552,1064,5099843,0,223,999999999999,999999999999,999999999999
5554,av_realloc,153,984,810038383,0,695,3348104,984,5102633,1000000,695,999999999999,999999999999,999999999999
1515,realloc,1131,2192,813388249,0,695,18705883,2192,5104520,1000000,695,999999999999,999999999999,999999999999
2248,finish_group,409,1352,832100628,0,2,5723064,1352,5120384,0,2,999999999999,999999999999,999999999999
2101,parse_optgroup,489,1688,837828969,0,3,9673188,1688,5148955,0,3,999999999999,999999999999,999999999999
2233,write_option,1168,3152,847504911,0,1,15314398,3152,5155097,0,1,999999999999,999999999999,999999999999
2080,parse_number_or_die,475,2048,862821041,0,1,6590897,2048,5158390,0,1,999999999999,999999999999,999999999999
2148,av_strtod,633,1832,869413337,0,27,8609289,1832,5159972,0,27,999999999999,999999999999,999999999999
1779,strtod,117,1096,878024146,0,43,3513880,1096,5161985,0,43,999999999999,999999999999,999999999999
1752,__shlim,73,608,881539599,0,140,2819083,608,5163066,0,140,999999999999,999999999999,999999999999
1756,__floatscan,4829,8760,884359888,0,43,87972841,8760,5164633,0,43,999999999999,999999999999,999999999999
2102,term_init,64,992,972339911,0,1,2319057,992,5185660,0,1,999999999999,999999999999,999999999999
29,signal,105,576,974661218,0,4,2402532,576,5186260,0,4,999999999999,999999999999,999999999999
2104,open_files,488,2152,977065736,0,2,9011113,2152,5189588,0,2,999999999999,999999999999,999999999999
2125,init_options,229,1120,986077983,0,2,3299764,1120,5191295,0,2,999999999999,999999999999,999999999999
2103,open_input_file,5489,11128,989382021,0,1,75855636,11128,5201184,0,1,999999999999,999999999999,999999999999
1802,strncmp,145,624,1065240906,0,524,4700826,624,5204477,1000000,524,999999999999,999999999999,999999999999
2110,avformat_alloc_context,294,1336,1069944038,0,2,4785490,1336,5207856,0,2,999999999999,999999999999,999999999999
2533,av_opt_set_defaults,55,888,1074734929,0,28,2128434,888,5217507,0,28,999999999999,999999999999,999999999999
21572,av_opt_set_defaults2,708,2888,1076864901,0,40,10881139,2888,5218922,0,40,999999999999,999999999999,999999999999
4125,av_opt_next,221,632,1087747238,0,24577,3664111,632,5220696,17000000,24577,999999999999,999999999999,999999999999
27215,write_number,1337,4280,1091414296,0,1323,14722847,4280,5225205,0,1323,999999999999,999999999999,999999999999
27211,set_string_binary,480,1656,1106141217,0,14,8314501,1656,5268416,0,14,999999999999,999999999999,999999999999
1945,av_freep,89,920,1114456963,0,9822,2381135,920,5269855,5000000,9822,999999999999,999999999999,999999999999
2046,av_free,52,880,1116839480,0,10668,2052282,880,5271324,0,10668,999999999999,999999999999,999999999999
27210,set_string,119,1048,1118897591,0,87,2988287,1048,5358141,0,87,999999999999,999999999999,999999999999
1881,av_strdup,149,1144,1121887630,0,420,3738605,1144,5360311,1000000,420,999999999999,999999999999,999999999999
1994,av_packet_alloc,108,992,1125633490,0,43,3022905,992,5391944,0,43,999999999999,999999999999,999999999999
13646,get_packet_defaults,135,1064,1128659205,0,1793,2963818,1064,5402770,0,1793,999999999999,999999999999,999999999999
13645,av_make_q.29208,49,560,1131624772,0,1993,2051091,560,5404577,1000000,1993,999999999999,999999999999,999999999999
1889,av_dict_get,588,1496,1133679966,0,652,10721563,1496,5424194,3000000,652,999999999999,999999999999,999999999999
2065,av_dict_set,1073,2760,1144402930,0,157,16559144,2760,5426423,0,157,999999999999,999999999999,999999999999
