id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,76683,0,0,3693112,984,78772,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3770826,0,1,1825953,864,82771,0,1,999999999999,999999999999,999999999999
30,init,20,840,5597427,0,1,1990694,840,83535,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7588740,0,104,1969217,824,85213,0,104,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9564686,0,1,5511847,1296,92800,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15077340,0,3,1921395,824,94672,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,17005210,0,219,1797111,808,102986,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18802948,2000000,5139,99117149,9304,103890,418000000,5139,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117932545,0,2,2036258,824,129117,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119972327,0,2,5808240,1320,130512,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125781335,0,3,3366159,984,132092,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,129148696,65000000,17137,9153497,1200,137106,247000000,18011,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138303395,2331000000,87939183,14658824,1824,140955,195810000000,87942803,999999999999,999999999999,999999999999
1512,free,12,808,152963269,0,10720,1716180,808,144880,0,10720,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154680356,4000000,10777,23306607,2224,145257,14000000,10777,999999999999,999999999999,999999999999
1798,strdup,47,960,177988339,0,4,2526262,960,146877,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180515441,1000000,1510,4640734,648,147700,3000000,1527,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185163014,0,1,4625282,1400,171455,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189789126,0,1,1842408,824,172724,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191634285,0,1,1913446,816,180410,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193549366,0,1,9943813,2712,182112,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203494082,0,1,1473375,512,183709,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204968382,0,1,1821290,544,184066,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206790525,0,1,3419108,648,185456,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210210487,0,1,1861557,536,187287,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,212075570,0,1,9272632,1976,190583,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221349130,0,5,8651739,1504,191819,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,230001821,0,18,4384188,1072,194120,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234386894,0,1971,4596144,648,195704,0,1971,999999999999,999999999999,999999999999
1794,strcmp,105,600,238987069,0,21257,3551668,600,240741,12000000,21275,999999999999,999999999999,999999999999
2240,check_options,171,1024,242552070,0,1,4262024,1024,613636,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246827772,0,1,2237863,896,1427080,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,249066454,0,5,4931707,1120,1428051,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253999768,0,5,2077006,824,1428811,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,256077721,0,1,4634220,1360,1429653,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260712862,0,1,1935333,824,1430636,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262650599,1000000,560,7291780,1144,1432534,2000000,560,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269944055,0,1,1840709,536,1437879,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271795962,0,1,1781307,808,1825387,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273577944,0,1,2141688,584,1826033,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275723638,0,1,1454564,512,1830011,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,277179034,0,1,3449004,1112,1830719,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280636925,0,1,4672071,1360,2220018,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285309898,0,813,2580414,936,2221505,2000000,831,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287891090,0,867,4964530,1072,2222994,1000000,885,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292856686,0,867,13017240,2584,2225648,3000000,885,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305877165,0,171,1763143,528,2229531,0,189,999999999999,999999999999,999999999999
27183,format_line,895,2496,307641362,0,171,12571822,2496,2231059,1000000,189,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,320214131,0,760,4228439,1048,2232923,2000000,868,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324444334,0,171,6188060,1280,2240306,0,189,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330633392,0,1857,3997844,1152,2242891,1000000,2181,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334632819,0,1857,6914664,1568,2245846,0,2181,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341548507,1000000,3714,211248135,18952,2247521,7000000,4362,999999999999,999999999999,999999999999
1724,__towrite,94,624,552799487,0,1894,3356238,624,2257260,0,2236,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556157706,0,12294,7081321,1368,2261530,6000000,15608,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563240649,1000000,2973,5787708,1808,2266656,6000000,3587,999999999999,999999999999,999999999999
1805,strnlen,27,880,569032065,0,1304,2100986,880,2272426,0,1430,999999999999,999999999999,999999999999
1784,memchr,371,800,571134282,0,1341,7760319,800,2273333,4000000,1467,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578897441,0,1943,4371923,1176,2290539,0,2303,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583271167,0,1150,3180858,616,2296471,4000000,1456,999999999999,999999999999,999999999999
1743,snprintf,58,912,586453758,0,672,2233427,912,2301729,1000000,690,999999999999,999999999999,999999999999
1572,__isatty,103,968,588692321,0,1,2969210,968,2348705,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591662757,0,3,1771156,824,2349906,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,593440046,0,727,1727868,840,2354545,0,745,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595168937,0,727,6423868,776,2355265,3000000,745,999999999999,999999999999,999999999999
27187,sanitize,146,600,601594883,0,684,3551697,600,2358653,3000000,756,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605147722,0,684,3750299,1096,2359869,0,756,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608899746,0,1,4188137,1224,2376988,0,1,999999999999,999999999999,999999999999
