id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,76615,0,0,3699115,984,72933,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3776784,0,1,1832985,864,76917,0,1,999999999999,999999999999,999999999999
30,init,20,840,5610429,0,1,1990700,840,77692,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7601806,0,104,1960572,824,79256,0,104,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9569142,0,1,5514990,1296,86607,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15084966,0,3,1933617,824,88330,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,17024639,0,219,1792126,808,95261,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18817453,2000000,4904,99046709,9304,96182,434000000,4904,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117876589,0,2,2018424,824,122953,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119898516,0,2,5810727,1320,124471,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125710148,0,3,3349707,984,126222,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,129060993,60000000,15856,9131570,1200,131097,245000000,17407,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138193782,2370000000,87465656,14612411,1824,134947,191812000000,87472154,999999999999,999999999999,999999999999
1512,free,12,808,152807163,0,10346,1701815,808,138985,0,10346,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154509838,3000000,10402,23320771,2224,139408,21000000,10402,999999999999,999999999999,999999999999
1798,strdup,47,960,177831938,0,4,2505317,960,141113,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180338022,0,1492,4645345,648,141942,3000000,1525,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184990151,0,1,4624912,1400,165640,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189615930,0,1,1847435,824,166882,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191465785,0,1,1911934,816,174747,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193379246,0,1,9974204,2712,176318,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203354501,0,1,1478286,512,177878,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204833673,0,1,1828069,544,178228,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206662553,0,1,3419890,648,179642,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210083325,0,1,1871183,536,181473,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211958484,0,1,9272595,1976,184764,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221231971,0,5,8629024,1504,186031,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229861941,0,17,4392634,1072,188347,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234255564,0,2012,4605638,648,189975,0,2012,999999999999,999999999999,999999999999
1794,strcmp,105,600,238865263,0,21263,3558963,600,233893,5000000,21296,999999999999,999999999999,999999999999
