id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,75072,0,0,3664813,984,74464,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3740967,0,1,1816866,864,78984,0,1,999999999999,999999999999,999999999999
30,init,20,840,5558513,0,1,1986383,840,79745,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7545552,0,62,1958864,824,81274,0,62,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9511115,0,1,5500645,1296,88810,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15012604,0,3,1919705,824,90669,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16939114,0,219,1795763,808,98438,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18735560,3000000,3911,99182109,9304,99273,415000000,3911,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117930785,0,2,2003860,824,126396,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119938189,0,2,5796194,1320,127783,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125735222,0,3,3351004,984,129558,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,129087323,66000000,12431,9166126,1200,134443,231000000,13507,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138254658,2296000000,87462067,14612710,1824,138284,192933000000,87467630,999999999999,999999999999,999999999999
1512,free,12,808,152868380,0,7624,1698678,808,142476,0,7624,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154567893,0,7654,23280479,2224,142856,11000000,7654,999999999999,999999999999,999999999999
1798,strdup,47,960,177849720,0,4,2504252,960,144593,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180354747,0,1394,4657555,648,145527,1000000,1459,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185019353,0,1,4628321,1400,169186,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189648522,0,1,1861361,824,170396,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191512422,0,1,1919302,816,178804,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193433296,0,1,9970173,2712,180438,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203404383,0,1,1471715,512,181939,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204877022,0,1,1836548,544,182294,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206714436,0,1,3423214,648,183734,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210138527,0,1,1882793,536,185601,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,212025210,0,1,9287105,1976,188960,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221313861,0,5,8633610,1504,190187,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229948401,0,17,4389824,1072,192473,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234339210,0,2018,4599947,648,194111,0,2018,999999999999,999999999999,999999999999
1794,strcmp,105,600,238943315,1000000,18779,3561073,600,239793,7000000,18813,999999999999,999999999999,999999999999
2240,check_options,171,1024,242518202,0,1,4263457,1024,637675,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246795929,0,1,2238824,896,1545932,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,249035536,0,5,4926232,1120,1546916,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253963506,0,5,2086043,824,1547685,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,256050455,0,1,4630219,1360,1548492,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260681657,0,1,1941637,824,1549374,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262625554,0,533,7294195,1144,1551233,1000000,533,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269921427,0,1,1846996,536,1556914,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271780301,0,1,1789879,808,1991221,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273570965,0,1,2144247,584,1991857,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275719476,0,1,1456063,512,1995754,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,277176371,0,1,3443487,1112,1996495,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280628776,0,1,4682612,1360,2430080,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285312293,1000000,757,2570809,936,2431761,0,791,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287883907,0,811,4980482,1072,2433241,1000000,845,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292865436,1000000,811,13057135,2584,2436111,3000000,845,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305926769,0,137,1747150,528,2440357,0,171,999999999999,999999999999,999999999999
27183,format_line,895,2496,307674909,0,137,12568263,2496,2441922,0,171,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,320244193,0,590,4237874,1048,2443946,1000000,794,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324483985,0,137,6190298,1280,2451787,0,171,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330675258,0,1173,4016186,1152,2454603,1000000,1784,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334693062,0,1173,6905558,1568,2457699,0,1784,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341599603,0,2347,211703535,18952,2459373,8000000,3568,999999999999,999999999999,999999999999
1724,__towrite,94,624,553305857,0,1194,3346217,624,2469671,4000000,1839,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556654092,0,7638,7107444,1368,2474119,4000000,12625,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563763328,0,1938,5816333,1808,2479518,5000000,2963,999999999999,999999999999,999999999999
1805,strnlen,27,880,569583694,0,769,2112104,880,2486256,0,1007,999999999999,999999999999,999999999999
1784,memchr,371,800,571697066,0,802,7775305,800,2487098,2000000,1040,999999999999,999999999999,999999999999
1763,sn_write,184,1176,579475362,0,1230,4391829,1176,2504536,1000000,1908,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583869372,0,508,3196992,616,2510566,2000000,1085,999999999999,999999999999,999999999999
1743,snprintf,58,912,587068294,0,628,2247451,912,2515881,0,662,999999999999,999999999999,999999999999
1572,__isatty,103,968,589321195,0,1,2981924,968,2563000,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,592304356,0,3,1781544,824,2564233,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,594092175,0,693,1745913,840,2568980,0,727,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595839239,0,693,6449909,776,2569689,1000000,727,999999999999,999999999999,999999999999
