id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74367,0,0,3666408,984,74234,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3741860,0,1,1826809,864,78394,0,1,999999999999,999999999999,999999999999
30,init,20,840,5569311,0,1,1983074,840,79163,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7553038,200000,23380,1961413,824,80720,1866666,11546,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9520995,0,1,5502779,1296,88231,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15024599,0,3,1923857,824,90052,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16954879,0,125,1792463,808,97113,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18748018,1466666,4766,99104224,9304,97997,237466666,4766,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117865022,0,2,2007421,824,123903,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119875986,0,2,5812628,1320,125369,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125689478,0,2,3356749,984,127111,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129047372,39800000,13307,9157589,1200,131850,251933333,14121,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138206178,1314400000,49721621,14630444,1824,135624,109539600000,49725118,999999999999,999999999999,999999999999
1512,free,12,808,152837683,133333,9459,1703150,808,139629,666666,9459,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154541708,933333,9528,23291015,2224,140028,21733333,9528,999999999999,999999999999,999999999999
1798,strdup,47,960,177834087,0,3,2510415,960,141713,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180345297,66666,1846,4648277,648,142628,3800000,1867,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185000516,0,1,4623681,1400,166120,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189625038,0,1,1842496,824,167334,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191469998,0,1,1911441,816,174609,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193383040,0,1,9951758,2712,176269,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203335729,0,1,1471844,512,177824,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204808498,0,1,1827083,544,178233,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206636435,0,1,3418329,648,179706,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210055674,0,1,1867088,536,181613,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211926638,0,1,9269076,1976,184949,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221196690,0,5,8633342,1504,186236,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229830995,0,18,4381488,1072,188519,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234213467,133333,1815,4594136,648,190131,66666,1815,999999999999,999999999999,999999999999
1794,strcmp,105,600,238811658,400000,18605,3551586,600,234827,7333333,18623,999999999999,999999999999,999999999999
2240,check_options,171,1024,242376666,0,1,4258731,1024,588283,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246648894,0,1,2233656,896,1377809,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248883393,0,5,4930541,1120,1378798,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253815674,0,5,2078158,824,1379562,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255894778,0,1,4628163,1360,1380390,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260523851,0,1,1933578,824,1381333,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262459818,66666,768,7283621,1144,1383237,1400000,768,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269745085,0,1,1833484,536,1388640,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271589939,0,1,1784738,808,1763555,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273375446,0,1,2136442,584,1764204,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275516109,0,1,1452034,512,1767932,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276968990,0,1,3438809,1112,1768691,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280416445,0,1,4672305,1360,2144385,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285089636,66666,1419,2563991,936,2145935,800000,1437,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287654444,66666,1450,4976596,1072,2147392,1800000,1467,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292632169,666666,1450,13026657,2584,2150154,4533333,1467,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305662243,66666,139,1750379,528,2154221,66666,157,999999999999,999999999999,999999999999
27183,format_line,895,2496,307413642,0,139,12575913,2496,2155736,266666,157,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319990546,0,592,4223221,1048,2157641,1066666,699,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324215634,0,139,6183544,1280,2165307,200000,157,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330400235,66666,2488,4012699,1152,2167943,1400000,2812,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334414618,266666,2488,6917946,1568,2170993,2400000,2813,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341333562,666666,4977,211373765,18952,2172658,13866666,5626,999999999999,999999999999,999999999999
1724,__towrite,94,624,552710131,0,2504,3337673,624,2182814,1866666,2846,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556049803,133333,12089,7093644,1368,2187219,5866666,15279,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563145146,200000,3218,5808712,1808,2192488,6666666,3820,999999999999,999999999999,999999999999
1805,strnlen,27,880,568958088,0,963,2100405,880,2198539,266666,1088,999999999999,999999999999,999999999999
1784,memchr,371,800,571059765,0,1015,7753659,800,2199442,2600000,1140,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578816296,66666,2531,4372243,1176,2216798,1000000,2891,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583190552,66666,636,3186775,616,2222871,2333333,942,999999999999,999999999999,999999999999
1743,snprintf,58,912,586379178,66666,1832,2241347,912,2228176,600000,1850,999999999999,999999999999,999999999999
1572,__isatty,103,968,588625748,0,1,2971817,968,2274768,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591598704,0,4,1771524,824,2275946,0,4,999999999999,999999999999,999999999999
1796,strcpy,17,840,593376435,0,470,1736313,840,2280565,0,488,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595113830,0,470,6431018,776,2281266,866666,488,999999999999,999999999999,999999999999
27187,sanitize,146,600,601546935,66666,556,3555888,600,2284722,2866666,627,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605103991,66666,556,3752170,1096,2285855,333333,627,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608857923,0,1,4176431,1224,2303170,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613037828,0,141,5411586,1232,2316440,200000,159,999999999999,999999999999,999999999999
1727,fputs,38,944,618450334,66666,141,2173392,944,2318560,0,159,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620625378,66666,141,7585898,1384,2321518,133333,159,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,628212658,0,142,7108079,1368,2323850,133333,160,999999999999,999999999999,999999999999
1709,writev,115,984,635321854,0,142,3056376,984,2325507,266666,160,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,638379310,0,145,1923702,824,2326715,133333,163,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,640331162,0,158,5582852,1280,2346298,400000,194,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645915494,0,139,1747016,528,2349013,0,157,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647706898,0,2,29419075,6088,3280253,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,677127829,0,1,1396354,512,3281782,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,678526900,0,1,1323349,512,3381896,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679852136,0,1,1383990,512,3481432,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,681237827,0,1,1435873,512,3581666,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682675364,0,1,1439434,512,3681275,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,684116411,0,1,1440848,512,3781406,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,685558954,0,1,1441880,512,3881821,0,1,999999999999,999999999999,999999999999
2275,postproc_configuration,3,512,687002495,0,1,1437454,512,3981523,0,1,999999999999,999999999999,999999999999
2260,avutil_version,368,1320,688441915,0,1,4414960,1320,4081429,0,1,999999999999,999999999999,999999999999
1839,llrint,40,832,692857819,800000,21200,2039154,832,4084795,33200000,21200,999999999999,999999999999,999999999999
2262,avcodec_version,3,512,694929975,0,1,1455466,512,4298271,0,1,999999999999,999999999999,999999999999
2264,avformat_version,3,512,696404492,0,1,1446914,512,4496055,0,1,999999999999,999999999999,999999999999
2266,avdevice_version,3,512,697870160,0,1,1441688,512,4691857,0,1,999999999999,999999999999,999999999999
2268,avfilter_version,3,512,699330632,0,1,1441520,512,4886024,0,1,999999999999,999999999999,999999999999
2270,swscale_version,3,512,700791116,0,1,1438131,512,5082920,0,1,999999999999,999999999999,999999999999
2272,swresample_version,3,512,702248236,0,1,1437231,512,5279929,0,1,999999999999,999999999999,999999999999
2274,postproc_version,3,512,703704341,0,1,1439813,512,5476508,0,1,999999999999,999999999999,999999999999
2099,ffmpeg_parse_options,482,1784,705163318,0,1,6997944,1784,5670172,0,1,999999999999,999999999999,999999999999
2100,split_commandline,1724,4064,712162833,0,1,21784288,4064,5671984,0,1,999999999999,999999999999,999999999999
2246,prepare_app_arguments,29,536,733948684,0,1,1884438,536,5673299,0,1,999999999999,999999999999,999999999999
2247,init_parse_context,251,1264,735834269,0,1,5817823,1264,5674202,0,1,999999999999,999999999999,999999999999
