id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74336,0,0,3668744,984,74582,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744160,0,1,1828300,864,78744,0,1,999999999999,999999999999,999999999999
30,init,20,840,5573101,0,1,1983216,840,79512,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7556967,200000,23377,1961496,824,81068,1866666,11542,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9525011,0,1,5502103,1296,88589,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15027935,0,3,1924047,824,90402,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16958437,0,125,1792714,808,97395,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18751823,1200000,4796,99109327,9304,98274,234266666,4796,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117873976,0,2,2007544,824,124116,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119885044,0,2,5812652,1320,125586,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125698553,0,2,3356986,984,127335,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129056692,38600000,13002,9159488,1200,132051,264666666,13867,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138217392,1035666666,38985873,14630610,1824,135827,86043200000,38989595,999999999999,999999999999,999999999999
1512,free,12,808,152849062,133333,9477,1703451,808,139840,666666,9477,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154553385,933333,9547,23291311,2224,140236,27866666,9547,999999999999,999999999999,999999999999
1798,strdup,47,960,177846059,0,3,2509611,960,141927,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180356467,133333,1845,4649568,648,142853,3800000,1867,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185012977,0,1,4623870,1400,166306,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189637688,0,1,1843947,824,167520,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191484105,0,1,1910983,816,174780,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193396691,0,1,9954163,2712,176449,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203351783,0,1,1472038,512,178005,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204824744,0,1,1827261,544,178416,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206652859,0,1,3418973,648,179901,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210072738,0,1,1867614,536,181817,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211944219,0,1,9270252,1976,185160,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221215450,0,5,8632696,1504,186456,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229849112,0,18,4382003,1072,188728,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234232096,66666,1835,4594884,648,190344,66666,1835,999999999999,999999999999,999999999999
1794,strcmp,105,600,238831030,466666,18709,3551670,600,235029,7466666,18728,999999999999,999999999999,999999999999
2240,check_options,171,1024,242396153,0,1,4260276,1024,590726,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246669984,0,1,2234290,896,1384957,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248905110,0,5,4930394,1120,1385950,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253837241,0,5,2077970,824,1386714,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255916157,0,1,4629567,1360,1387529,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260546631,0,1,1934038,824,1388468,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262483041,66666,792,7282948,1144,1390382,1333333,792,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269767633,0,1,1833681,536,1395776,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271612679,0,1,1784690,808,1772857,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273398139,0,1,2136755,584,1773509,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275539119,0,1,1451780,512,1777221,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276991746,0,1,3439235,1112,1777983,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280439673,0,1,4673748,1360,2155875,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285114308,66666,1404,2564124,936,2157429,600000,1423,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287679253,200000,1431,4978298,1072,2158884,1666666,1451,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292658683,666666,1431,13027574,2584,2161637,4666666,1451,999999999999,999999999999,999999999999
