id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,73280,0,0,3654554,984,71580,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3728928,0,1,1810947,864,75651,0,1,999999999999,999999999999,999999999999
30,init,20,840,5540497,0,1,1982986,840,76440,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7524129,0,158,1958905,824,78084,0,158,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9489404,0,1,5502963,1296,85693,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,14993163,0,3,1917368,824,87617,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16916642,0,219,1787534,808,95311,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18704849,4000000,5374,98906752,9304,96234,429000000,5374,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117623974,0,2,2004175,824,123312,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119631807,0,2,5782731,1320,124740,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125415388,0,3,3343226,984,126448,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,128759736,66000000,19578,9126779,1200,131424,237000000,20331,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,137887643,4485000000,172729950,14620080,1824,135232,378613000000,172732937,999999999999,999999999999,999999999999
1512,free,12,808,152508702,0,11423,1697149,808,139226,1000000,11423,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154206718,0,11480,23267566,2224,139631,29000000,11480,999999999999,999999999999,999999999999
1798,strdup,47,960,177475617,0,4,2511046,960,141268,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,179987408,0,1515,4629609,648,142088,7000000,1529,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184623776,0,1,4619792,1400,166057,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189244376,0,1,1828416,824,167292,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191075193,0,1,1915581,816,175109,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,192992350,0,1,9929062,2712,176707,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,202922347,0,1,1468451,512,178328,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204391719,0,1,1825946,544,178686,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206218472,0,1,3408798,648,180099,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209628189,0,1,1856538,536,181951,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211488637,0,1,9262269,1976,185235,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,220751787,0,5,8641398,1504,186499,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229394086,0,17,4377004,1072,188812,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,233772026,1000000,1658,4580296,648,190408,1000000,1658,999999999999,999999999999,999999999999
1794,strcmp,105,600,238356366,0,21373,3545735,600,234843,11000000,21387,999999999999,999999999999,999999999999
2240,check_options,171,1024,241915039,0,1,4247750,1024,566757,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246175440,0,1,2223557,896,1310852,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248399887,0,5,4925754,1120,1311832,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253327385,0,5,2076733,824,1312629,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255405043,0,1,4613681,1360,1313553,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260019611,0,1,1931349,824,1314497,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,261953433,0,560,7288559,1144,1316389,3000000,560,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269243665,0,1,1825632,536,1321833,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271081116,0,1,1779216,808,1676539,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,272861045,0,1,2129654,584,1677181,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,274994679,0,1,1454843,512,1680923,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276450354,0,1,3431910,1112,1681698,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,279890073,0,1,4656348,1360,2035658,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,284547206,0,1026,2558269,936,2037201,3000000,1040,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287106316,0,1131,4962110,1072,2038656,2000000,1145,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292069486,2000000,1131,13008864,2584,2041450,4000000,1145,999999999999,999999999999,999999999999
