id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74451,0,0,3670800,984,74361,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3746332,0,1,1828499,864,78530,0,1,999999999999,999999999999,999999999999
30,init,20,840,5575474,0,1,1983357,840,79301,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7559477,200000,23377,1961481,824,80867,1866666,11542,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9527514,0,1,5502687,1296,88409,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15031020,0,3,1923865,824,90230,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16961300,0,127,1792431,808,97261,0,127,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18754405,1333333,4843,99099264,9304,98144,234733333,4843,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117866444,0,2,2007957,824,124072,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119877925,0,2,5810314,1320,125547,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125689095,0,2,3356660,984,127294,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129046905,40133333,13364,9158637,1200,132046,265000000,14152,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138206756,1248400000,47340373,14630454,1824,135824,104438266666,47343741,999999999999,999999999999,999999999999
1512,free,12,808,152838264,133333,9585,1703170,808,139821,733333,9585,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154542307,933333,9655,23290565,2224,140222,28466666,9655,999999999999,999999999999,999999999999
1798,strdup,47,960,177834237,0,3,2510413,960,141904,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180345441,133333,1847,4648355,648,142816,4066666,1867,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185000734,0,1,4623642,1400,166324,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189625215,0,1,1842870,824,167543,0,1,999999999999,999999999999,999999999999
