id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,71565,0,0,3623714,984,74901,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3696339,0,1,1807956,864,78855,0,1,999999999999,999999999999,999999999999
30,init,20,840,5504897,0,1,1980876,840,79596,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7486479,0,158,1959130,824,81099,0,158,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9451860,0,1,5494207,1296,88393,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,14946891,0,3,1920099,824,90193,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16873689,0,189,1791768,808,97323,0,189,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18666117,2000000,4669,99057692,9304,98187,422000000,4669,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117736954,0,2,1997980,824,123971,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119738584,0,2,5817797,1320,125312,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125557267,0,3,3348112,984,127068,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,128906541,43000000,14145,9139547,1200,131506,232000000,16058,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138047180,1294000000,47412444,14622414,1824,135278,102687000000,47420749,999999999999,999999999999,999999999999
1512,free,12,808,152670669,0,9796,1701364,808,139509,0,9796,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154372894,0,9853,23278760,2224,139850,20000000,9853,999999999999,999999999999,999999999999
1798,strdup,47,960,177652959,0,4,2499010,960,141603,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,180152805,0,1489,4647805,648,142646,3000000,1529,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184807429,0,1,4623213,1400,165785,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189431458,0,1,1844568,824,166952,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191278472,0,1,1911361,816,174362,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193191525,0,1,9960988,2712,175999,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203153372,0,1,1474701,512,177553,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204629017,0,1,1832710,544,177920,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206462568,0,1,3421192,648,179535,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209884712,0,1,1869544,536,181586,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211757963,0,1,9280327,1976,184913,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221039241,0,5,8626625,1504,186292,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229666726,0,17,4373621,1072,188501,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234041226,0,1658,4589620,648,190115,0,1658,999999999999,999999999999,999999999999
1794,strcmp,105,600,238634878,1000000,21346,3548338,600,234074,10000000,21386,999999999999,999999999999,999999999999
2240,check_options,171,1024,242196368,0,1,4262355,1024,561818,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246471366,0,1,2236958,896,1302347,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248709165,0,5,4934472,1120,1303403,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253645299,0,5,2086803,824,1304171,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255733070,0,1,4630922,1360,1304919,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260364910,0,1,1935556,824,1305859,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262302820,0,560,7281244,1144,1307748,0,560,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269585702,0,1,1833659,536,1312900,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271430160,0,1,1785170,808,1663420,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273216025,0,1,2139639,584,1664105,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275359742,0,1,1452995,512,1667803,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276813588,0,1,3440902,1112,1668528,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280262863,0,1,4680561,1360,2020471,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,284944253,0,974,2570589,936,2021983,0,1014,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287515650,0,1004,4978747,1072,2023377,2000000,1044,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292495554,0,1004,13034407,2584,2026038,2000000,1044,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305533355,0,148,1738182,528,2030027,0,188,999999999999,999999999999,999999999999
27183,format_line,895,2496,307272472,0,148,12601914,2496,2031592,0,188,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319875415,0,622,4224839,1048,2033449,2000000,862,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324102049,0,148,6184820,1280,2041259,0,188,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330287936,0,1421,4017699,1152,2043947,2000000,2178,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334307302,0,1421,6927766,1568,2047000,1000000,2178,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341235978,1000000,2842,211276374,18952,2048611,10000000,4356,999999999999,999999999999,999999999999
1724,__towrite,94,624,552515658,0,1435,3284608,624,2058537,0,2232,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,555802109,0,8129,7066985,1368,2062932,3000000,15717,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,562870719,0,2181,5800908,1808,2068278,5000000,3613,999999999999,999999999999,999999999999
1805,strnlen,27,880,568675430,0,953,2096074,880,2074065,0,1233,999999999999,999999999999,999999999999
1784,memchr,371,800,570772716,0,990,7727819,800,2074953,6000000,1270,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578503367,0,1461,4370071,1176,2092689,0,2298,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,582875379,0,578,3188426,616,2098837,5000000,1295,999999999999,999999999999,999999999999
1743,snprintf,58,912,586065675,0,808,2244384,912,2104129,0,848,999999999999,999999999999,999999999999
1572,__isatty,103,968,588315200,0,1,2971906,968,2149953,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591288234,0,3,1769530,824,2151140,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,593064061,0,348,1740470,840,2155875,0,388,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,594805620,0,348,6445339,776,2156560,3000000,388,999999999999,999999999999,999999999999
27187,sanitize,146,600,601252981,0,592,3560877,600,2160059,4000000,752,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,604815031,1000000,592,3747490,1096,2161143,1000000,752,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608564276,0,1,4166367,1224,2178355,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,612734136,0,150,5409918,1232,2191578,0,190,999999999999,999999999999,999999999999
1727,fputs,38,944,618144950,0,150,2168751,944,2193624,0,190,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620315407,1000000,150,7583929,1384,2196623,2000000,190,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,627900608,0,150,7087105,1368,2198895,0,190,999999999999,999999999999,999999999999
1709,writev,115,984,634988861,0,150,3043368,984,2200513,0,190,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,638033233,0,154,1924212,824,2201820,1000000,194,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,639986044,0,163,5580339,1280,2221500,0,243,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645567708,0,148,1744062,528,2224225,0,188,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647356088,0,2,29440020,6088,3147112,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,676797865,0,1,1395327,512,3148675,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,678195726,0,1,1316087,512,3256178,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679513644,0,1,1369722,512,3354785,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,680885026,0,1,1437285,512,3461613,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682323963,0,1,1438196,512,3559756,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,683763779,0,1,1449175,512,3659149,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,685214619,0,1,1441287,512,3757770,0,1,999999999999,999999999999,999999999999
2275,postproc_configuration,3,512,686657527,0,1,1432424,512,3857233,0,1,999999999999,999999999999,999999999999
2260,avutil_version,368,1320,688091850,0,1,4411631,1320,3955769,0,1,999999999999,999999999999,999999999999
1839,llrint,40,832,692504398,0,11801,2040187,832,3959228,21000000,11801,999999999999,999999999999,999999999999
2262,avcodec_version,3,512,694577221,0,1,1453808,512,4171627,0,1,999999999999,999999999999,999999999999
2264,avformat_version,3,512,696049820,0,1,1451800,512,4370978,0,1,999999999999,999999999999,999999999999
2266,avdevice_version,3,512,697520328,0,1,1440967,512,4567800,0,1,999999999999,999999999999,999999999999
2268,avfilter_version,3,512,698979913,0,1,1441673,512,4761920,0,1,999999999999,999999999999,999999999999
2270,swscale_version,3,512,700440392,0,1,1442291,512,4959953,0,1,999999999999,999999999999,999999999999
2272,swresample_version,3,512,701901673,0,1,1431830,512,5157058,0,1,999999999999,999999999999,999999999999
2274,postproc_version,3,512,703352442,0,1,1446735,512,5354683,0,1,999999999999,999999999999,999999999999
2099,ffmpeg_parse_options,482,1784,704818272,0,1,7016388,1784,5548409,0,1,999999999999,999999999999,999999999999
2100,split_commandline,1724,4064,711836229,0,1,21780094,4064,5550076,0,1,999999999999,999999999999,999999999999
2246,prepare_app_arguments,29,536,733617858,0,1,1860991,536,5551358,0,1,999999999999,999999999999,999999999999
2247,init_parse_context,251,1264,735479987,0,1,5816680,1264,5552356,0,1,999999999999,999999999999,999999999999
2030,av_calloc,114,1024,741298153,0,63,3248982,1024,5553827,0,63,999999999999,999999999999,999999999999
27198,size_mult,114,600,744548262,0,353,2917348,600,5555161,0,353,999999999999,999999999999,999999999999
1866,av_mallocz,101,1008,747466935,0,3156,3054592,1008,5557431,0,3156,999999999999,999999999999,999999999999
1967,av_malloc,203,1136,750522676,1000000,3940,4187061,1136,5558946,2000000,3940,999999999999,999999999999,999999999999
1517,posix_memalign,124,1000,754710959,0,3940,3776503,1000,5560859,1000000,3940,999999999999,999999999999,999999999999
1518,internal_memalign,430,1352,758488743,0,3940,9109083,1352,5562668,1000000,3940,999999999999,999999999999,999999999999
1516,dispose_chunk,1618,2120,767599981,0,7307,22592984,2120,5569388,13000000,7307,999999999999,999999999999,999999999999
2249,match_group_separator,191,1152,790199287,0,3,5222540,1152,5587234,0,3,999999999999,999999999999,999999999999
2250,add_opt,268,1232,795427395,0,2,4881522,1232,5631619,0,2,999999999999,999999999999,999999999999
1870,grow_array,304,1600,800309916,0,9,5388593,1600,5633418,0,9,999999999999,999999999999,999999999999
2157,av_realloc_array,129,1064,805699786,1000000,216,3504614,1064,5635741,0,216,999999999999,999999999999,999999999999
5554,av_realloc,153,984,809206020,0,622,3335660,984,5638503,1000000,622,999999999999,999999999999,999999999999
1515,realloc,1131,2192,812543275,0,622,18210347,2192,5640406,0,622,999999999999,999999999999,999999999999
2248,finish_group,409,1352,830759890,0,2,5577380,1352,5655929,0,2,999999999999,999999999999,999999999999
2101,parse_optgroup,489,1688,836350554,0,3,9459193,1688,5810717,0,3,999999999999,999999999999,999999999999
2233,write_option,1168,3152,845812278,0,2,14954618,3152,5816994,0,2,999999999999,999999999999,999999999999
2080,parse_number_or_die,475,2048,860768363,0,1,6433002,2048,5820268,0,1,999999999999,999999999999,999999999999
2148,av_strtod,633,1832,867202966,0,29,8434255,1832,5821925,0,29,999999999999,999999999999,999999999999
1779,strtod,117,1096,875638581,0,45,3461533,1096,5823975,0,45,999999999999,999999999999,999999999999
1752,__shlim,73,608,879101687,0,152,2806780,608,5825093,0,152,999999999999,999999999999,999999999999
1756,__floatscan,4829,8760,881909728,0,45,88193982,8760,5826512,0,45,999999999999,999999999999,999999999999
2102,term_init,64,992,970110689,0,1,2306018,992,5847440,0,1,999999999999,999999999999,999999999999
29,signal,105,576,972418985,0,4,2400281,576,5848028,0,4,999999999999,999999999999,999999999999
2104,open_files,488,2152,974821364,0,2,9008443,2152,5851471,0,2,999999999999,999999999999,999999999999
2125,init_options,229,1120,983831041,0,2,3310943,1120,5853159,0,2,999999999999,999999999999,999999999999
2103,open_input_file,5489,11128,987146225,0,1,75892356,11128,5862929,0,1,999999999999,999999999999,999999999999
1802,strncmp,145,624,1063041814,0,524,4707053,624,5866272,1000000,524,999999999999,999999999999,999999999999
2110,avformat_alloc_context,294,1336,1067751018,0,2,4768330,1336,5869485,0,2,999999999999,999999999999,999999999999
2533,av_opt_set_defaults,55,888,1072524923,0,29,2121529,888,5879105,0,29,999999999999,999999999999,999999999999
21572,av_opt_set_defaults2,708,2888,1074647825,0,41,10859993,2888,5880491,0,41,999999999999,999999999999,999999999999
4125,av_opt_next,221,632,1085509085,0,24594,3662478,632,5882312,14000000,24594,999999999999,999999999999,999999999999
27215,write_number,1337,4280,1089174538,0,1323,14756781,4280,5886855,1000000,1323,999999999999,999999999999,999999999999
27211,set_string_binary,480,1656,1103935928,0,14,8338917,1656,5930767,0,14,999999999999,999999999999,999999999999
1945,av_freep,89,920,1112276066,0,9004,2369514,920,5932255,5000000,9004,999999999999,999999999999,999999999999
2046,av_free,52,880,1114646847,0,9789,2058047,880,5933753,2000000,9789,999999999999,999999999999,999999999999
27210,set_string,119,1048,1116710785,0,89,3030351,1048,6021773,0,89,999999999999,999999999999,999999999999
1881,av_strdup,149,1144,1119742831,0,400,3740246,1144,6023982,3000000,400,999999999999,999999999999,999999999999
1994,av_packet_alloc,108,992,1123489857,0,27,3023783,992,6056225,0,27,999999999999,999999999999,999999999999
13646,get_packet_defaults,135,1064,1126516518,0,1574,2976704,1064,6065912,0,1574,999999999999,999999999999,999999999999
13645,av_make_q.29208,49,560,1129494983,1000000,1765,2050495,560,6067717,5000000,1765,999999999999,999999999999,999999999999
1889,av_dict_get,588,1496,1131549530,0,562,10752494,1496,6088000,0,562,999999999999,999999999999,999999999999
2065,av_dict_set,1073,2760,1142303514,1000000,145,16501559,2760,6090435,0,145,999999999999,999999999999,999999999999
2114,avformat_open_input,2015,5064,1158812697,0,1,27856535,5064,6123416,0,1,999999999999,999999999999,999999999999
2058,av_dict_copy,196,1192,1186671357,1000000,189,4757512,1192,6126604,0,189,999999999999,999999999999,999999999999
27102,av_toupper.50521,73,552,1191430950,0,1172,2174301,552,6130263,2000000,1172,999999999999,999999999999,999999999999
2465,av_opt_set_dict,70,920,1193613128,0,29,2311221,920,6162840,0,29,999999999999,999999999999,999999999999
2518,av_opt_set_dict2,377,1600,1195925466,0,37,7104885,1600,6164345,0,37,999999999999,999999999999,999999999999
1888,av_opt_set,1651,4248,1203032266,0,75,18165576,4248,6169165,0,75,999999999999,999999999999,999999999999
4122,av_opt_find2,697,2032,1221199611,0,155,11687264,2032,6170476,0,155,999999999999,999999999999,999999999999
1965,av_dict_free,183,1176,1232904862,0,1261,4745698,1176,6287200,0,1261,999999999999,999999999999,999999999999
8956,init_input,534,1696,1237656070,0,1,8634498,1696,6305058,0,1,999999999999,999999999999,999999999999
8599,av_probe_input_format2,147,1024,1246291929,0,2,3437613,1024,6307731,0,2,999999999999,999999999999,999999999999
8968,av_probe_input_format3,1112,2464,1249730699,0,2,15893130,2464,6309169,0,2,999999999999,999999999999,999999999999
2314,av_demuxer_iterate,195,664,1265625932,0,666,3860738,664,6312182,1000000,666,999999999999,999999999999,999999999999
9615,img_read_probe,308,1384,1269504523,0,2,5371230,1384,6498531,0,2,999999999999,999999999999,999999999999
8303,ff_guess_image2_codec,56,896,1274876965,0,2,2230192,896,6500126,0,2,999999999999,999999999999,999999999999
9606,str2id,198,1120,1277108235,0,2,4867301,1120,6501331,0,2,999999999999,999999999999,999999999999
1808,strrchr,25,912,1281976935,0,283,2139264,912,6502522,0,283,999999999999,999999999999,999999999999
1807,__memrchr,48,560,1284118170,0,283,2927809,560,6506208,0,283,999999999999,999999999999,999999999999
2098,av_strcasecmp,199,1144,1287047282,0,134,4690174,1144,6508519,0,134,999999999999,999999999999,999999999999
27045,av_tolower.50185,72,552,1291738989,0,1480,2285189,552,6509871,0,1480,999999999999,999999999999,999999999999
2360,av_match_name,465,1520,1294034132,0,1705,8150764,1520,6634716,2000000,1705,999999999999,999999999999,999999999999
11236,io_open_default,332,1480,1302209864,0,1,6363636,1480,6958965,0,1,999999999999,999999999999,999999999999
8688,ffio_open_whitelist,251,1264,1308577026,0,2,4898996,1264,6973374,0,2,999999999999,999999999999,999999999999
8637,ffurl_open_whitelist,874,2488,1313477304,0,2,12173011,2488,6975526,0,2,999999999999,999999999999,999999999999
8630,ffurl_alloc,173,1144,1325651562,0,2,3979981,1144,6977257,0,2,999999999999,999999999999,999999999999
8631,url_find_protocol,665,2312,1329632807,0,4,10681741,2312,6978453,0,4,999999999999,999999999999,999999999999
1809,strspn,249,768,1340316201,0,349,6131828,768,6979386,0,349,999999999999,999999999999,999999999999
2079,av_strlcpy,235,1064,1346451734,0,30,5306787,1064,6996873,0,30,999999999999,999999999999,999999999999
1792,strchr,31,864,1351760401,0,555,2147638,864,7002349,0,555,999999999999,999999999999,999999999999
8634,ffurl_get_protocols,354,1328,1353910410,0,4,6616997,1328,7005167,0,4,999999999999,999999999999,999999999999
8632,url_alloc_for_protocol,1257,3240,1360539650,0,2,18795611,3240,7040852,0,2,999999999999,999999999999,999999999999
8627,ffurl_connect,1240,2968,1379361047,0,2,16086129,2968,7260532,0,2,999999999999,999999999999,999999999999
11288,file_open,524,1512,1395457868,0,2,7625305,1512,7331295,0,2,999999999999,999999999999,999999999999
11289,avpriv_open,241,1400,1403085580,0,2,4527052,1400,7334946,0,2,999999999999,999999999999,999999999999
1574,open,163,1024,1407614145,0,2,3031570,1024,7336702,0,2,999999999999,999999999999,999999999999
