id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,71816,0,0,3655515,984,79025,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3728389,0,1,1818489,864,83208,0,1,999999999999,999999999999,999999999999
30,init,20,840,5547538,0,1,1985360,840,83959,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7533612,0,100,1964276,824,85511,0,100,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9504328,0,1,5499259,1296,92971,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15004372,0,3,1923625,824,94817,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16934963,0,5,1790674,808,101938,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18726295,0,1433,99105989,9304,102785,3000000,1433,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117844881,0,2,1998033,824,129936,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119846418,0,2,5798606,1320,131412,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125645926,0,2,3354270,984,133161,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129001447,7000000,2765,9143557,1200,137918,86000000,2724,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138146195,2000000,6168,14626753,1824,141716,17000000,5995,999999999999,999999999999,999999999999
1512,free,12,808,152773945,0,2631,1699890,808,145710,0,2631,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154474731,0,2654,23294448,2224,146067,4000000,2654,999999999999,999999999999,999999999999
1798,strdup,47,960,177770581,0,2,2509146,960,147760,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180280527,0,1134,4647656,648,148798,4000000,1133,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184934951,0,1,4617390,1400,172481,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189553135,0,1,1831635,824,173687,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191387159,0,1,1907185,816,181267,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193295926,0,1,9938233,2712,182983,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203235113,0,1,1470357,512,184580,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204706391,0,1,1827772,544,184962,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206535056,0,1,3418134,648,186535,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209954167,0,1,1865293,536,188580,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211823319,0,1,9292953,1976,191958,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221117218,0,5,8639413,1504,193267,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229757595,0,17,4382796,1072,195538,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234141354,0,1340,4600476,648,197153,0,1340,999999999999,999999999999,999999999999
1794,strcmp,105,600,238745825,0,5176,3550443,600,242160,4000000,5175,999999999999,999999999999,999999999999
2240,check_options,171,1024,242308693,0,1,4255450,1024,511567,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246575047,0,1,2233013,896,1136109,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248808922,0,5,4944924,1120,1137109,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253755630,0,5,2077228,824,1137872,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255833779,0,1,4627838,1360,1138669,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260462565,0,1,1933056,824,1139512,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262398046,0,428,7291487,1144,1141417,0,428,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269691163,0,1,1833851,536,1146579,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271535406,0,1,1789086,808,1436699,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273325262,0,1,2136419,584,1437259,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275466514,0,1,1454735,512,1441018,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276922115,0,1,3438560,1112,1441818,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280368275,0,1,4680523,1360,1731481,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285049692,0,679,2560455,936,1733018,1000000,678,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287610927,0,679,4984788,1072,1734377,0,678,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292596886,0,679,13037334,2584,1737039,2000000,678,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305637858,0,127,1755468,528,1741047,0,126,999999999999,999999999999,999999999999
27183,format_line,895,2496,307394338,0,127,12583986,2496,1742588,0,126,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319979295,0,514,4220106,1048,1744491,0,508,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324201238,0,127,6199830,1280,1752379,0,126,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330402099,0,828,4010192,1152,1755083,0,810,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334413999,0,828,6925161,1568,1758157,0,810,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341340182,0,1656,211544692,18952,1759744,2000000,1620,999999999999,999999999999,999999999999
1724,__towrite,94,624,552887745,0,832,3347498,624,1770009,1000000,813,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556237196,0,4579,7088657,1368,1774449,1000000,4423,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563327596,1000000,1324,5816104,1808,1779814,1000000,1294,999999999999,999999999999,999999999999
1805,strnlen,27,880,569149276,0,659,2094603,880,1785741,1000000,652,999999999999,999999999999,999999999999
1784,memchr,371,800,571245248,0,682,7746135,800,1786627,0,675,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578994233,0,844,4371037,1176,1803880,0,824,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583367482,0,216,3192114,616,1810205,0,199,999999999999,999999999999,999999999999
1743,snprintf,58,912,586561448,0,615,2241517,912,1815413,0,614,999999999999,999999999999,999999999999
1572,__isatty,103,968,588808274,0,1,2975797,968,1862002,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591785134,0,3,1769144,824,1863123,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,593560643,0,133,1737237,840,1867735,0,132,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595298977,0,133,6422925,776,1868432,0,132,999999999999,999999999999,999999999999
27187,sanitize,146,600,601724006,0,508,3554159,600,1871892,0,504,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605279301,0,508,3749667,1096,1873035,0,504,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,609030635,0,1,4177040,1224,1890929,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613211143,0,126,5422458,1232,1904266,0,125,999999999999,999999999999,999999999999
1727,fputs,38,944,618634576,0,126,2169546,944,1906515,0,125,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620805773,0,126,7595523,1384,1909494,0,125,999999999999,999999999999,999999999999
