id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74258,0,0,3668957,984,74419,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744292,0,1,1826362,864,78552,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571288,0,1,1982915,840,79322,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7554858,200000,23384,1961274,824,80887,1866666,11549,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9522670,0,1,5502262,1296,88420,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15025749,0,3,1923840,824,90248,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16955936,0,140,1792157,808,97334,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18748764,1466666,5054,99106930,9304,98218,262333333,5054,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117868445,0,2,2007656,824,124136,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119879633,0,2,5810565,1320,125588,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125691053,0,2,3355874,984,127332,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129048081,42266666,14054,9156989,1200,132068,274733333,14971,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138206275,1334666666,50500684,14628937,1824,135848,111283333333,50504612,999999999999,999999999999,999999999999
1512,free,12,808,152836260,133333,10009,1702905,808,139884,666666,10009,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154540033,866666,10079,23291152,2224,140284,29266666,10079,999999999999,999999999999,999999999999
1798,strdup,47,960,177832542,0,3,2509615,960,141977,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180342950,133333,1868,4648448,648,142905,4200000,1891,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184998319,0,1,4623743,1400,166409,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189622900,0,1,1842000,824,167624,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191467363,0,1,1911781,816,174986,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193380748,0,1,9952118,2712,176654,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203333793,0,1,1471705,512,178223,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204806417,0,1,1826886,544,178626,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206634154,0,1,3417792,648,180111,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210052854,0,1,1866875,536,182024,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211923603,0,1,9269960,1976,185367,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221194537,0,5,8633753,1504,186667,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229829250,0,18,4381838,1072,188943,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234212060,133333,1809,4594395,648,190560,133333,1809,999999999999,999999999999,999999999999
1794,strcmp,105,600,238810504,466666,19669,3550567,600,235222,8200000,19689,999999999999,999999999999,999999999999
2240,check_options,171,1024,242374451,0,1,4259889,1024,586458,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246647736,0,1,2233607,896,1371373,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248882185,0,5,4931185,1120,1372366,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253815106,0,5,2078198,824,1373133,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255894251,0,1,4629481,1360,1373958,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260524639,0,1,1933466,824,1374899,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262460480,66666,801,7282681,1144,1376810,1533333,801,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269744810,0,1,1832643,536,1382214,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271588823,0,1,1784475,808,1754807,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273374061,0,1,2136736,584,1755455,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275515020,0,1,1451858,512,1759165,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276967725,0,1,3438926,1112,1759919,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280415239,0,1,4672622,1360,2133158,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285088734,66666,1426,2563470,936,2134713,800000,1446,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287653024,200000,1461,4975700,1072,2136167,1800000,1481,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292629851,800000,1461,13025246,2584,2138927,4800000,1481,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305658527,66666,142,1750376,528,2142992,66666,162,999999999999,999999999999,999999999999
27183,format_line,895,2496,307409918,0,142,12575190,2496,2144498,266666,162,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319986100,0,607,4222559,1048,2146415,1000000,727,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324210499,0,142,6183501,1280,2154110,200000,162,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330395070,66666,2512,4012853,1152,2156760,1400000,2876,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334409601,266666,2512,6918492,1568,2159814,2533333,2876,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341329093,666666,5024,211378804,18952,2161474,13933333,5752,999999999999,999999999999,999999999999
1724,__towrite,94,624,552710712,0,2529,3340608,624,2171596,1800000,2913,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,556053296,133333,12365,7095024,1368,2176004,5933333,15949,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563150015,200000,3272,5808148,1808,2181315,7066666,3948,999999999999,999999999999,999999999999
1805,strnlen,27,880,568962372,0,974,2100542,880,2187342,333333,1114,999999999999,999999999999,999999999999
1784,memchr,371,800,571064189,0,1026,7753568,800,2188243,2800000,1167,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578820629,66666,2558,4372743,1176,2205627,1000000,2962,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583195381,66666,653,3186758,616,2211713,2266666,997,999999999999,999999999999,999999999999
1743,snprintf,58,912,586383974,66666,1837,2241139,912,2217037,600000,1857,999999999999,999999999999,999999999999
1572,__isatty,103,968,588630346,0,1,2972809,968,2263603,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591604303,0,4,1771723,824,2264777,0,4,999999999999,999999999999,999999999999
1796,strcpy,17,840,593382227,0,510,1736017,840,2269394,66666,530,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,595119317,0,510,6431753,776,2270096,933333,530,999999999999,999999999999,999999999999
27187,sanitize,146,600,601553150,66666,569,3554755,600,2273553,3533333,649,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,605109062,66666,569,3752201,1096,2274689,333333,649,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608863014,0,1,4177311,1224,2291988,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,613043803,0,145,5412907,1232,2305287,200000,165,999999999999,999999999999,999999999999
1727,fputs,38,944,618457624,66666,145,2173641,944,2307410,0,165,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620632918,66666,145,7585408,1384,2310379,133333,165,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,628219701,0,145,7107588,1368,2312708,133333,165,999999999999,999999999999,999999999999
1709,writev,115,984,635328395,0,145,3055946,984,2314367,266666,165,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,638385418,0,148,1923521,824,2315569,200000,169,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,640336993,0,162,5581731,1280,2335201,466666,202,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645920197,0,142,1746755,528,2337925,0,162,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647711343,0,2,29409605,6088,3268792,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,677122809,0,1,1396565,512,3270334,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,678522084,0,1,1321792,512,3370468,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679845754,0,1,1382167,512,3470118,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,681229616,0,1,1435634,512,3570395,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682666919,0,1,1438653,512,3670025,0,1,999999999999,999999999999,999999999999
