id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74453,0,0,3651365,984,74027,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3726951,0,1,1840016,864,78526,0,1,999999999999,999999999999,999999999999
30,init,20,840,5567682,0,1,1987496,840,79288,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7555773,0,51,1962244,824,80798,0,51,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9524514,0,1,5500570,1296,88229,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15025950,0,3,1920467,824,89919,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16954155,0,5,1795889,808,96230,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18750735,0,1513,98942704,9304,97081,8000000,1513,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117706927,0,2,2002489,824,123008,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119712964,0,2,5814040,1320,124698,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125527897,0,2,3359915,984,126499,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,128888899,11000000,3796,9164267,1200,131173,86000000,3775,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138054392,0,7777,14645163,1824,134920,11000000,7678,999999999999,999999999999,999999999999
1512,free,12,808,152700737,0,3442,1705333,808,138561,1000000,3442,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154407001,1000000,3495,23269959,2224,138912,8000000,3495,999999999999,999999999999,999999999999
1798,strdup,47,960,177678383,0,2,2510993,960,140514,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180190170,0,1177,4646412,648,141322,1000000,1175,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184843659,0,1,4621700,1400,164519,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189466184,0,1,1857620,824,165742,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191326322,0,1,1903616,816,172011,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193231494,0,1,9959746,2712,173631,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203192191,0,1,1473447,512,175063,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204666631,0,1,1831565,544,175537,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206499054,0,1,3426513,648,176952,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209926453,0,1,1867629,536,178844,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211797888,0,1,9266637,1976,182132,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221065487,0,5,8625541,1504,183331,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229692015,0,23,4379478,1072,185587,0,23,999999999999,999999999999,999999999999
