id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74474,0,0,3664309,984,74324,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3739864,0,1,1826835,864,78486,0,1,999999999999,999999999999,999999999999
30,init,20,840,5567341,0,1,1982963,840,79256,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7550956,0,173,1961507,824,80825,0,173,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9519018,0,1,5502287,1296,88347,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15022126,0,3,1923948,824,90170,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16952560,0,125,1792717,808,97231,0,125,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18745951,1200000,4819,99112718,9304,98117,235266666,4819,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117871516,0,2,2007645,824,124127,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119882698,0,2,5811814,1320,125596,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125695365,0,2,3356394,984,127344,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129052911,38733333,13285,9159534,1200,132083,264133333,14099,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138213662,1181600000,44670124,14632244,1824,135857,98536266666,44673619,999999999999,999999999999,999999999999
1512,free,12,808,152846957,133333,9557,1703397,808,139870,666666,9557,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154551225,866666,9626,23293865,2224,140269,28733333,9626,999999999999,999999999999,999999999999
1798,strdup,47,960,177846453,0,3,2509416,960,141960,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180356666,133333,1842,4648447,648,142874,4133333,1863,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185012022,0,1,4624429,1400,166364,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189637285,0,1,1843800,824,167579,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191483555,0,1,1911876,816,174852,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193397031,0,1,9954794,2712,176514,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203352753,0,1,1472269,512,178076,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204825946,0,1,1827787,544,178483,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206654579,0,1,3418462,648,179964,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210073948,0,1,1867713,536,181878,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211945561,0,1,9270038,1976,185224,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221216577,0,5,8634820,1504,186517,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229852357,0,18,4382177,1072,188794,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234235510,133333,1857,4594718,648,190413,133333,1857,999999999999,999999999999,999999999999
1794,strcmp,105,600,238834280,400000,18692,3552379,600,235119,7466666,18710,999999999999,999999999999,999999999999
2240,check_options,171,1024,242400170,0,1,4259975,1024,595060,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246673815,0,1,2234032,896,1397487,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248908685,0,5,4931446,1120,1398481,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253841862,0,5,2078996,824,1399247,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255921803,0,1,4629527,1360,1400070,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260552239,0,1,1934507,824,1401012,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262489124,66666,791,7284144,1144,1402921,1400000,791,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269774916,0,1,1833601,536,1408317,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271620017,0,1,1784703,808,1789736,0,1,999999999999,999999999999,999999999999
