id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,71214,0,0,3721074,984,75451,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3793360,0,1,1832921,864,79522,0,1,999999999999,999999999999,999999999999
30,init,20,840,5626894,0,1,1986779,840,80269,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7614298,3000000,348208,1958744,824,81735,28000000,170687,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9579296,0,1,5500198,1296,89316,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15080302,0,3,1918852,824,91089,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,17004785,0,219,1787477,808,97784,0,219,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18792935,4000000,5030,98855881,9304,98593,414000000,5030,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117660867,0,2,2002649,824,123152,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119666997,0,2,5795309,1320,124589,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125463216,0,3,3352108,984,126316,0,3,999999999999,999999999999,999999999999
1788,memset,393,1200,128816439,64000000,15325,9126091,1200,130951,245000000,16843,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,137943591,2296000000,87466178,14595558,1824,134782,191217000000,87472573,999999999999,999999999999,999999999999
1512,free,12,808,152540277,0,10222,1697950,808,138781,1000000,10222,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154239110,1000000,10286,23229262,2224,139143,16000000,10286,999999999999,999999999999,999999999999
1798,strdup,47,960,177469714,0,4,2513966,960,140766,0,4,999999999999,999999999999,999999999999
1800,strlen,179,648,179984431,0,1570,4646421,648,141785,2000000,1601,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184638108,0,1,4611412,1400,165186,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189250418,0,1,1830622,824,166407,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191083440,0,1,1902189,816,174018,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,192987254,0,1,9919607,2712,175731,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,202907795,0,1,1464985,512,177269,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204373693,0,1,1818056,544,177687,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206192677,0,1,3416462,648,179152,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209610032,0,1,1855056,536,181029,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211468509,0,1,9265475,1976,184280,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,220734880,0,5,8609538,1504,185578,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229345409,0,17,4374392,1072,187821,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,233720816,0,1340,4582792,648,189376,0,1340,999999999999,999999999999,999999999999
1794,strcmp,105,600,238307617,1000000,21636,3535104,600,233496,11000000,21668,999999999999,999999999999,999999999999
2240,check_options,171,1024,241854784,0,1,4252252,1024,501752,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246117970,0,1,2227426,896,1122903,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248346273,0,5,4909978,1120,1123861,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253258062,0,5,2061342,824,1124641,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255320358,0,1,4614268,1360,1125431,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,259935478,0,1,1924307,824,1126338,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,261862195,0,572,7270625,1144,1128296,2000000,572,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269134411,0,1,1826837,536,1133716,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,270971043,0,1,1779021,808,1423354,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,272750906,0,1,2129156,584,1423953,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,274884460,0,1,1447016,512,1427590,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276332327,0,1,3427004,1112,1428336,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,279766632,0,1,4656458,1360,1717693,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,284423929,0,885,2556485,936,1719260,0,917,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,286981306,0,939,4954386,1072,1720691,0,971,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,291936773,1000000,939,13005870,2584,1723315,2000000,971,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,304945803,0,156,1752184,528,1727377,1000000,188,999999999999,999999999999,999999999999
27183,format_line,895,2496,306699064,0,156,12534084,2496,1728822,1000000,188,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319234177,0,670,4202914,1048,1730681,1000000,862,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,323438869,0,156,6177902,1280,1738314,0,188,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,329617872,0,1634,4005780,1152,1741000,1000000,2209,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,333625433,0,1634,6923255,1568,1744115,2000000,2209,999999999999,999999999999,999999999999
