id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74239,0,0,3667623,984,74405,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3742941,0,1,1827476,864,78580,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571057,0,1,1983400,840,79349,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7555108,200000,23383,1961465,824,80919,1866666,11548,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9523100,0,1,5503467,1296,88450,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15027386,0,3,1923792,824,90275,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16957672,0,140,1792222,808,97334,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18750566,1466666,4928,99105827,9304,98216,261866666,4928,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117869199,0,2,2008601,824,124245,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119881348,0,2,5811433,1320,125718,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125693636,0,2,3356806,984,127471,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129051595,39000000,13914,9158984,1200,132203,256066666,14777,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138211785,1333933333,50500325,14630654,1824,135978,110959733333,50504051,999999999999,999999999999,999999999999
1512,free,12,808,152843490,133333,9822,1703367,808,139983,666666,9822,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154547730,933333,9892,23290614,2224,140383,25400000,9892,999999999999,999999999999,999999999999
1798,strdup,47,960,177839709,0,3,2510532,960,142069,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180351034,133333,1859,4649144,648,142997,4266666,1880,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185007123,0,1,4624087,1400,166458,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189632046,0,1,1843154,824,167668,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191477668,0,1,1910983,816,174935,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193390255,0,1,9953296,2712,176599,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203344481,0,1,1472163,512,178162,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204817571,0,1,1827290,544,178572,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206645713,0,1,3418468,648,180057,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210065091,0,1,1867304,536,181975,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211936277,0,1,9271249,1976,185310,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221208500,0,5,8635801,1504,186604,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229845252,0,18,4382169,1072,188878,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234228397,133333,1811,4594510,648,190496,133333,1811,999999999999,999999999999,999999999999
