id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74747,0,0,3671376,984,74239,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3747202,0,1,1823293,864,78099,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571152,0,1,1980221,840,78876,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7552021,0,62,1959368,824,80323,0,62,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9518059,0,1,5482508,1296,87773,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15001403,0,3,1921191,824,89522,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16928109,0,5,1794903,808,96238,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18723705,0,3404,98959251,9304,97112,15000000,3404,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117695627,0,2,1988307,824,121379,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119687240,0,2,5801020,1320,122759,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125489150,0,2,3345932,984,124408,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,128836191,60000000,5896,9134334,1200,129147,366000000,6683,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,137971750,11000000,13163,14619420,1824,132973,4865000000,16100,999999999999,999999999999,999999999999
1512,free,12,808,152592291,0,6250,1698398,808,137074,1000000,6250,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154291544,0,6293,23278024,2224,137436,66000000,6293,999999999999,999999999999,999999999999
1798,strdup,47,960,177570868,0,2,2497239,960,139133,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180068898,0,1303,4635977,648,139937,0,1337,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184711596,0,1,4616538,1400,163775,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189328993,0,1,1840300,824,165074,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191171755,0,1,1915584,816,172777,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193088883,0,1,9942077,2712,174450,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203031884,0,1,1466579,512,175974,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204499315,0,1,1825505,544,176347,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206325657,0,1,3416368,648,177759,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209742893,0,1,1861190,536,179578,0,1,999999999999,999999999999,999999999999
