id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74253,0,0,3669171,984,74476,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3744503,0,1,1827867,864,78622,0,1,999999999999,999999999999,999999999999
30,init,20,840,5573006,0,1,1983543,840,79392,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7557199,200000,23384,1961675,824,80954,1866666,11549,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9525414,0,1,5502563,1296,88501,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15028795,0,3,1923726,824,90320,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16958974,0,140,1792836,808,97366,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18752484,1466666,5049,99106321,9304,98247,262466666,5049,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117871466,0,2,2008776,824,124149,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119883757,0,2,5812115,1320,125618,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125696729,0,2,3356811,984,127368,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129054694,42333333,14032,9157948,1200,132101,274333333,14949,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138213842,1334533333,50500694,14629590,1824,135874,111283200000,50504625,999999999999,999999999999,999999999999
1512,free,12,808,152844483,133333,9974,1703337,808,139879,733333,9974,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154548695,933333,10044,23292098,2224,140278,29466666,10044,999999999999,999999999999,999999999999
1798,strdup,47,960,177842151,0,3,2510205,960,141964,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180353150,133333,1869,4648981,648,142877,4133333,1892,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185009056,0,1,4624190,1400,166376,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189634085,0,1,1842909,824,167595,0,1,999999999999,999999999999,999999999999
