id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74535,0,0,3648146,984,73176,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3723777,0,1,1817430,864,77476,0,1,999999999999,999999999999,999999999999
30,init,20,840,5541915,0,1,1978085,840,78242,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7520648,0,50,1956219,824,79789,0,50,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9483351,0,1,5496064,1296,87020,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,14980262,0,3,1922173,824,88838,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16908578,0,5,1785696,808,95756,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18694937,0,1587,98951836,9304,96642,6000000,1587,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117661619,0,2,1985696,824,122827,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119651109,0,2,5790793,1320,124252,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125442753,0,2,3345856,984,125959,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,128789702,10000000,4125,9149879,1200,130679,92000000,4094,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,137940886,2000000,7635,14635371,1824,134532,13000000,7488,999999999999,999999999999,999999999999
1512,free,12,808,152577384,0,3960,1698853,808,138641,0,3960,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154277071,0,4015,23255763,2224,139007,5000000,4015,999999999999,999999999999,999999999999
1798,strdup,47,960,177534239,0,2,2502143,960,140703,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180037166,0,1159,4638414,648,141734,2000000,1158,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184682603,0,1,4614990,1400,165009,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189298409,0,1,1843982,824,166169,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191144747,0,1,1912770,816,173517,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193059121,0,1,9939410,2712,175123,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,202999419,0,1,1472497,512,176698,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204472813,0,1,1822455,544,177100,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206296077,0,1,3409687,648,178688,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,209706701,0,1,1865256,536,180715,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211576549,0,1,9245008,1976,183952,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,220822474,0,5,8652956,1504,185345,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229476478,0,17,4372732,1072,187656,0,17,999999999999,999999999999,999999999999
2234,av_strstart,211,648,233850252,0,1340,4594459,648,189344,0,1340,999999999999,999999999999,999999999999
1794,strcmp,105,600,238448842,0,6970,3545014,600,234066,8000000,6969,999999999999,999999999999,999999999999
2240,check_options,171,1024,242006167,0,1,4266122,1024,501403,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246283794,0,1,2238545,896,1122307,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248523182,0,5,4922390,1120,1123253,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253447353,0,5,2081511,824,1123992,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255529823,0,1,4619467,1360,1124780,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260150164,0,1,1921034,824,1125719,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262073570,0,433,7283027,1144,1127672,2000000,433,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269358250,0,1,1829500,536,1132884,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271198004,0,1,1782970,808,1422888,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,272981796,0,1,2137577,584,1423493,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275123554,0,1,1448111,512,1427129,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276572504,0,1,3434468,1112,1427848,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280014181,0,1,4669782,1360,1716762,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,284684876,0,674,2557558,936,1718319,0,673,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287243213,0,674,4960552,1072,1719720,0,673,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292204894,0,674,13021331,2584,1722276,0,673,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305229613,0,108,1750633,528,1726262,0,107,999999999999,999999999999,999999999999
27183,format_line,895,2496,306981260,0,108,12586466,2496,1727755,0,107,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319568796,0,440,4234000,1048,1729772,0,434,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,323804767,0,108,6165109,1280,1737413,0,107,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,329970885,0,1236,4023820,1152,1740085,0,1222,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,333996513,0,1236,6913971,1568,1743277,0,1222,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,340911468,1000000,2472,211282371,18952,1744898,3000000,2444,999999999999,999999999999,999999999999
1724,__towrite,94,624,552196569,0,1240,3330008,624,1755009,0,1225,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,555528640,1000000,5584,7103734,1368,1759359,1000000,5451,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,562634034,0,1674,5803370,1808,1764613,1000000,1648,999999999999,999999999999,999999999999
1805,strnlen,27,880,568441602,0,1030,2097382,880,1771248,0,1023,999999999999,999999999999,999999999999
1784,memchr,371,800,570540258,0,1057,7761026,800,1772088,5000000,1050,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578304290,0,1244,4371588,1176,1789685,1000000,1230,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,582677816,0,639,3184171,616,1796009,5000000,626,999999999999,999999999999,999999999999
1743,snprintf,58,912,585863860,0,599,2235052,912,1801432,0,598,999999999999,999999999999,999999999999
1572,__isatty,103,968,588104143,0,1,2967234,968,1847906,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591072548,0,3,1770935,824,1848974,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,592849771,0,114,1734232,840,1853549,0,113,999999999999,999999999999,999999999999
1795,__stpcpy,374,776,594585061,0,114,6423065,776,1854218,0,113,999999999999,999999999999,999999999999
27187,sanitize,146,600,601010195,0,432,3551883,600,1857806,0,428,999999999999,999999999999,999999999999
27188,colored_fputs,182,1096,604563214,0,432,3753915,1096,1858924,0,428,999999999999,999999999999,999999999999
27190,check_color_terminal,266,1224,608318877,0,1,4177534,1224,1876064,0,1,999999999999,999999999999,999999999999
27191,ansi_fputs,464,1232,612499823,0,107,5413753,1232,1889447,0,106,999999999999,999999999999,999999999999
1727,fputs,38,944,617914519,1000000,107,2172367,944,1891638,0,106,999999999999,999999999999,999999999999
1735,fwrite,278,1384,620088527,0,107,7564769,1384,1894672,0,106,999999999999,999999999999,999999999999
1710,__stdio_write,316,1368,627654684,0,107,7080273,1368,1896936,0,106,999999999999,999999999999,999999999999
1709,writev,115,984,634735968,0,107,3055680,984,1898606,1000000,106,999999999999,999999999999,999999999999
1551,__wasi_fd_write,22,824,637792851,0,108,1923475,824,1899798,0,107,999999999999,999999999999,999999999999
1920,av_bprint_finalize,354,1280,639744226,0,112,5578595,1280,1919387,0,110,999999999999,999999999999,999999999999
27189,ff_mutex_unlock.50956,22,528,645324289,0,108,1750575,528,1922063,0,107,999999999999,999999999999,999999999999
2259,print_all_libs_info,3335,6088,647119818,0,2,29429632,6088,2845250,0,2,999999999999,999999999999,999999999999
2261,avutil_configuration,3,512,676551473,0,1,1409914,512,2846849,0,1,999999999999,999999999999,999999999999
2263,avcodec_configuration,3,512,677964234,0,1,1322641,512,2944597,0,1,999999999999,999999999999,999999999999
2265,avformat_configuration,3,512,679288854,0,1,1373315,512,3042719,0,1,999999999999,999999999999,999999999999
2267,avdevice_configuration,3,512,680663934,0,1,1428929,512,3142321,0,1,999999999999,999999999999,999999999999
2269,avfilter_configuration,3,512,682094584,0,1,1439172,512,3241296,0,1,999999999999,999999999999,999999999999
2271,swscale_configuration,3,512,683535389,0,1,1435168,512,3340332,0,1,999999999999,999999999999,999999999999
2273,swresample_configuration,3,512,684972292,0,1,1443244,512,3440037,0,1,999999999999,999999999999,999999999999
2275,postproc_configuration,3,512,686417276,0,1,1429209,512,3539736,0,1,999999999999,999999999999,999999999999
2260,avutil_version,368,1320,687848496,0,1,4415700,1320,3639093,0,1,999999999999,999999999999,999999999999
1839,llrint,40,832,692265119,0,11472,2041297,832,3642508,20000000,11472,999999999999,999999999999,999999999999
2262,avcodec_version,3,512,694340193,0,1,1448306,512,3854923,0,1,999999999999,999999999999,999999999999
2264,avformat_version,3,512,695807922,0,1,1441540,512,4050045,0,1,999999999999,999999999999,999999999999
2266,avdevice_version,3,512,697268378,0,1,1438602,512,4244261,0,1,999999999999,999999999999,999999999999
2268,avfilter_version,3,512,698725806,0,1,1437323,512,4437202,0,1,999999999999,999999999999,999999999999
2270,swscale_version,3,512,700181940,0,1,1433811,512,4631981,0,1,999999999999,999999999999,999999999999
2272,swresample_version,3,512,701634715,0,1,1432070,512,4826441,0,1,999999999999,999999999999,999999999999
2274,postproc_version,3,512,703085991,0,1,1434764,512,5022436,0,1,999999999999,999999999999,999999999999
2099,ffmpeg_parse_options,482,1784,704539911,0,1,7002495,1784,5216787,0,1,999999999999,999999999999,999999999999
