id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,75620,0,0,3651170,984,71298,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3727862,0,1,1844499,864,75671,0,1,999999999999,999999999999,999999999999
30,init,20,840,5572974,0,1,1979850,840,76470,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7553466,0,17,1963870,824,78159,0,17,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9524037,0,1,5514472,1296,85939,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15039286,0,3,1928412,824,87733,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16974637,0,5,1795038,808,94565,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18770360,0,756,99090574,9304,95514,0,756,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117873229,0,2,1990068,824,122837,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119866694,0,2,5803802,1320,124455,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125671289,0,2,3347663,984,126473,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129019977,10000000,1747,9152793,1200,131220,81000000,1705,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138173864,0,5706,14629014,1824,134953,6000000,5533,999999999999,999999999999,999999999999
1512,free,12,808,152803921,0,1392,1702500,808,139315,2000000,1392,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154507251,0,1413,23272195,2224,139796,8000000,1413,999999999999,999999999999,999999999999
1798,strdup,47,960,177780815,0,2,2514554,960,141554,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180296083,0,1135,4678234,648,142494,1000000,1134,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184981387,0,1,4640935,1400,166231,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189623209,0,1,1842086,824,167357,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191467726,0,1,1906858,816,173532,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193376232,0,1,9950225,2712,175199,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203327363,0,1,1473554,512,176735,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204801852,0,1,1828012,544,177235,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206630757,0,1,3420516,648,178630,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210052187,0,1,1867215,536,180497,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211923973,0,1,9279965,1976,183803,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221204823,0,5,8625578,1504,185074,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229831254,0,23,4383539,1072,187324,0,23,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234215799,1000000,1610,4595438,648,188897,0,1610,999999999999,999999999999,999999999999
1794,strcmp,105,600,238815274,0,5182,3550415,600,234079,3000000,5181,999999999999,999999999999,999999999999
2240,check_options,171,1024,242378741,0,1,4257152,1024,549941,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246648377,0,1,2239979,896,1262099,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248889260,0,5,4935880,1120,1263007,0,5,999999999999,999999999999,999999999999
