id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74120,0,0,3664503,984,74452,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3739699,0,1,1825844,864,78608,0,1,999999999999,999999999999,999999999999
30,init,20,840,5566186,0,1,1983189,840,79370,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7550028,200000,23293,1960690,824,80924,1866666,11458,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9517244,0,1,5499706,1296,88478,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15017771,0,3,1922954,824,90297,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16947182,0,140,1791913,808,97303,0,140,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18739767,1400000,3640,99091669,9304,98184,257800000,3640,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117844260,0,2,2007029,824,124081,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119854831,0,2,5810334,1320,125548,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125666025,0,2,3355370,984,127299,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129022550,41533333,10943,9156996,1200,132047,206000000,11832,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138180752,1334666666,50494363,14629391,1824,135841,111265266666,50498153,999999999999,999999999999,999999999999
1512,free,12,808,152811199,66666,7459,1702598,808,139875,466666,7459,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154514672,866666,7511,23284994,2224,140265,24333333,7511,999999999999,999999999999,999999999999
1798,strdup,47,960,177801028,0,3,2509360,960,141951,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180311181,133333,1363,4647183,648,142878,2666666,1385,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184965297,0,1,4623199,1400,166388,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189589333,0,1,1842557,824,167594,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191434361,0,1,1910884,816,175019,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193346842,0,1,9951190,2712,176686,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203298960,0,1,1471155,512,178245,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204771037,0,1,1826620,544,178653,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206598511,0,1,3417285,648,180128,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210016702,0,1,1865298,536,182030,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211885882,0,1,9269043,1976,185370,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221155899,0,5,8630440,1504,186661,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229787300,0,18,4381010,1072,188924,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234169286,133333,1768,4592757,648,190538,133333,1768,999999999999,999999999999,999999999999
1794,strcmp,105,600,238766093,333333,16335,3549861,600,235181,6666666,16354,999999999999,999999999999,999999999999
2240,check_options,171,1024,242329206,0,1,4258859,1024,578395,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246601278,0,1,2233429,896,1348061,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248835543,0,5,4927717,1120,1349051,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253764997,0,5,2077523,824,1349818,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255843468,0,1,4626419,1360,1350639,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260470794,0,1,1931837,824,1351578,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262405016,66666,529,7282049,1144,1353486,1200000,529,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269688717,0,1,1832682,536,1358863,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271532660,0,1,1783278,808,1723735,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273316702,0,1,2136001,584,1724382,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275456898,0,1,1451530,512,1728074,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276909275,0,1,3437838,1112,1728830,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280355616,0,1,4672134,1360,2094661,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285028626,66666,767,2563016,936,2096214,533333,786,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287592470,200000,801,4975125,1072,2097671,733333,821,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292568720,733333,801,13023117,2584,2100427,2400000,821,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305595261,0,139,1749442,528,2104470,66666,159,999999999999,999999999999,999999999999
27183,format_line,895,2496,307345718,0,139,12573559,2496,2105994,333333,159,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319920270,0,597,4220586,1048,2107913,1000000,713,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324142710,0,139,6182817,1280,2115576,133333,159,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330326595,66666,1339,4011881,1152,2118213,733333,1690,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334340154,133333,1340,6917164,1568,2121266,1600000,1691,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341258319,533333,2680,211357391,18952,2122928,7866666,3382,999999999999,999999999999,999999999999
1724,__towrite,94,624,552618522,0,1356,3337035,624,2133076,1000000,1727,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,555957546,66666,7968,7093192,1368,2137465,4133333,11428,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,563052437,200000,2088,5806418,1808,2142694,4466666,2739,999999999999,999999999999,999999999999
1805,strnlen,27,880,568863039,0,993,2100198,880,2148734,333333,1128,999999999999,999999999999,999999999999
1784,memchr,371,800,570964510,0,1025,7752866,800,2149636,2800000,1160,999999999999,999999999999,999999999999
1763,sn_write,184,1176,578720252,66666,1383,4372415,1176,2166996,600000,1773,999999999999,999999999999,999999999999
27049,av_bprint_grow,199,616,583094678,66666,675,3186147,616,2173051,2600000,1006,999999999999,999999999999,999999999999
1743,snprintf,58,912,586282671,66666,641,2241240,912,2178348,133333,661,999999999999,999999999999,999999999999
1572,__isatty,103,968,588529151,0,1,2971650,968,2224859,0,1,999999999999,999999999999,999999999999
1542,__wasi_fd_fdstat_get,18,824,591501944,0,3,1771415,824,2226034,0,3,999999999999,999999999999,999999999999
1796,strcpy,17,840,593279557,0,503,1735315,840,2230653,66666,523,999999999999,999999999999,999999999999
