id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,76532,0,0,3718167,984,73542,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3795836,0,1,1847773,864,77693,0,1,999999999999,999999999999,999999999999
30,init,20,840,5644218,0,1,1983385,840,78568,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7628210,0,1416,1970997,824,80239,0,1416,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9605909,0,1,5538922,1296,87354,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15145625,0,3,1933754,824,89188,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,17085465,0,5,1799545,808,96701,0,5,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18885687,1000000,22727,99171618,9304,97579,76000000,22727,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,118069701,0,2,2011889,824,123846,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,120084993,0,2,5817500,1320,125303,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125903309,0,2,3367464,984,126990,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129271860,22000000,50459,9164161,1200,131485,1117000000,50859,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138437245,0,102600,14638357,1824,135023,282000000,104561,999999999999,999999999999,999999999999
1512,free,12,808,153076652,1000000,41692,1709946,808,138708,4000000,41692,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154787416,1000000,42012,23362326,2224,139207,82000000,42012,999999999999,999999999999,999999999999
1798,strdup,47,960,178151087,0,2,2514818,960,140902,0,2,999999999999,999999999999,999999999999
1800,strlen,179,648,180666700,0,8752,4665392,648,141723,24000000,8762,999999999999,999999999999,999999999999
1534,__main_void,214,1400,185338979,0,1,4629859,1400,164824,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189969694,0,1,1849257,824,166182,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191821354,0,1,1917067,816,171512,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193740079,0,1,9973667,2712,173140,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203714691,0,1,1481696,512,174724,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,205197323,0,1,1835559,544,175130,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,207033698,0,1,3434104,648,176705,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210468726,0,1,1891279,536,178751,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,212363698,0,1,9280404,1976,182094,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221645054,0,5,8675245,1504,183424,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,230321265,0,29,4391894,1072,185866,0,29,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234714180,0,2669,4612201,648,187494,0,2669,999999999999,999999999999,999999999999
1794,strcmp,105,600,239330423,2000000,56989,3572871,600,232571,23000000,56999,999999999999,999999999999,999999999999
2240,check_options,171,1024,242919236,0,1,4269000,1024,751724,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,247206026,0,1,2236467,896,1864292,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,249443394,0,5,4965907,1120,1865311,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,254411039,0,5,2083437,824,1866069,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,256495387,0,1,4660888,1360,1866894,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,261157162,0,1,1964352,824,1867851,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,263123811,0,4511,7302036,1144,1869821,5000000,4511,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,270427408,0,1,1840619,536,1875519,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,272281411,0,1,1800404,808,2413374,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,274082593,0,1,2140952,584,2414081,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,276227995,0,1,1458597,512,2418126,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,277687424,0,1,3452858,1112,2418986,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,281150917,0,1,4680569,1360,2953877,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285832426,0,10581,2574892,936,2955427,4000000,10591,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,288408055,0,10581,5009700,1072,2956846,16000000,10591,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,293418936,1000000,10581,13075716,2584,2959600,38000000,10591,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,306498057,1000000,145,1762384,528,2964028,0,155,999999999999,999999999999,999999999999
27183,format_line,895,2496,308261502,0,145,12610434,2496,2965417,0,155,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,320872890,0,593,4256306,1048,2967191,1000000,653,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,325131066,0,145,6198935,1280,2974838,1000000,155,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,331331047,0,18835,4025366,1152,2977591,11000000,19015,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,335358089,2000000,18835,6930629,1568,2980710,15000000,19015,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,342289696,2000000,37670,211905385,18952,2982373,98000000,38030,999999999999,999999999999,999999999999
1724,__towrite,94,624,554197733,0,18842,3365230,624,2992791,13000000,19032,999999999999,999999999999,999999999999
1734,__fwritex,234,1368,557564957,1000000,71583,7105893,1368,2997387,29000000,73374,999999999999,999999999999,999999999999
1749,pop_arg,565,1808,564672527,0,19465,5829391,1808,3003400,41000000,19807,999999999999,999999999999,999999999999
1805,strnlen,27,880,570506429,0,747,2104541,880,3009425,0,817,999999999999,999999999999,999999999999
1784,memchr,371,800,572612268,0,1094,7756280,800,3010332,1000000,1164,999999999999,999999999999,999999999999
