id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
26,_start,69,984,74270,0,0,3667857,984,74395,0,0,999999999999,999999999999,999999999999
24,__wasm_call_ctors,8,864,3743208,0,1,1827215,864,78550,0,1,999999999999,999999999999,999999999999
30,init,20,840,5571063,0,1,1983202,840,79320,0,1,999999999999,999999999999,999999999999
1540,__wasi_clock_time_get,20,824,7554915,187500,21926,1961334,824,80882,1750000,10831,999999999999,999999999999,999999999999
1588,__wasilibc_populate_preopens,182,1296,9522785,0,1,5502157,1296,88408,0,1,999999999999,999999999999,999999999999
1545,__wasi_fd_prestat_get,18,824,15025762,0,3,1923629,824,90228,0,3,999999999999,999999999999,999999999999
1510,malloc,12,808,16955824,0,131,1792390,808,97265,0,131,999999999999,999999999999,999999999999
1511,dlmalloc,6541,9304,18748887,1375000,4832,99096666,9304,98147,246437500,4832,999999999999,999999999999,999999999999
1546,__wasi_fd_prestat_dir_name,20,824,117858350,0,2,2007333,824,124066,0,2,999999999999,999999999999,999999999999
1585,internal_register_preopened_fd,280,1320,119869216,0,2,5810782,1320,125533,0,2,999999999999,999999999999,999999999999
1514,calloc,109,984,125680855,0,2,3356126,984,127280,0,2,999999999999,999999999999,999999999999
1788,memset,393,1200,129038132,40312500,13413,9157444,1200,132012,262937500,14271,999999999999,999999999999,999999999999
1786,memcpy,1000,1824,138196782,1251250000,47344878,14629951,1824,135790,104328812500,47348554,999999999999,999999999999,999999999999
1512,free,12,808,152827790,125000,9598,1703057,808,139802,687500,9598,999999999999,999999999999,999999999999
1513,dlfree,1698,2224,154531718,875000,9667,23289827,2224,140198,27937500,9667,999999999999,999999999999,999999999999
1798,strdup,47,960,177822907,0,3,2509701,960,141885,0,3,999999999999,999999999999,999999999999
1800,strlen,179,648,180333401,125000,1825,4648321,648,142806,4000000,1846,999999999999,999999999999,999999999999
1534,__main_void,214,1400,184988652,0,1,4623615,1400,166291,0,1,999999999999,999999999999,999999999999
1537,__wasi_args_sizes_get,18,824,189613106,0,1,1842976,824,167506,0,1,999999999999,999999999999,999999999999
1536,__wasi_args_get,18,816,191458548,0,1,1911270,816,174800,0,1,999999999999,999999999999,999999999999
2379,main,836,2712,193371419,0,1,9952595,2712,176465,0,1,999999999999,999999999999,999999999999
2225,init_dynload,3,512,203324943,0,1,1471814,512,178025,0,1,999999999999,999999999999,999999999999
2226,register_exit,40,544,204797680,0,1,1827179,544,178433,0,1,999999999999,999999999999,999999999999
1742,setvbuf,125,648,206625710,0,1,3418337,648,179914,0,1,999999999999,999999999999,999999999999
2356,av_log_set_flags,36,536,210044954,0,1,1866922,536,181825,0,1,999999999999,999999999999,999999999999
2239,parse_loglevel,540,1976,211915745,0,1,9269753,1976,185165,0,1,999999999999,999999999999,999999999999
2238,locate_option,447,1504,221186471,0,5,8633240,1504,186459,0,5,999999999999,999999999999,999999999999
2232,find_option,181,1072,229820673,0,18,4381691,1072,188733,0,18,999999999999,999999999999,999999999999
2234,av_strstart,211,648,234203342,125000,1824,4593972,648,190348,125000,1824,999999999999,999999999999,999999999999
1794,strcmp,105,600,238801363,437500,18876,3551299,600,235018,7687500,18895,999999999999,999999999999,999999999999
2240,check_options,171,1024,242366083,0,1,4259493,1024,589228,0,1,999999999999,999999999999,999999999999
2242,getenv_utf8.799,56,896,246639075,0,1,2233619,896,1380325,0,1,999999999999,999999999999,999999999999
1593,getenv,154,1120,248873534,0,5,4930104,1120,1381317,0,5,999999999999,999999999999,999999999999
1591,__wasilibc_ensure_environ,27,824,253805375,0,5,2077892,824,1382084,0,5,999999999999,999999999999,999999999999
1592,__wasilibc_initialize_environ,194,1360,255884213,0,1,4628574,1360,1382905,0,1,999999999999,999999999999,999999999999
1539,__wasi_environ_sizes_get,18,824,260513692,0,1,1933869,824,1383845,0,1,999999999999,999999999999,999999999999
1793,__strchrnul,354,1144,262449940,62500,777,7283299,1144,1385757,1437500,777,999999999999,999999999999,999999999999
2245,freeenv_utf8.801,17,536,269734885,0,1,1833178,536,1391154,0,1,999999999999,999999999999,999999999999
2380,avdevice_register_all,9,808,271579457,0,1,1784348,808,1766837,0,1,999999999999,999999999999,999999999999
2512,avpriv_register_devices,85,584,273364570,0,1,2136311,584,1767488,0,1,999999999999,999999999999,999999999999
2381,avformat_network_init,3,512,275505091,0,1,1451972,512,1771203,0,1,999999999999,999999999999,999999999999
2257,show_banner,145,1112,276957909,0,1,3438777,1112,1771965,0,1,999999999999,999999999999,999999999999
2258,print_program_info,282,1360,280405323,0,1,4672661,1360,2148362,0,1,999999999999,999999999999,999999999999
1879,av_log,88,936,285078864,62500,1380,2563758,936,2149915,750000,1399,999999999999,999999999999,999999999999
4309,av_vlog,258,1072,287643444,187500,1413,4977286,1072,2151370,1687500,1431,999999999999,999999999999,999999999999
2350,av_log_default_callback,1014,2584,292621859,750000,1413,13026404,2584,2154125,4625000,1431,999999999999,999999999999,999999999999
27186,ff_mutex_lock.50953,22,528,305651686,62500,140,1750251,528,2158193,62500,159,999999999999,999999999999,999999999999
27183,format_line,895,2496,307402955,0,140,12575864,2496,2159708,312500,159,999999999999,999999999999,999999999999
1918,av_bprint_init,249,1048,319979809,0,597,4222819,1048,2161618,1000000,709,999999999999,999999999999,999999999999
8690,av_vbprintf,305,1280,324204482,0,140,6183825,1280,2169280,187500,159,999999999999,999999999999,999999999999
1762,vsnprintf,180,1152,330389373,62500,2433,4012724,1152,2171925,1375000,2773,999999999999,999999999999,999999999999
1747,vfprintf,398,1568,334403775,250000,2433,6918006,1568,2174981,2437500,2773,999999999999,999999999999,999999999999
1748,printf_core,9070,18952,341322780,625000,4867,211391641,18952,2176643,13500000,5547,999999999999,999999999999,999999999999
1724,__towrite,94,624,552717222,0,2449,3338797,624,2186808,1750000,2808,999999999999,999999999999,999999999999
