id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,84,976,65510,0,0,4567949,976,54710,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4634239,0,1,1487133,512,58420,0,1,999999999999,999999999999,999999999999
8,__original_main,35,880,6122002,0,1,2782526,880,58950,0,1,999999999999,999999999999,999999999999
7,Mm,1575,2712,8905108,130000000,5000,19144137,2712,59690,27120000000,5000,999999999999,999999999999,999999999999
17,printf,60,912,28089535,0,40,2325615,912,5587591,0,40,999999999999,999999999999,999999999999
40,vfprintf,398,1568,30415920,0,40,6857113,1568,5588451,0,40,999999999999,999999999999,999999999999
41,printf_core,8995,18856,37273673,0,80,207544516,18856,5589821,0,80,999999999999,999999999999,999999999999
29,__towrite,94,624,244821029,0,1,3322456,624,5600701,0,1,999999999999,999999999999,999999999999
30,__fwritex,238,1344,248144985,0,240,7107674,1344,5604711,0,240,999999999999,999999999999,999999999999
45,memcpy,1008,1888,255253589,0,240,15176900,1888,5605881,0,240,999999999999,999999999999,999999999999
42,pop_arg,565,1808,270431989,0,40,5843261,1808,5609191,0,40,999999999999,999999999999,999999999999
37,frexp,144,1200,276278860,0,40,3177186,1200,5614691,0,40,999999999999,999999999999,999999999999
46,memset,394,1200,279457636,0,2,9165458,1200,5639511,0,2,999999999999,999999999999,999999999999
43,pad,159,1168,288624404,0,40,5319601,1168,5643701,0,40,999999999999,999999999999,999999999999
24,__stdout_write,60,1008,293945415,0,1,2952296,1008,5648861,0,1,999999999999,999999999999,999999999999
23,__isatty,103,968,296898461,0,1,2969925,968,5649441,0,1,999999999999,999999999999,999999999999
11,__wasi_fd_fdstat_get,18,824,299869046,0,1,1769684,824,5650171,0,1,999999999999,999999999999,999999999999
22,__stdio_write,316,1368,301644330,0,2,7030243,1368,5654631,0,2,999999999999,999999999999,999999999999
21,writev,115,976,308675524,0,2,2904665,976,5655581,0,2,999999999999,999999999999,999999999999
13,__wasi_fd_write,22,824,311581009,0,2,1817053,824,5656381,0,2,999999999999,999999999999,999999999999
16,__wasm_call_dtors,15,864,450945811,0,1,2565905,864,27380010716,0,1,999999999999,999999999999,999999999999
15,dummy,3,512,453513396,0,1,1491773,512,27380011826,0,1,999999999999,999999999999,999999999999
28,__stdio_exit,388,1712,455006469,0,1,8410827,1712,27380012606,0,1,999999999999,999999999999,999999999999
27,__ofl_lock,10,520,463418316,0,1,1621373,520,27380013986,0,1,999999999999,999999999999,999999999999
