id,name,size.bytecode,size.static
5,__wasm_call_ctors,3,512
6,_start,84,976
7,Mm,1575,2712
8,__original_main,35,880
9,main,9,800
10,__wasi_fd_close,16,816
11,__wasi_fd_fdstat_get,18,824
12,__wasi_fd_seek,22,824
13,__wasi_fd_write,22,824
14,__wasi_proc_exit,12,792
15,dummy,3,512
16,__wasm_call_dtors,15,864
17,printf,60,912
18,__wasilibc_populate_preopens,3,512
19,close,40,928
20,__stdio_close,14,840
21,writev,115,976
22,__stdio_write,316,1368
23,__isatty,103,968
24,__stdout_write,60,1008
25,__lseek,101,968
26,__stdio_seek,18,840
27,__ofl_lock,10,520
28,__stdio_exit,388,1712
29,__towrite,94,624
30,__fwritex,238,1344
31,fwrite,289,1368
32,dummy,5,512
33,__lctrans,13,808
34,strerror,87,904
35,wcrtomb,311,856
36,wctomb,26,848
37,frexp,144,1200
38,fputs,37,944
39,abort,6,504
40,vfprintf,398,1568
41,printf_core,8995,18856
42,pop_arg,565,1808
43,pad,159,1168
44,long_double_not_supported,30,856
45,memcpy,1008,1888
46,memset,394,1200
47,strlen,206,656
48,memchr,371,800
49,strnlen,25,880
