id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,85,984,60540,0,0,4578329,984,66260,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4639759,0,1,1465703,512,70240,0,1,999999999999,999999999999,999999999999
28,__main_void,214,1392,6106122,0,1,4973931,1392,70780,0,1,999999999999,999999999999,999999999999
30,__wasi_args_sizes_get,18,824,11080953,0,1,1940364,824,71780,0,1,999999999999,999999999999,999999999999
20,malloc,12,808,13024757,0,444001,1801964,808,75840,30000000,444001,999999999999,999999999999,999999999999
21,dlmalloc,5377,8240,14827351,0,1674002,80587534,8240,76320,2310000000,1674002,999999999999,999999999999,999999999999
25,calloc,108,984,95423305,10000000,1230001,3554598,984,95420,290000000,1230001,999999999999,999999999999,999999999999
72,memset,394,1200,98979023,80000000,2227001,9163990,1200,99030,9760000000,2227001,999999999999,999999999999,999999999999
29,__wasi_args_get,18,816,108144191,0,1,1798323,816,100800,0,1,999999999999,999999999999,999999999999
13,main,186,1408,109944245,0,1,4005098,1408,101990,0,1,999999999999,999999999999,999999999999
26,gettimeofday,113,1016,113950154,0,2,3080086,1016,102700,0,2,999999999999,999999999999,999999999999
31,__wasi_clock_time_get,20,824,117030860,0,2,1794124,824,103480,0,2,999999999999,999999999999,999999999999
10,benchmark(),322527,643672,118833934,0,1000,5622920064,643672,108920,0,1000,999999999999,999999999999,999999999999
18,operator new(unsigned long),85,1072,5741755938,0,444000,4406829,1072,114770,50000000,444000,999999999999,999999999999,999999999999
11,"WTF::HashTable<JSC::DFG::Node*, JSC::DFG::Node*, WTF::IdentityExtractor, WTF::PtrHash<JSC::DFG::Node*>, WTF::HashTraits<JSC::DFG::Node*>, WTF::HashTraits<JSC::DFG::Node*>>::add(JSC::DFG::Node*&&)",477,1432,5746167497,100000000,1898000,10355301,1432,175230,2370000000,1898000,999999999999,999999999999,999999999999
14,"WTF::HashTable<JSC::DFG::Node*, JSC::DFG::Node*, WTF::IdentityExtractor, WTF::PtrHash<JSC::DFG::Node*>, WTF::HashTraits<JSC::DFG::Node*>, WTF::HashTraits<JSC::DFG::Node*>>::rehash(unsigned int, JSC::DFG::Node**)",361,1336,5756523718,0,233000,9431829,1336,176030,90000000,233000,999999999999,999999999999,999999999999
23,free,12,808,5765957487,0,1993000,1689104,808,185360,110000000,1993000,999999999999,999999999999,999999999999
24,dlfree,1713,2216,5767647271,70000000,1993000,23442128,2216,185770,3560000000,1993000,999999999999,999999999999,999999999999
19,operator delete(void*),11,808,5791094669,0,444000,1738184,808,265101,20000000,444000,999999999999,999999999999,999999999999
12,"WTF::HashTable<unsigned int, unsigned int, WTF::IdentityExtractor, WTF::IntHash<unsigned int>, WTF::UnsignedWithZeroKeyHashTraits<unsigned int>, WTF::UnsignedWithZeroKeyHashTraits<unsigned int>>::add(unsigned int&&)",473,1424,5792900693,210000000,7906000,10127920,1424,2913356,9910000000,7906000,999999999999,999999999999,999999999999
15,"WTF::HashTable<unsigned int, unsigned int, WTF::IdentityExtractor, WTF::IntHash<unsigned int>, WTF::UnsignedWithZeroKeyHashTraits<unsigned int>, WTF::UnsignedWithZeroKeyHashTraits<unsigned int>>::rehash(unsigned int, unsigned int*)",390,1424,5803029633,10000000,997000,9720050,1424,2914156,390000000,997000,999999999999,999999999999,999999999999
49,printf,60,912,6295732984,0,1,2965057,912,29171608809,0,1,999999999999,999999999999,999999999999
66,vfprintf,398,1568,6298699561,0,1,6931214,1568,29171610329,0,1,999999999999,999999999999,999999999999
67,printf_core,8995,18856,6305632015,0,2,203475767,18856,29171612279,0,2,999999999999,999999999999,999999999999
43,__towrite,94,624,6509110482,0,1,3339697,624,29171624079,0,1,999999999999,999999999999,999999999999
46,__fwritex,238,1344,6512451859,0,7,7020614,1344,29171629279,0,7,999999999999,999999999999,999999999999
71,memcpy,1008,1888,6519473333,0,7,15129001,1888,29171632939,0,7,999999999999,999999999999,999999999999
68,pop_arg,565,1808,6534604354,0,1,5863072,1808,29171642509,0,1,999999999999,999999999999,999999999999
64,frexp,144,1200,6540468626,0,1,3165006,1200,29171648319,0,1,999999999999,999999999999,999999999999
69,pad,159,1168,6543635592,0,1,5273111,1168,29171679759,0,1,999999999999,999999999999,999999999999
58,__stdout_write,60,1008,6548910133,0,1,2971446,1008,29171684579,0,1,999999999999,999999999999,999999999999
57,__isatty,103,968,6551882529,0,1,2976627,968,29171685489,0,1,999999999999,999999999999,999999999999
33,__wasi_fd_fdstat_get,18,824,6554859946,0,1,1780533,824,29171686509,0,1,999999999999,999999999999,999999999999
54,__stdio_write,316,1368,6556647419,0,1,7034355,1368,29171694309,0,1,999999999999,999999999999,999999999999
53,writev,115,984,6563682834,0,1,2923226,984,29171695609,0,1,999999999999,999999999999,999999999999
35,__wasi_fd_write,22,824,6566606890,0,1,1796824,824,29171696879,0,1,999999999999,999999999999,999999999999
40,__wasm_call_dtors,15,864,6568442464,0,1,1749304,864,29171744369,0,1,999999999999,999999999999,999999999999
39,dummy,3,512,6570192478,0,1,1361453,512,29171744909,0,1,999999999999,999999999999,999999999999
42,__stdio_exit,388,1712,6571554910,0,1,8183837,1712,29171745259,0,1,999999999999,999999999999,999999999999
48,__ofl_lock,9,520,6579739667,10000000,1,1483853,520,29171746039,10000000,1,999999999999,999999999999,999999999999
