id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,84,976,57850,0,0,4579659,976,57250,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4638339,0,1,1478234,512,61000,0,1,999999999999,999999999999,999999999999
8,__original_main,435,1344,6117173,0,1,7780146,1344,61410,0,1,999999999999,999999999999,999999999999
7,Quicksort,215,1088,13911889,10000000,214400,5759512,1088,1406613,1530000000,214400,999999999999,999999999999,999999999999
17,printf,60,912,19936341,0,100,2345105,912,17242465,0,100,999999999999,999999999999,999999999999
42,vfprintf,398,1568,22282066,0,100,7111875,1568,17243325,0,100,999999999999,999999999999,999999999999
43,printf_core,8995,18856,29394681,0,200,208473068,18856,17244815,0,200,999999999999,999999999999,999999999999
20,__towrite,94,624,237870229,0,1,3326417,624,17254955,0,1,999999999999,999999999999,999999999999
21,__fwritex,238,1344,241198046,0,400,7043754,1344,17258815,0,400,999999999999,999999999999,999999999999
47,memcpy,1008,1888,248242630,0,400,15157151,1888,17260135,160000000,400,999999999999,999999999999,999999999999
44,pop_arg,565,1808,263401581,0,100,5823702,1808,17264205,0,100,999999999999,999999999999,999999999999
32,__stdout_write,60,1008,269229993,0,1,2941436,1008,17280415,0,1,999999999999,999999999999,999999999999
31,__isatty,103,968,272172319,0,1,3007466,968,17281195,0,1,999999999999,999999999999,999999999999
11,__wasi_fd_fdstat_get,18,824,275180655,0,1,1785334,824,17282155,0,1,999999999999,999999999999,999999999999
30,__stdio_write,316,1368,276971199,0,2,7054905,1368,17287235,0,2,999999999999,999999999999,999999999999
29,writev,115,976,284027034,0,2,2924236,976,17288475,0,2,999999999999,999999999999,999999999999
13,__wasi_fd_write,22,824,286951960,0,2,1822683,824,17289335,0,2,999999999999,999999999999,999999999999
16,__wasm_call_dtors,15,864,300875168,0,1,1928684,864,1712593296,0,1,999999999999,999999999999,999999999999
15,dummy,3,512,302804772,0,1,1326472,512,1712594066,0,1,999999999999,999999999999,999999999999
19,__stdio_exit,388,1712,304131974,0,1,8189907,1712,1712594406,0,1,999999999999,999999999999,999999999999
18,__ofl_lock,10,520,312322811,0,1,1505694,520,1712595026,0,1,999999999999,999999999999,999999999999
