id,name,size.bytecode,size.static
5,__wasm_call_ctors,3,512
6,_start,84,976
7,Quicksort,215,1088
8,__original_main,435,1344
9,main,9,800
10,__wasi_fd_close,16,816
11,__wasi_fd_fdstat_get,18,824
12,__wasi_fd_seek,22,824
13,__wasi_fd_write,22,824
14,__wasi_proc_exit,12,792
15,dummy,3,512
16,__wasm_call_dtors,15,864
17,printf,60,912
18,__ofl_lock,10,520
19,__stdio_exit,388,1712
20,__towrite,94,624
21,__fwritex,238,1344
22,fwrite,289,1368
23,fputs,38,944
24,__overflow,165,1192
25,puts,109,984
26,__wasilibc_populate_preopens,3,512
27,close,40,928
28,__stdio_close,14,840
29,writev,115,976
30,__stdio_write,316,1368
31,__isatty,103,968
32,__stdout_write,60,1008
33,__lseek,101,968
34,__stdio_seek,18,840
35,dummy,5,512
36,__lctrans,13,808
37,strerror,87,904
38,wcrtomb,311,856
39,wctomb,26,848
40,frexp,144,1200
41,abort,6,504
42,vfprintf,398,1568
43,printf_core,8995,18856
44,pop_arg,565,1808
45,pad,159,1168
46,long_double_not_supported,30,856
47,memcpy,1008,1888
48,memset,394,1200
49,strlen,206,656
50,memchr,371,800
51,strnlen,25,880
