id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
18,_start,84,992,58080,0,0,4593029,992,60170,0,0,999999999999,999999999999,999999999999
16,__wasm_call_ctors,3,512,4651949,0,1,1483873,512,64420,0,1,999999999999,999999999999,999999999999
570,__main_void,214,1400,6136472,0,1,4950570,1400,64980,0,1,999999999999,999999999999,999999999999
573,__wasi_args_sizes_get,18,824,11087603,0,1,1929075,824,66000,0,1,999999999999,999999999999,999999999999
557,malloc,12,808,13020656,50000000,3952714,1799224,808,70070,340000000,3952714,999999999999,999999999999,999999999999
558,dlmalloc,5377,8272,14820570,60000000,3952876,80311775,8272,70570,13580000000,3952876,999999999999,999999999999,999999999999
562,calloc,109,984,95140595,0,102,3588848,984,91021,0,102,999999999999,999999999999,999999999999
667,memset,394,1200,98730643,40000000,2105377,9202449,1200,94721,1160000000,2105377,999999999999,999999999999,999999999999
572,__wasi_args_get,18,816,107933991,0,1,1787794,816,96561,0,1,999999999999,999999999999,999999999999
546,main,1740,3424,109723734,0,1,13260108,3424,97630,0,1,999999999999,999999999999,999999999999
635,printf,60,912,122984792,0,16,2194424,912,100961,0,16,999999999999,999999999999,999999999999
643,vfprintf,398,1568,125180157,10000000,2054290,6785614,1568,101770,1110000000,2054290,999999999999,999999999999,999999999999
644,printf_core,8995,18856,131966771,80000000,4108580,206548795,18856,103101,11010000000,4108580,999999999999,999999999999,999999999999
629,__towrite,94,624,338518075,80000000,2054275,3334187,624,111910,1350000000,2054275,999999999999,999999999999,999999999999
630,__fwritex,238,1344,341853341,150000000,8268209,7013205,1344,116961,2790000000,8268209,999999999999,999999999999,999999999999
666,memcpy,1008,1888,348867606,460000000,20652988,15054011,1888,119641,86720000000,20652988,999999999999,999999999999,999999999999
645,pop_arg,565,1808,363923287,60000000,2054297,5827841,1808,125021,4490000000,2054297,999999999999,999999999999,999999999999
638,__stdout_write,60,1008,369753468,0,1,2935806,1008,137401,0,1,999999999999,999999999999,999999999999
613,__isatty,104,968,372689914,0,1,2985937,968,138050,0,1,999999999999,999999999999,999999999999
578,__wasi_fd_fdstat_get,18,824,375676521,0,5,1775153,824,138730,0,5,999999999999,999999999999,999999999999
620,__stdio_write,316,1368,377457664,0,2,7056275,1368,142590,0,2,999999999999,999999999999,999999999999
619,writev,115,984,384515029,0,2,2927526,984,143770,0,2,999999999999,999999999999,999999999999
584,__wasi_fd_write,22,824,387443195,0,1887,1780984,824,144590,10000000,1887,999999999999,999999999999,999999999999
548,milliTime,151,1152,389261959,0,8,2367045,1152,195011,0,8,999999999999,999999999999,999999999999
565,gettimeofday,113,1016,391629824,0,8,3093446,1016,196021,0,8,999999999999,999999999999,999999999999
576,__wasi_clock_time_get,20,824,394724070,0,8,1794244,824,196901,0,8,999999999999,999999999999,999999999999
549,writeTest,6290,6992,396525174,0,1,44085450,6992,203051,0,1,999999999999,999999999999,999999999999
306,tsf_zip_wtr_attr_get_for_mode,246,1040,440611664,0,1,3589038,1040,226091,0,1,999999999999,999999999999,999999999999
303,tsf_zip_wtr_attr_get_default,167,592,444201732,0,1,2301635,592,227251,0,1,999999999999,999999999999,999999999999
291,tsf_stream_file_output_open,893,1648,446504226,0,1,8444827,1648,229941,0,1,999999999999,999999999999,999999999999
591,open,163,1024,454950093,0,4,2928916,1024,232521,0,4,999999999999,999999999999,999999999999
595,__wasilibc_find_relpath,95,904,457880139,0,4,2415485,904,233791,0,4,999999999999,999999999999,999999999999
596,__wasilibc_find_abspath,343,1408,460296604,0,4,9157409,1408,234511,0,4,999999999999,999999999999,999999999999
593,__wasilibc_populate_preopens,226,1296,469456123,0,8,5332011,1296,235131,0,8,999999999999,999999999999,999999999999
580,__wasi_fd_prestat_get,18,824,474788804,0,2,1925004,824,235931,0,2,999999999999,999999999999,999999999999
581,__wasi_fd_prestat_dir_name,20,824,476718288,0,1,1918194,824,239671,0,1,999999999999,999999999999,999999999999
594,internal_register_preopened_fd_unlocked,280,1320,478638432,0,1,5862973,1320,240581,0,1,999999999999,999999999999,999999999999
560,free,12,808,484503855,30000000,3952005,1823853,808,247231,360000000,3952005,999999999999,999999999999,999999999999
561,dlfree,1713,2216,486328758,60000000,3952065,23666788,2216,247691,6820000000,3952065,999999999999,999999999999,999999999999
675,strdup,48,960,509996456,0,191,2630266,960,248891,0,191,999999999999,999999999999,999999999999
676,strlen,206,656,512627392,70000000,5371386,5169311,656,249311,29040000000,5371386,999999999999,999999999999,999999999999
589,__wasilibc_nocwd_openat_nomode,282,1240,517801423,0,4,5182340,1240,260421,0,4,999999999999,999999999999,999999999999
585,__wasi_path_open,38,992,522988823,0,4,2585146,992,264131,0,4,999999999999,999999999999,999999999999
292,tsf_stream_file_output_fd_open,1203,1856,529306687,0,1,9904871,1856,3924528,0,1,999999999999,999999999999,999999999999
158,tsf_buf_writer_create,414,1312,539213207,0,1,5122730,1312,3937318,0,1,999999999999,999999999999,999999999999
258,tsf_serial_out_man_create,466,1312,544340097,0,1,5307381,1312,3945738,0,1,999999999999,999999999999,999999999999
281,tsf_type_out_map_create,173,984,549648898,0,1,3084076,984,3948869,0,1,999999999999,999999999999,999999999999
62,tsf_st_init_ptrtable,26,824,552733804,0,21,1860634,824,3949878,0,21,999999999999,999999999999,999999999999
61,tsf_st_init_table,84,904,554595108,0,91,2308995,904,3950478,0,91,999999999999,999999999999,999999999999
59,tsf_st_init_table_with_size,384,1248,556904893,0,91,4742010,1248,3951378,0,91,999999999999,999999999999,999999999999
60,new_size,227,1208,561648113,0,100,5417141,1208,3952689,0,100,999999999999,999999999999,999999999999
259,write_reset,123,944,567068534,0,1,2623125,944,3964329,0,1,999999999999,999999999999,999999999999
160,tsf_buf_writer_write,496,1288,569692369,0,4531,5815103,1288,3965149,0,4531,999999999999,999999999999,999999999999
553,tsf_region_create,392,1064,575513042,0,1000,4211689,1064,4008549,0,1000,999999999999,999999999999,999999999999
554,tsf_region_alloc,608,1192,579726320,60000000,2442750,5673961,1192,4012999,7390000000,2442750,999999999999,999999999999,999999999999
636,snprintf,58,912,585404651,10000000,2054250,2392095,912,4021659,530000000,2054250,999999999999,999999999999,999999999999
648,vsnprintf,180,1152,587797876,20000000,2054274,4012419,1152,4022359,820000000,2054274,999999999999,999999999999,999999999999
649,sn_write,183,1176,591814084,30000000,2054274,4392500,1176,4046679,690000000,2054274,999999999999,999999999999,999999999999
555,tsf_region_strdup,253,1136,596208113,10000000,2054250,3914998,1136,4050049,950000000,2054250,999999999999,999999999999,999999999999
397,Program__write,116,1008,600172162,0,1000,2744555,1008,6924745,0,1000,999999999999,999999999999,999999999999
390,Program__get_generator,36,832,602917487,0,1000,1876474,832,6925705,0,1000,999999999999,999999999999,999999999999
344,tsf_init_pointer,204,1064,604794711,0,3039,3603338,1064,6926175,10000000,3039,999999999999,999999999999,999999999999
391,Program__genrtr__builder,26,864,608399019,0,1,1909624,864,6927475,0,1,999999999999,999999999999,999999999999
387,Program__get_type,36,832,610309373,0,2,1921334,832,6927975,0,2,999999999999,999999999999,999999999999
388,Program__type__builder,17,808,612232027,0,1,1815554,808,6929385,0,1,999999999999,999999999999,999999999999
389,Program__build_type,174,1056,614049541,0,1,2847955,1056,6929725,0,1,999999999999,999999999999,999999999999
330,tsf_type_create_struct_with_native_size_and_destructor_aoe,193,1048,616898686,0,13,3443727,1048,6930775,0,13,999999999999,999999999999,999999999999
329,tsf_type_create_struct_with_native_size_aoe,246,1104,620343274,0,23,3624998,1104,6931815,0,23,999999999999,999999999999,999999999999
74,tsf_type_create,1297,3928,623969151,0,51,10364901,3928,6932865,0,51,999999999999,999999999999,999999999999
75,check_init_types,32,832,634335592,0,54,1798913,832,6934575,0,54,999999999999,999999999999,999999999999
79,tsf_once,167,936,636135806,0,54,2949436,936,6935105,0,54,999999999999,999999999999,999999999999
78,init_types,1097,2016,639086032,0,1,6086522,2016,6936575,0,1,999999999999,999999999999,999999999999
143,tsf_st_init_typetable,27,824,645173594,0,1,1808134,824,6940425,0,1,999999999999,999999999999,999999999999
