id,name,size.bytecode,size.static
16,__wasm_call_ctors,3,512
17,undefined_weak:__wasilibc_find_relpath_alloc,4,504
18,_start,84,992
19,tsf_vasprintf,238,1048
20,tsf_asprintf,108,944
21,tsf_buffer_get_empty_singleton,22,824
22,check_init_empty_buffer,32,832
23,init_empty_buffer,128,944
24,tsf_once,167,936
25,tsf_atomic_count_init,61,552
26,tsf_buffer_initialize_custom,166,968
27,tsf_region_alloc,608,1192
28,tsf_region_add_cback,312,1104
29,tsf_atomic_count_value,48,536
30,tsf_atomic_count_xadd,95,912
31,tsf_xadd32,224,1016
32,tsf_buffer_clone_in,719,1544
33,tsf_buffer_destroy_custom,196,1120
34,destroy_buffer_contents,219,1112
35,tsf_atomic_count_destroy,33,536
36,tsf_buffer_destroy,337,1256
37,tsf_atomic_count_xsub,106,920
38,tsf_buffer_read_simple,313,1264
39,read_buffer_impl,2184,3184
40,tsf_buffer_read_small_with_type_code,177,1016
41,tsf_buffer_read_from_buf,3402,4240
42,tsf_cond_alloc,183,976
43,copy_htonl,152,624
44,tsf_buffer_skip_in_buf,966,1720
45,tsf_buffer_calc_size,216,1024
46,tsf_buffer_write_simple,309,1256
47,write_buffer_impl,1414,2328
48,tsf_buffer_write_small_with_type_code,145,960
49,tsf_buffer_write_to_buf,982,1864
50,tsf_cas32,185,616
51,tsf_set_error_fullv,231,1264
52,tsf_set_error_impl,837,1728
53,tsf_get_error_code,23,528
54,tsf_get_error,24,528
55,tsf_set_error_full,170,1016
56,tsf_set_error,119,928
57,tsf_set_errno,467,1696
58,tsf_f_abort,97,896
59,tsf_st_init_table_with_size,384,1248
60,new_size,227,1208
61,tsf_st_init_table,84,904
62,tsf_st_init_ptrtable,26,824
63,tsf_st_init_strtable,27,824
64,tsf_st_free_table,346,1256
65,tsf_st_lookup,960,1536
66,tsf_st_insert,1490,1864
67,rehash,677,1416
68,tsf_st_add_direct,654,1384
69,tsf_st_delete,1168,1816
70,tsf_st_foreach,639,1520
71,tsf_st_strhash,187,640
72,ptrcmp,81,552
73,tsf_st_ptrhash,120,552
74,tsf_type_create,1297,3928
75,check_init_types,32,832
76,tsf_atomic_count_init,61,552
77,tsf_type_recompute_hash,334,1136
78,init_types,1097,2016
79,tsf_once,167,936
80,tsf_type_get_hash,49,544
81,tsf_type_create_array,464,1336
82,tsf_type_destroy,773,1816
83,is_singleton,169,584
84,tsf_atomic_count_xsub,105,920
85,tsf_mutex_lock,32,536
86,tsf_mutex_unlock,32,536
87,tsf_atomic_count_destroy,33,536
88,tsf_struct_type_append,624,1504
89,tsf_type_own_begin,178,992
90,tsf_type_own_abort,135,896
91,tsf_type_own_commit,170,944
92,tsf_choice_type_append,759,1608
93,tsf_type_read_rec,3675,5680
94,type_kind_verify,276,1152
95,tsf_choice_type_get_num_elements,86,904
96,tsf_limits_is_type_kind_allowed,268,616
97,tsf_type_kind_tsf_name,526,2696
98,tsf_type_read,429,1192
99,tsf_type_write,2076,2208
100,tsf_atomic_count_value,48,536
101,tsf_type_kind_is_commentable,102,904
102,tsf_type_kind_is_container,117,560
103,tsf_type_dup,589,3080
104,tsf_atomic_count_xadd,95,912
105,tsf_xadd32,224,1016
106,tsf_type_clone,1960,4320
107,tsf_type_get_comment,48,544
108,tsf_type_get_name,49,544
109,tsf_type_get_byte_size,320,1176
110,tsf_struct_type_get_num_elements,85,904
111,tsf_struct_type_get_element,101,928
112,tsf_choice_type_get_element,102,928
113,tsf_type_compare,743,1256
114,tsf_type_memo,448,1384
115,tsf_type_is_dynamic,61,544
116,tsf_type_instanceof,1488,2288
117,tsf_type_kind_is_primitive,168,552
118,tsf_struct_type_find_node,101,928
119,tsf_choice_type_find_node,102,928
120,tsf_type_get_static_size,1000,3688
121,tsf_choice_type_has_non_void,281,1192
122,tsf_primitive_type_kind_size_of,305,840
123,tsf_type_set_name,702,1520
124,tsf_choice_type_uses_same_indices,414,1592
125,tsf_mutex_init,33,536
126,init_basic_type,203,1008
127,tsf_cas32,185,616
128,tsf_fd_writer,397,1216
129,tsf_fd_reader,505,1296
130,tsf_fd_partial_reader,355,1208
131,tsf_size_calc_writer,114,584
132,tsf_size_aware_reader,396,1136
133,tsf_native_type_has_struct_mapping,865,1736
134,tsf_native_type_get_size,632,3184
135,tsf_primitive_type_kind_size_of,304,840
136,tsf_native_choice_type_is_in_place,61,544
137,tsf_native_struct_type_map,383,1248
138,tsf_native_struct_type_set_destructor,236,1072
139,tsf_native_struct_type_set_size,254,1096
140,tsf_native_choice_type_map,338,1216
141,tsf_generator_create,466,1424
142,tsf_generator_generate_existing_buffer,241,1112
143,tsf_st_init_typetable,27,824
144,tsf_type_compare_adaptor,152,920
145,tsf_parser_create,544,1480
146,tsf_mutex_init,33,536
147,tsf_parser_parse_into,517,1480
148,cached_program_lookup,189,592
149,tsf_basic_fence,4,512
150,tsf_mutex_lock,33,536
151,normal_program_lookup,881,1848
152,tsf_mutex_unlock,33,536
153,tsf_st_lookup_ptrtable,614,1152
154,tsf_parser_parse,328,1152
155,tsf_region_create,392,1064
156,tsf_region_free,323,1192
157,tsf_st_ptrhash,120,552
158,tsf_buf_writer_create,414,1312
159,tsf_buf_writer_destroy,97,976
160,tsf_buf_writer_write,496,1288
161,tsf_buf_writer_flush,228,992
162,tsf_buf_reader_create,432,1328
163,tsf_buf_reader_destroy,97,976
164,tsf_buf_reader_read,1420,1984
165,tsf_buf_reader_get_remaining,70,552
166,tsf_type_table_create,340,1160
167,tsf_type_table_copy,803,1792
168,tsf_type_table_get_num_elements,48,544
169,tsf_type_table_find_by_index,88,560
170,tsf_type_table_append,989,1968
171,tsf_type_table_destroy,321,1200
172,tsf_type_table_read,1746,2552
173,tsf_type_table_write,1143,1792
174,tsf_type_table_get_hash,253,1064
175,tsf_type_table_contains_dynamic,321,1064
176,tsf_type_table_compare,773,1344
177,tsf_type_table_find_by_name,201,1088
178,tsf_gpc_code_gen_generate_generator,1104,1752
179,generate_size_calc,7583,7576
180,generate_generator,8910,8784
181,tsf_gpc_code_gen_generate_parser,752,1528
182,generate_parser,44719,44888
183,generate_set_default,3501,4744
184,generate_set_zero_ptr,219,984
185,next_count,168,1024
186,gpc_code_gen_debug,723,1872
187,count_init,23,824
188,tsf_once,167,936
189,tsf_mutex_lock,32,536
190,tsf_mutex_unlock,32,536
191,tsf_mutex_init,32,536
192,gpc_threaded_supported,24,520
193,gpc_threaded_from_intable,93,912
194,gpc_threaded_destroy,125,920
195,gpc_threaded_run,139,952
196,gpc_intable_from_proto,2597,3888
197,back_branch_action,252,1120
198,fore_branch_action,136,936
199,st_aa_free,117,1008
200,st_aa_append,807,1672
201,gpc_intable_clone,1233,2248
202,correct_branch,224,968
203,gpc_intable_destroy,142,1096
204,gpc_intable_run,131290,72872
205,copy_htonc,67,552
206,copy_htons,96,576
207,copy_htonl,152,624
208,copy_htonll,264,736
209,tsf_cond_alloc,183,976
210,tsf_region_alloc,608,1192
