id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,70,968,67210,0,0,4325859,968,69640,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4393919,0,1,1473903,512,72520,0,1,999999999999,999999999999,999999999999
7,__original_main,2012,6576,5868452,0,1,23986845,6576,73060,0,1,999999999999,999999999999,999999999999
31,printf,60,912,29856217,0,553963,2350875,912,74420,120000000,553963,999999999999,999999999999,999999999999
56,vfprintf,398,1568,32210332,10000000,553963,6937483,1568,77490,330000000,553963,999999999999,999999999999,999999999999
57,printf_core,9070,18952,39148485,30000000,1107926,210957434,18952,79080,3090000000,1107926,999999999999,999999999999,999999999999
34,__towrite,94,624,250107919,0,1,3348657,624,92740,0,1,999999999999,999999999999,999999999999
37,__fwritex,234,1368,253457786,70000000,5207820,7139074,1368,102960,2210000000,5207820,999999999999,999999999999,999999999999
46,__stdout_write,60,1008,260597750,0,1,2988326,1008,104630,0,1,999999999999,999999999999,999999999999
45,__isatty,103,968,263586875,0,1,2959545,968,105240,0,1,999999999999,999999999999,999999999999
11,__wasi_fd_fdstat_get,18,824,266547001,0,1,1775313,824,108040,0,1,999999999999,999999999999,999999999999
44,__stdio_write,316,1368,268327354,0,16010,7112614,1368,111830,10000000,16010,999999999999,999999999999,999999999999
43,writev,115,976,275440908,0,16010,2903196,976,112820,10000000,16010,999999999999,999999999999,999999999999
13,__wasi_fd_write,22,824,278345024,0,16010,1825933,824,113630,0,16010,999999999999,999999999999,999999999999
61,memcpy,1000,1824,280201878,80000000,5191813,14684388,1824,135470,10720000000,5191813,999999999999,999999999999,999999999999
8,SolveCubic,1545,5536,294888036,0,55088,19133776,5536,139220,10000000,55088,999999999999,999999999999,999999999999
69,__extenddftf2,289,1184,314022822,0,281318,4810889,1184,140540,260000000,281318,999999999999,999999999999,999999999999
70,__multf3,1475,2808,318835001,20000000,550880,22368373,2808,143760,2030000000,550880,999999999999,999999999999,999999999999
66,__addtf3,1433,3152,341204374,10000000,388555,21229311,3152,155510,820000000,388555,999999999999,999999999999,999999999999
73,__ashlti3,84,592,362434635,0,403369,2840215,592,159310,260000000,403369,999999999999,999999999999,999999999999
74,__fe_getround,5,520,365275940,10000000,388555,1455153,520,161260,240000000,388555,999999999999,999999999999,999999999999
68,__divtf3,2236,4664,366732263,0,220352,32741633,4664,162420,200000000,220352,999999999999,999999999999,999999999999
77,__multi3,116,640,399474856,40000000,3305280,3003896,640,164270,3650000000,3305280,999999999999,999999999999,999999999999
71,__subtf3,86,968,402482602,0,63905,2555774,968,249601,40000000,63905,999999999999,999999999999,999999999999
72,__trunctfdf2,505,1472,405039557,0,229169,6711763,1472,254890,150000000,229169,999999999999,999999999999,999999999999
17,acos,720,2952,411753349,0,2939,5083950,2952,278030,0,2939,999999999999,999999999999,999999999999
22,cos,249,1656,416838249,0,8817,5013880,1656,280081,10000000,8817,999999999999,999999999999,999999999999
20,__rem_pio2,1284,4144,421853049,0,6030,11528332,4144,281170,0,6030,999999999999,999999999999,999999999999
21,__sin,156,1328,433382531,0,4159,2599075,1328,287831,0,4159,999999999999,999999999999,999999999999
76,__lshrti3,84,592,435984736,20000000,273288,2825376,592,311071,350000000,273288,999999999999,999999999999,999999999999
18,__cos,148,1312,438811542,0,4658,2183635,1312,316151,0,4658,999999999999,999999999999,999999999999
58,pop_arg,565,1808,441000906,20000000,936778,5954672,1808,362401,1560000000,936778,999999999999,999999999999,999999999999
54,frexp,144,1200,446956687,50000000,804010,3310407,1200,365131,8350000000,804010,999999999999,999999999999,999999999999
59,pad,159,1168,450270104,20000000,804010,5454840,1168,379791,2360000000,804010,999999999999,999999999999,999999999999
62,memset,394,1200,455725644,0,185874,9339117,1200,380701,90000000,185874,999999999999,999999999999,999999999999
36,putchar,90,888,465070032,0,55089,2751895,888,449761,20000000,55089,999999999999,999999999999,999999999999
75,__fe_raise_inexact,5,520,467828197,0,97980,1590933,520,554691,80000000,97980,999999999999,999999999999,999999999999
27,pow,1183,2984,469420560,0,52149,13325576,2984,557661,250000000,52149,999999999999,999999999999,999999999999
67,__letf2,226,712,482749475,0,52149,4215977,712,603991,40000000,52149,999999999999,999999999999,999999999999
9,usqrt,89,592,643105303,10000000,66384,4531559,592,11463008095,490000000,66384,999999999999,999999999999,999999999999
40,puts,109,984,955651882,0,1,3857128,984,37494861516,0,1,999999999999,999999999999,999999999999
39,fputs,37,944,959510640,0,1,2319804,944,37494862465,0,1,999999999999,999999999999,999999999999
63,strlen,179,648,961831094,0,1,4892250,648,37494863096,0,1,999999999999,999999999999,999999999999
38,fwrite,278,1384,966724503,0,1,7788134,1384,37494864705,0,1,999999999999,999999999999,999999999999
16,__wasm_call_dtors,16,864,983403506,0,1,2031253,864,38232488522,0,1,999999999999,999999999999,999999999999
15,dummy,3,512,985435999,0,1,1459153,512,38232489213,0,1,999999999999,999999999999,999999999999
33,__stdio_exit,388,1712,986896192,0,1,8486056,1712,38232489782,0,1,999999999999,999999999999,999999999999
32,__ofl_lock,10,520,995383018,0,1,1607474,520,38232490622,0,1,999999999999,999999999999,999999999999
