id,name,size.bytecode,size.static
5,__wasm_call_ctors,3,512
6,_start,70,968
7,__original_main,2012,6576
8,SolveCubic,1545,5536
9,usqrt,89,592
10,__wasi_fd_close,16,816
11,__wasi_fd_fdstat_get,18,824
12,__wasi_fd_seek,22,824
13,__wasi_fd_write,22,824
14,__wasi_proc_exit,12,792
15,dummy,3,512
16,__wasm_call_dtors,16,864
17,acos,720,2952
18,__cos,148,1312
19,__rem_pio2_large,4405,7152
20,__rem_pio2,1284,4144
21,__sin,156,1328
22,cos,249,1656
23,__math_invalid,13,528
24,__math_xflow,14,760
25,__math_oflow,20,832
26,__math_uflow,21,832
27,pow,1183,2984
28,checkint,87,600
29,specialcase,204,1208
30,scalbn,175,984
31,printf,60,912
32,__ofl_lock,10,520
33,__stdio_exit,388,1712
34,__towrite,94,624
35,__overflow,165,1192
36,putchar,90,888
37,__fwritex,234,1368
38,fwrite,278,1384
39,fputs,37,944
40,puts,109,984
41,close,34,864
42,__stdio_close,14,840
43,writev,115,976
44,__stdio_write,316,1368
45,__isatty,103,968
46,__stdout_write,60,1008
47,__lseek,101,968
48,__stdio_seek,18,840
49,dummy,5,512
50,__lctrans,13,808
51,strerror,87,904
52,wcrtomb,311,856
53,wctomb,26,848
54,frexp,144,1200
55,abort,6,504
56,vfprintf,398,1568
57,printf_core,9070,18952
58,pop_arg,565,1808
59,pad,159,1168
60,long_double_not_supported,30,856
61,memcpy,1000,1824
62,memset,394,1200
63,strlen,179,648
64,memchr,371,800
65,strnlen,28,880
66,__addtf3,1433,3152
67,__letf2,226,712
68,__divtf3,2236,4664
69,__extenddftf2,289,1184
70,__multf3,1475,2808
71,__subtf3,86,968
72,__trunctfdf2,505,1472
73,__ashlti3,84,592
74,__fe_getround,5,520
75,__fe_raise_inexact,5,520
76,__lshrti3,84,592
77,__multi3,116,640
