id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,69,976,58870,0,0,4353598,976,64960,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,5,800,4413408,0,1,1811804,800,68670,0,1,999999999999,999999999999,999999999999
16,init,20,840,6225872,0,1,2002474,840,69140,0,1,999999999999,999999999999,999999999999
28,__wasi_clock_time_get,20,824,8228926,0,15,1976164,824,70000,0,15,999999999999,999999999999,999999999999
25,__main_void,214,1400,10209670,0,1,4946059,1400,75000,0,1,999999999999,999999999999,999999999999
27,__wasi_args_sizes_get,18,824,15156409,0,1,1931914,824,76340,0,1,999999999999,999999999999,999999999999
19,malloc,12,808,17091933,0,1,1796543,808,79930,0,1,999999999999,999999999999,999999999999
20,dlmalloc,6541,9304,18889096,0,2,99821102,9304,80370,0,2,999999999999,999999999999,999999999999
23,calloc,108,984,118715578,0,1,3628117,984,94250,0,1,999999999999,999999999999,999999999999
71,memset,394,1200,122344975,0,22,9194198,1200,97820,0,16,999999999999,999999999999,999999999999
26,__wasi_args_get,18,816,131540083,0,1,1817924,816,99890,0,1,999999999999,999999999999,999999999999
18,main,2293,6896,133359717,0,1,33738184,6896,100890,0,1,999999999999,999999999999,999999999999
68,atoi,178,648,167098831,0,1,4671529,648,101930,0,1,999999999999,999999999999,999999999999
55,puts,109,984,171771180,0,1,2818046,984,104840,0,1,999999999999,999999999999,999999999999
54,fputs,37,944,174590035,0,1,2169994,944,105300,0,1,999999999999,999999999999,999999999999
72,strlen,178,648,176760840,0,1,4596048,648,105660,0,1,999999999999,999999999999,999999999999
51,fwrite,278,1384,181357888,0,1,7541255,1384,108600,0,1,999999999999,999999999999,999999999999
48,__towrite,94,624,188900123,0,1,2914856,624,109450,0,1,999999999999,999999999999,999999999999
56,__stdout_write,60,1008,191815929,0,1,3057245,1008,111320,0,1,999999999999,999999999999,999999999999
42,__isatty,103,968,194873785,0,1,3109466,968,111820,0,1,999999999999,999999999999,999999999999
30,__wasi_fd_fdstat_get,18,824,197984160,0,1,1889564,824,114480,0,1,999999999999,999999999999,999999999999
46,__stdio_write,316,1368,199880014,0,2,7205214,1368,117910,0,2,999999999999,999999999999,999999999999
45,writev,115,984,207086068,0,2,3062336,984,118860,0,2,999999999999,999999999999,999999999999
32,__wasi_fd_write,22,824,210149294,0,2,1938743,824,119740,0,2,999999999999,999999999999,999999999999
70,memcpy,1000,1824,212351008,0,123,14739939,1824,213241,0,123,999999999999,999999999999,999999999999
17,__clock,82,936,227092416,0,14,2432345,936,215841,0,14,999999999999,999999999999,999999999999
39,rand,47,552,229527941,0,7,1900144,552,217561,6400000000,7,999999999999,999999999999,999999999999
10,bit_count,11,520,231429315,10000000,1125000,1698703,520,218621,250000000,1125000,999999999999,999999999999,999999999999
53,printf,60,912,246775154,0,9,2476685,912,253308997,0,9,999999999999,999999999999,999999999999
63,vfprintf,398,1568,249252869,0,9,6969404,1568,253310407,0,9,999999999999,999999999999,999999999999
64,printf_core,9070,18936,256222983,0,18,211063214,18936,253312547,0,18,999999999999,999999999999,999999999999
50,__fwritex,234,1368,467288577,0,122,7575506,1368,253336697,0,122,999999999999,999999999999,999999999999
65,pop_arg,565,1808,474865803,0,23,5810871,1808,253344817,0,23,999999999999,999999999999,999999999999
73,strnlen,25,880,480678683,0,9,2109164,880,253348417,0,9,999999999999,999999999999,999999999999
69,memchr,372,800,482788567,0,9,7742996,800,253349107,0,9,999999999999,999999999999,999999999999
62,frexp,145,1200,490534783,0,7,3175496,1200,253379797,0,7,999999999999,999999999999,999999999999
66,pad,159,1168,493712869,0,7,5283810,1168,253413367,0,7,999999999999,999999999999,999999999999
11,bitcount,97,600,499003449,20000000,1125000,2420214,600,253437927,600000000,1125000,999999999999,999999999999,999999999999
15,ntbl_bitcnt,91,592,515962021,10000000,1125000,3278436,592,863488129,1990000000,1125000,999999999999,999999999999,999999999999
12,ntbl_bitcount,148,672,534962068,10000000,1125000,3299356,672,2876821477,910000000,1125000,999999999999,999999999999,999999999999
13,BW_btbl_bitcount,75,576,553406193,10000000,1125000,2521575,576,3786053894,550000000,1125000,999999999999,999999999999,999999999999
14,AR_btbl_bitcount,75,576,570602996,20000000,1125000,2495885,576,4349197676,550000000,1125000,999999999999,999999999999,999999999999
37,__wasm_call_dtors,15,864,593778711,0,1,2003624,864,11358427415,0,1,999999999999,999999999999,999999999999
36,dummy,3,512,595783645,0,1,1349892,512,11358428255,0,1,999999999999,999999999999,999999999999
40,__stdio_exit,388,1712,597134287,0,1,8322976,1712,11358428775,0,1,999999999999,999999999999,999999999999
52,__ofl_lock,9,520,605458033,0,1,1496973,520,11358429995,0,1,999999999999,999999999999,999999999999
