id,name,size.bytecode,size.static
8,__wasm_call_ctors,5,800
9,_start,69,976
10,bit_count,11,520
11,bitcount,97,600
12,ntbl_bitcount,148,672
13,BW_btbl_bitcount,75,576
14,AR_btbl_bitcount,75,576
15,ntbl_bitcnt,91,592
16,init,20,840
17,__clock,82,936
18,main,2293,6896
19,malloc,12,808
20,dlmalloc,6541,9304
21,free,12,808
22,dlfree,1698,2224
23,calloc,108,984
24,_Exit,13,792
25,__main_void,214,1400
26,__wasi_args_get,18,816
27,__wasi_args_sizes_get,18,824
28,__wasi_clock_time_get,20,824
29,__wasi_fd_close,16,824
30,__wasi_fd_fdstat_get,18,824
31,__wasi_fd_seek,22,824
32,__wasi_fd_write,22,824
33,__wasi_proc_exit,12,792
34,abort,5,504
35,sbrk,79,888
36,dummy,3,512
37,__wasm_call_dtors,15,864
38,exit,24,896
39,rand,47,552
40,__stdio_exit,388,1712
41,close,34,864
42,__isatty,103,968
43,__lseek,101,976
44,__stdio_seek,18,840
45,writev,115,984
46,__stdio_write,316,1368
47,__stdio_close,14,840
48,__towrite,94,624
49,__overflow,166,1192
50,__fwritex,234,1368
51,fwrite,278,1384
52,__ofl_lock,9,520
53,printf,60,912
54,fputs,37,944
55,puts,109,984
56,__stdout_write,60,1008
57,dummy,5,512
58,__lctrans,13,808
59,strerror,87,904
60,wcrtomb,311,856
61,wctomb,26,848
62,frexp,145,1200
63,vfprintf,398,1568
64,printf_core,9070,18936
65,pop_arg,565,1808
66,pad,159,1168
67,long_double_not_supported,30,856
68,atoi,178,648
69,memchr,372,800
70,memcpy,1000,1824
71,memset,394,1200
72,strlen,178,648
73,strnlen,25,880
