id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,84,992,59174,0,0,4549363,992,60675,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,3,512,4609633,0,1,1470308,512,64435,0,1,999999999999,999999999999,999999999999
26,__main_void,214,1400,6080556,0,1,4969219,1400,64950,0,1,999999999999,999999999999,999999999999
29,__wasi_args_sizes_get,18,824,11050576,0,1,1920893,824,66115,0,1,999999999999,999999999999,999999999999
19,malloc,12,808,12974999,0,7,1801984,808,69910,0,7,999999999999,999999999999,999999999999
20,dlmalloc,5377,8240,14777758,0,9,80651475,8240,72420,0,9,999999999999,999999999999,999999999999
24,calloc,108,984,95434718,0,2,3599392,984,83815,0,2,999999999999,999999999999,999999999999
82,memset,393,1200,99035290,0,4,9217748,1200,87450,0,4,999999999999,999999999999,999999999999
28,__wasi_args_get,18,816,108254288,0,1,1790508,816,89590,0,1,999999999999,999999999999,999999999999
18,main,705,3576,110046587,0,1,14008562,3576,90805,0,1,999999999999,999999999999,999999999999
42,toupper,21,528,124056284,0,32,1810478,528,92250,0,32,999999999999,999999999999,999999999999
16,BF_set_key,496,1848,125870752,0,1,8787061,1848,115335,0,1,999999999999,999999999999,999999999999
81,memcpy,1008,1888,134658739,0,4,15141704,1888,116070,0,4,999999999999,999999999999,999999999999
15,BF_encrypt,2781,3312,149802518,70000000,406466,46073453,3312,128080,4155000000,406466,999999999999,999999999999,999999999999
64,fopen,103,1112,195912422,0,2,3450997,1112,3896652,0,2,999999999999,999999999999,999999999999
79,memchr,371,800,199364374,0,4,7824215,800,3897407,0,4,999999999999,999999999999,999999999999
46,__fmodeflags,103,1032,207189738,0,2,2969615,1032,3899067,0,2,999999999999,999999999999,999999999999
83,strchr,31,864,210160034,0,8,2043394,864,3899847,0,8,999999999999,999999999999,999999999999
84,__strchrnul,358,1144,212204203,0,8,7102764,1144,3900232,0,8,999999999999,999999999999,999999999999
