id,name,size.bytecode,size.static
12,__wasm_call_ctors,3,512
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,84,992
15,BF_encrypt,2781,3312
16,BF_set_key,496,1848
17,BF_cfb64_encrypt,595,1448
18,main,705,3576
19,malloc,12,808
20,dlmalloc,5377,8240
21,prepend_alloc,1091,1680
22,free,12,808
23,dlfree,1713,2216
24,calloc,108,984
25,_Exit,13,792
26,__main_void,214,1400
27,close,40,936
28,__wasi_args_get,18,816
29,__wasi_args_sizes_get,18,824
30,__wasi_fd_close,16,824
31,__wasi_fd_fdstat_get,18,824
32,__wasi_fd_fdstat_set_flags,18,824
33,__wasi_fd_prestat_get,18,824
34,__wasi_fd_prestat_dir_name,20,824
35,__wasi_fd_read,22,824
36,__wasi_fd_seek,22,824
37,__wasi_fd_write,22,824
38,__wasi_path_open,38,992
39,__wasi_proc_exit,12,792
40,abort,5,504
41,sbrk,79,888
42,toupper,21,528
43,dummy,3,512
44,__wasm_call_dtors,15,864
45,feof,14,536
46,__fmodeflags,103,1032
47,__wasilibc_populate_preopens,226,1296
48,internal_register_preopened_fd_unlocked,280,1320
49,__wasilibc_find_relpath,95,904
50,__wasilibc_find_abspath,344,1408
51,__wasilibc_nocwd_openat_nomode,283,1240
52,__wasilibc_open_nomode,163,1024
53,fcntl,275,1504
54,__isatty,103,968
55,__lseek,101,976
56,__stdio_seek,18,840
57,writev,115,984
58,__stdio_write,316,1368
59,readv,114,984
60,read,114,984
61,__stdio_read,253,1224
62,__stdio_close,15,840
63,__fdopen,390,1712
64,fopen,103,1112
65,__stdio_exit,388,1712
66,__towrite,94,624
67,__overflow,165,1192
68,fputc,70,904
69,__toread,134,1056
70,__uflow,85,1032
71,getc,47,864
72,__ofl_lock,9,520
73,__ofl_unlock,3,512
74,__ofl_add,54,944
75,fwrite,289,1368
76,fputs,37,944
77,puts,109,984
78,__stdout_write,61,1008
79,memchr,371,800
80,memcmp,75,584
81,memcpy,1008,1888
82,memset,393,1200
83,strchr,31,864
84,__strchrnul,358,1144
85,strdup,48,960
86,strlen,203,656
