id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
16,_start,69,984,65510,0,0,4294788,984,56210,0,0,999999999999,999999999999,999999999999
14,__wasm_call_ctors,6,808,4361439,0,1,1817773,808,59530,0,1,999999999999,999999999999,999999999999
232,__wasilibc_populate_preopens,183,1296,6179772,0,1,5545591,1296,59950,0,1,999999999999,999999999999,999999999999
208,__wasi_fd_prestat_get,18,824,11726153,0,3,1954244,824,61650,0,3,999999999999,999999999999,999999999999
192,malloc,12,808,13685047,0,21,1806913,808,68500,0,21,999999999999,999999999999,999999999999
193,dlmalloc,6541,9304,15492700,0,23,99512911,9304,69080,0,23,999999999999,999999999999,999999999999
209,__wasi_fd_prestat_dir_name,20,824,115011752,0,2,2015153,824,80350,0,2,999999999999,999999999999,999999999999
229,internal_register_preopened_fd,280,1320,117029795,0,2,5811481,1320,81700,0,2,999999999999,999999999999,999999999999
196,calloc,109,984,122842316,0,2,3381087,984,82800,0,2,999999999999,999999999999,999999999999
296,memset,393,1200,126224543,0,138,9151228,1200,86250,50000000,138,999999999999,999999999999,999999999999
295,memcpy,1000,1824,135377481,0,1031,14616028,1824,88980,0,1031,999999999999,999999999999,999999999999
194,free,12,808,149994549,0,21,1691903,808,90440,0,21,999999999999,999999999999,999999999999
195,dlfree,1698,2224,151687402,0,21,23268414,2224,90810,0,21,999999999999,999999999999,999999999999
299,strdup,48,960,174957447,0,2,2548165,960,91950,0,2,999999999999,999999999999,999999999999
300,strlen,179,648,177506501,0,8,4666849,648,92280,0,8,999999999999,999999999999,999999999999
200,__main_void,214,1400,182180101,0,1,4635889,1400,110950,0,1,999999999999,999999999999,999999999999
202,__wasi_args_sizes_get,18,824,186816690,0,1,1841114,824,111580,0,1,999999999999,999999999999,999999999999
201,__wasi_args_get,18,816,188660533,0,1,1896784,816,117980,0,1,999999999999,999999999999,999999999999
20,main,1021,3208,190558877,0,1,15510430,3208,118790,0,1,999999999999,999999999999,999999999999
116,jpeg_std_error,100,640,206070147,0,1,2482205,640,119540,0,1,999999999999,999999999999,999999999999
23,jpeg_CreateCompress,263,1336,208555701,0,1,4919119,1336,122930,0,1,999999999999,999999999999,999999999999
125,jinit_memory_mgr,384,1704,213476170,0,1,6256623,1704,124510,0,1,999999999999,999999999999,999999999999
143,jpeg_mem_init,5,520,219733903,0,1,1596013,520,125170,0,1,999999999999,999999999999,999999999999
137,jpeg_get_small,11,824,221330856,0,5,1890563,824,125640,0,5,999999999999,999999999999,999999999999
220,getenv,154,1120,223222969,0,1,4927210,1120,128320,0,1,999999999999,999999999999,999999999999
218,__wasilibc_ensure_environ,27,824,228150939,0,1,2042814,824,128760,0,1,999999999999,999999999999,999999999999
219,__wasilibc_initialize_environ,194,1360,230194493,0,1,4569800,1360,129280,0,1,999999999999,999999999999,999999999999
204,__wasi_environ_sizes_get,18,824,234765132,0,1,1904684,824,129910,0,1,999999999999,999999999999,999999999999
298,__strchrnul,354,1144,236672215,0,9,7201273,1144,131270,0,9,999999999999,999999999999,999999999999
82,jpeg_set_defaults,749,2376,243875209,0,1,9636859,2376,134940,0,1,999999999999,999999999999,999999999999
136,alloc_small,431,1656,253513198,0,41,9480828,1656,135840,0,41,999999999999,999999999999,999999999999
79,jpeg_set_linear_quality,371,1784,262996056,0,2,11272982,1784,140140,0,2,999999999999,999999999999,999999999999
76,jpeg_alloc_quant_table,35,912,274270238,0,2,2352274,912,140730,0,2,999999999999,999999999999,999999999999
77,jpeg_alloc_huff_table,36,912,276625132,0,4,2318814,912,193220,0,4,999999999999,999999999999,999999999999
83,jpeg_default_colorspace,1500,3192,278945946,0,2,18706376,3192,201060,0,2,999999999999,999999999999,999999999999
21,parse_switches,1654,5112,297653732,0,2,27941164,5112,203180,0,2,999999999999,999999999999,999999999999
17,keymatch,126,1032,325596086,0,72,4633489,1032,204790,0,72,999999999999,999999999999,999999999999
247,fopen,102,1112,330232565,0,2,3321206,1112,233800,0,2,999999999999,999999999999,999999999999
293,memchr,371,800,333554911,0,4,7692025,800,234350,0,4,999999999999,999999999999,999999999999
228,__fmodeflags,103,1032,341247967,0,2,3104486,1032,235550,0,2,999999999999,999999999999,999999999999
297,strchr,31,864,344353972,0,8,2146034,864,236120,0,8,999999999999,999999999999,999999999999
235,__wasilibc_open_nomode,163,1024,346501816,0,2,3044576,1024,239780,0,2,999999999999,999999999999,999999999999
230,__wasilibc_find_relpath,95,904,349547132,0,2,2428675,904,240510,0,2,999999999999,999999999999,999999999999
231,__wasilibc_find_abspath,313,1408,351976517,0,2,8995377,1408,241340,0,2,999999999999,999999999999,999999999999
294,memcmp,75,584,360973464,0,2,3530707,584,245580,0,2,999999999999,999999999999,999999999999
233,__wasilibc_nocwd_openat_nomode,282,1240,364505851,0,2,5164029,1240,248250,0,2,999999999999,999999999999,999999999999
206,__wasi_fd_fdstat_get,18,824,369670841,0,3,1913803,824,249500,0,3,999999999999,999999999999,999999999999
213,__wasi_path_open,38,992,371590654,0,2,2567655,992,252770,0,2,999999999999,999999999999,999999999999
246,__fdopen,390,1712,374203530,0,2,7165534,1712,274430,0,2,999999999999,999999999999,999999999999
259,__ofl_add,56,952,381374553,0,2,2709355,952,284180,0,2,999999999999,999999999999,999999999999
257,__ofl_lock,9,520,384085178,10000000,5,1571303,520,284610,10000000,5,999999999999,999999999999,999999999999
258,__ofl_unlock,3,512,385657391,0,4,1433643,512,285170,0,4,999999999999,999999999999,999999999999
237,__isatty,103,968,387169414,0,1,3122516,968,359690,0,1,999999999999,999999999999,999999999999
256,getc,47,864,390295701,0,59,2583205,864,363190,0,59,999999999999,999999999999,999999999999
255,__uflow,85,1032,392879716,0,1,3326446,1032,363761,0,1,999999999999,999999999999,999999999999
250,__toread,135,1056,396207182,0,513,4037378,1056,364350,0,513,999999999999,999999999999,999999999999
