id,name,size.bytecode,size.static
14,__wasm_call_ctors,6,808
15,undefined_weak:__wasilibc_find_relpath_alloc,4,504
16,_start,69,984
17,keymatch,126,1032
18,read_stdin,12,528
19,write_stdout,13,528
20,main,1021,3208
21,parse_switches,1654,5112
22,usage,531,2264
23,jpeg_CreateCompress,263,1336
24,jpeg_destroy_compress,12,808
25,jpeg_suppress_tables,294,808
26,jpeg_finish_compress,371,1848
27,jpeg_start_compress,162,1328
28,jpeg_write_scanlines,287,1464
29,jinit_c_coef_controller,367,1624
30,start_pass_coef,288,1328
31,compress_data,931,2680
32,compress_first_pass,1062,8776
33,compress_output,862,2464
34,jinit_color_converter,820,2560
35,null_method,4,512
36,grayscale_convert,276,7384
37,rgb_gray_convert,189,768
38,rgb_ycc_start,256,1160
39,null_convert,376,7384
40,rgb_ycc_convert,311,960
41,cmyk_ycck_convert,365,1024
42,jinit_forward_dct,211,1144
43,start_pass_fdctmgr,1012,4472
44,forward_DCT,1399,4336
45,forward_DCT_float,1509,5216
46,jpeg_make_c_derived_tbl,1180,3120
47,jpeg_gen_optimal_table,1097,2088
48,jinit_huff_encoder,132,944
49,start_pass_huff,679,2360
50,finish_pass_huff,405,1680
51,encode_mcu_huff,3313,6520
52,finish_pass_gather,310,1496
53,encode_mcu_gather,614,1184
54,jinit_compress_master,226,1536
55,jinit_c_main_controller,199,1336
56,start_pass_main,89,984
57,process_data_simple_main,383,1632
58,jinit_marker_writer,101,976
59,write_tables_only,690,2336
60,write_file_trailer,190,1296
61,write_scan_header,1835,4616
62,write_frame_header,433,1504
63,write_file_header,3501,7560
64,write_any_marker,515,1952
65,emit_dqt,1016,2992
66,emit_sof,1366,3696
67,emit_dht,992,2824
68,jinit_c_master_control,2827,6392
69,finish_pass_master,138,1008
70,pass_startup,51,1008
71,prepare_for_pass,559,2480
72,select_scan_parameters,661,1616
73,per_scan_setup,714,1952
74,jpeg_abort,39,920
75,jpeg_destroy,46,912
76,jpeg_alloc_quant_table,35,912
77,jpeg_alloc_huff_table,36,912
78,jpeg_add_quant_table,198,1344
79,jpeg_set_linear_quality,371,1784
80,jpeg_quality_scaling,56,568
81,jpeg_set_quality,77,880
82,jpeg_set_defaults,749,2376
83,jpeg_default_colorspace,1500,3192
84,jpeg_set_colorspace,1170,2920
85,jpeg_simple_progression,3453,4408
86,jinit_phuff_encoder,98,960
87,start_pass_phuff,957,2792
88,encode_mcu_DC_first,437,1616
89,encode_mcu_AC_first,1122,2928
90,encode_mcu_DC_refine,564,1960
91,encode_mcu_AC_refine,3590,7160
92,finish_pass_gather_phuff,385,1616
93,finish_pass_phuff,54,984
94,emit_restart,359,1528
95,emit_bits,390,1608
96,emit_eobrun,228,1208
97,emit_buffered_bits,407,1664
98,flush_bits,328,1488
99,jinit_c_prep_controller,826,2544
100,start_pass_prep,79,984
101,pre_process_context,623,2128
102,pre_process_data,581,2112
103,jinit_downsampler,486,1760
104,sep_downsample,138,1176
105,start_pass_downsample,4,512
106,fullsize_smooth_downsample,647,2576
107,fullsize_downsample,306,1568
108,h2v1_downsample,429,3776
109,h2v2_smooth_downsample,933,2408
110,h2v2_downsample,490,1768
111,int_downsample,768,2512
112,jpeg_stdio_dest,86,976
113,term_destination,138,1304
114,empty_output_buffer,86,1064
115,init_destination,58,944
116,jpeg_std_error,100,640
117,reset_error_mgr,23,552
118,format_message,317,1160
119,output_message,91,1032
120,emit_message,107,992
121,error_exit,38,928
122,jpeg_fdct_float,655,1648
123,jpeg_fdct_ifast,643,1352
124,jpeg_fdct_islow,786,1544
125,jinit_memory_mgr,384,1704
126,self_destruct,55,1056
127,free_pool,391,1600
128,access_virt_barray,809,2352
129,access_virt_sarray,800,2336
130,realize_virt_arrays,565,1960
131,request_virt_barray,145,1176
132,request_virt_sarray,145,1176
133,alloc_barray,569,1928
134,alloc_sarray,577,1976
135,alloc_large,242,1360
136,alloc_small,431,1656
137,jpeg_get_small,11,824
138,jpeg_free_small,11,824
139,jpeg_get_large,11,824
140,jpeg_free_large,11,824
141,jpeg_mem_available,5,520
142,jpeg_open_backing_store,31,864
143,jpeg_mem_init,5,520
144,jpeg_mem_term,3,512
145,jdiv_round_up,14,528
146,jround_up,20,528
147,jcopy_sample_rows,247,1384
148,jzero_far,16,832
149,jinit_read_bmp,57,936
150,finish_input_bmp,4,512
151,start_input_bmp,1956,5368
152,preload_image,531,2056
153,get_8bit_row,334,1360
154,get_24bit_row,432,1456
155,jinit_read_gif,58,936
156,finish_input_gif,4,512
157,start_input_gif,1483,4160
158,ReadColorMap,229,1464
159,get_pixel_rows,113,1096
160,load_interlaced_image,391,1848
161,LZWReadByte,780,2368
162,get_interlaced_row,426,1896
163,GetCode,428,1688
164,jinit_read_ppm,48,912
165,finish_input_ppm,4,512
166,start_input_ppm,962,3352
167,read_pbm_integer,264,1368
168,get_text_gray_row,85,1024
169,get_word_gray_row,231,1240
170,get_raw_row,66,1024
171,get_scaled_gray_row,294,1328
172,get_word_rgb_row,191,1208
173,get_scaled_rgb_row,351,1464
174,get_text_rgb_row,127,1216
175,read_quant_tables,765,2592
176,read_text_integer,220,1184
177,read_scan_script,1524,3592
178,read_scan_integer,202,1152
179,set_quant_slots,270,1320
180,set_sample_factors,327,1464
181,jinit_read_targa,58,936
182,finish_input_tga,4,512
183,start_input_tga,1396,3832
184,read_non_rle_pixel,71,984
185,read_rle_pixel,222,1248
