id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,70,984,60670,0,0,4346548,984,62261,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,5,808,4408228,0,1,1828113,808,65611,0,1,999999999999,999999999999,999999999999
48,__wasilibc_populate_preopens,183,1296,6236861,0,1,5544771,1296,68071,0,1,999999999999,999999999999,999999999999
29,__wasi_fd_prestat_get,18,824,11782312,0,3,1926044,824,69821,0,3,999999999999,999999999999,999999999999
17,malloc,12,808,13713336,0,6,1791803,808,74601,0,6,999999999999,999999999999,999999999999
18,dlmalloc,6541,9304,15505819,0,8,99785973,9304,75111,0,8,999999999999,999999999999,999999999999
30,__wasi_fd_prestat_dir_name,20,824,115296412,0,2,1971174,824,87151,0,2,999999999999,999999999999,999999999999
45,internal_register_preopened_fd,280,1320,117270856,0,2,5827951,1320,88361,0,2,999999999999,999999999999,999999999999
21,calloc,108,984,123099477,0,2,3354436,984,89371,0,2,999999999999,999999999999,999999999999
94,memset,393,1200,126454993,0,3,9201278,1200,93021,0,3,999999999999,999999999999,999999999999
93,memcpy,1000,1824,135657621,0,15,14710809,1824,95671,0,15,999999999999,999999999999,999999999999
19,free,12,808,150369330,0,5,1731653,808,97501,0,5,999999999999,999999999999,999999999999
20,dlfree,1698,2224,152101723,0,5,23322725,2224,97841,0,5,999999999999,999999999999,999999999999
97,strdup,48,960,175425918,0,2,2516055,960,98971,0,2,999999999999,999999999999,999999999999
98,strlen,178,648,177943043,0,5,4661339,648,99321,0,5,999999999999,999999999999,999999999999
23,__main_void,214,1400,182611122,0,1,4633088,1400,118491,0,1,999999999999,999999999999,999999999999
25,__wasi_args_sizes_get,18,824,187244970,0,1,1794823,824,119091,0,1,999999999999,999999999999,999999999999
24,__wasi_args_get,18,816,189041934,0,1,1891484,816,125501,0,1,999999999999,999999999999,999999999999
16,main,175,1240,190934778,0,1,5237900,1240,128721,0,1,999999999999,999999999999,999999999999
15,crc32file,187,1320,196173668,0,1,5367040,1320,129771,0,1,999999999999,999999999999,999999999999
63,fopen,103,1112,201541578,0,1,3467227,1112,130351,0,1,999999999999,999999999999,999999999999
91,memchr,371,800,205009435,0,3,7906065,800,130921,0,3,999999999999,999999999999,999999999999
44,__fmodeflags,103,1032,212916300,0,1,3111986,1032,132101,0,1,999999999999,999999999999,999999999999
95,strchr,31,864,216029076,0,4,2135504,864,132761,0,4,999999999999,999999999999,999999999999
96,__strchrnul,354,1144,218165480,0,4,7212394,1144,133071,0,4,999999999999,999999999999,999999999999
51,__wasilibc_open_nomode,163,1024,225379094,0,1,3059186,1024,135801,0,1,999999999999,999999999999,999999999999
46,__wasilibc_find_relpath,95,904,228439160,0,1,2418465,904,136551,0,1,999999999999,999999999999,999999999999
47,__wasilibc_find_abspath,313,1408,230858375,0,1,9041547,1408,137241,0,1,999999999999,999999999999,999999999999
92,memcmp,75,584,239901252,0,1,3525677,584,141251,0,1,999999999999,999999999999,999999999999
49,__wasilibc_nocwd_openat_nomode,282,1240,243428259,0,1,5173120,1240,144161,0,1,999999999999,999999999999,999999999999
27,__wasi_fd_fdstat_get,18,824,248602129,0,2,1914734,824,145271,0,2,999999999999,999999999999,999999999999
34,__wasi_path_open,38,992,250522303,0,1,2566715,992,148981,0,1,999999999999,999999999999,999999999999
62,__fdopen,390,1712,253134318,0,1,7187244,1712,176751,0,1,999999999999,999999999999,999999999999
70,__ofl_add,56,952,260325092,0,1,2703045,952,182951,0,1,999999999999,999999999999,999999999999
68,__ofl_lock,9,520,263028867,10000000,3,1571683,520,183381,10000000,3,999999999999,999999999999,999999999999
69,__ofl_unlock,3,512,264601640,0,2,1440332,512,184001,0,2,999999999999,999999999999,999999999999
67,getc,47,864,266043222,370000000,26611201,2574916,864,184751,13090000000,26611201,999999999999,999999999999,999999999999
66,__uflow,85,1032,268618908,0,25989,3269596,1032,185281,0,25989,999999999999,999999999999,999999999999
65,__toread,134,1056,271889224,0,25989,4068798,1056,185771,0,25989,999999999999,999999999999,999999999999
60,__stdio_read,253,1224,275959092,0,25989,5297360,1224,187271,0,25989,999999999999,999999999999,999999999999
59,read,114,984,281257262,0,25989,3151206,984,188191,0,25989,999999999999,999999999999,999999999999
31,__wasi_fd_read,22,824,284409278,0,25989,1918654,824,188911,0,25989,999999999999,999999999999,999999999999
42,ferror,15,536,668089748,0,1,2552425,536,13255285050,0,1,999999999999,999999999999,999999999999
41,fclose,153,1288,670644133,0,1,4831989,1288,13255286641,0,1,999999999999,999999999999,999999999999
43,fflush,361,1648,675476862,0,1,8537347,1648,13255287981,0,1,999999999999,999999999999,999999999999
61,__stdio_close,15,840,684015759,0,1,2060815,840,13255289721,0,1,999999999999,999999999999,999999999999
50,close,35,864,686077973,0,1,2266224,864,13255290370,0,1,999999999999,999999999999,999999999999
26,__wasi_fd_close,16,824,688345147,0,1,1890304,824,13255291221,0,1,999999999999,999999999999,999999999999
40,dummy,4,512,690252951,0,1,1452902,512,13255305491,0,1,999999999999,999999999999,999999999999
80,printf,60,912,691708503,0,1,2284205,912,13255311641,0,1,999999999999,999999999999,999999999999
86,vfprintf,398,1568,693993447,0,1,7056643,1568,13255312851,0,1,999999999999,999999999999,999999999999
87,printf_core,9070,18952,701051001,0,2,212370739,18952,13255314481,0,2,999999999999,999999999999,999999999999
74,__towrite,94,624,913424331,0,1,3346077,624,13255325281,10000000,1,999999999999,999999999999,999999999999
75,__fwritex,234,1368,916771688,0,12,7147854,1368,13255329941,0,12,999999999999,999999999999,999999999999
88,pop_arg,565,1808,923921161,0,3,5858872,1808,13255337521,0,3,999999999999,999999999999,999999999999
