id,name,size.bytecode,size.static
12,__wasm_call_ctors,5,808
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,70,984
15,crc32file,187,1320
16,main,175,1240
17,malloc,12,808
18,dlmalloc,6541,9304
19,free,12,808
20,dlfree,1698,2224
21,calloc,108,984
22,_Exit,13,792
23,__main_void,214,1400
24,__wasi_args_get,18,816
25,__wasi_args_sizes_get,18,824
26,__wasi_fd_close,16,824
27,__wasi_fd_fdstat_get,18,824
28,__wasi_fd_fdstat_set_flags,18,824
29,__wasi_fd_prestat_get,18,824
30,__wasi_fd_prestat_dir_name,20,824
31,__wasi_fd_read,22,824
32,__wasi_fd_seek,22,824
33,__wasi_fd_write,22,824
34,__wasi_path_open,38,992
35,__wasi_proc_exit,12,792
36,abort,5,504
37,sbrk,79,888
38,dummy,3,512
39,__wasm_call_dtors,15,864
40,dummy,4,512
41,fclose,153,1288
42,ferror,15,536
43,fflush,361,1648
44,__fmodeflags,103,1032
45,internal_register_preopened_fd,280,1320
46,__wasilibc_find_relpath,95,904
47,__wasilibc_find_abspath,313,1408
48,__wasilibc_populate_preopens,183,1296
49,__wasilibc_nocwd_openat_nomode,282,1240
50,close,35,864
51,__wasilibc_open_nomode,163,1024
52,fcntl,275,1504
53,__isatty,103,968
54,__lseek,101,976
55,__stdio_seek,18,840
56,writev,115,984
57,__stdio_write,316,1368
58,readv,114,984
59,read,114,984
60,__stdio_read,253,1224
61,__stdio_close,15,840
62,__fdopen,390,1712
63,fopen,103,1112
64,__stdio_exit,389,1712
65,__toread,134,1056
66,__uflow,85,1032
67,getc,47,864
68,__ofl_lock,9,520
69,__ofl_unlock,3,512
70,__ofl_add,56,952
71,dummy,5,512
72,__lctrans,13,808
73,strerror,86,904
74,__towrite,94,624
75,__fwritex,234,1368
76,fwrite,279,1384
77,__overflow,165,1192
78,fputc,70,904
79,perror,177,1320
80,printf,60,912
81,__stdout_write,61,1008
82,wcrtomb,311,856
83,wctomb,26,848
84,frexp,144,1200
85,fputs,38,944
86,vfprintf,398,1568
87,printf_core,9070,18952
88,pop_arg,565,1808
89,pad,159,1168
90,long_double_not_supported,30,856
91,memchr,371,800
92,memcmp,75,584
93,memcpy,1000,1824
94,memset,393,1200
95,strchr,31,864
96,__strchrnul,354,1144
97,strdup,48,960
98,strlen,178,648
99,strnlen,25,880
