id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
16,_start,69,984,76010,0,0,4278038,984,59290,0,0,999999999999,999999999999,999999999999
14,__wasm_call_ctors,6,808,4354859,0,1,1818654,808,62640,0,1,999999999999,999999999999,999999999999
239,__wasilibc_populate_preopens,183,1296,6174022,0,1,5562221,1296,63220,0,1,999999999999,999999999999,999999999999
215,__wasi_fd_prestat_get,18,824,11736883,0,3,1916413,824,65210,0,3,999999999999,999999999999,999999999999
199,malloc,12,808,13657646,0,17,1800084,808,70100,0,17,999999999999,999999999999,999999999999
200,dlmalloc,6541,9304,15458390,0,19,99626732,9304,70820,0,19,999999999999,999999999999,999999999999
216,__wasi_fd_prestat_dir_name,20,824,115089832,0,2,1993123,824,83700,0,2,999999999999,999999999999,999999999999
236,internal_register_preopened_fd,280,1320,117085805,0,2,5816891,1320,84920,0,2,999999999999,999999999999,999999999999
203,calloc,109,984,122903386,0,2,3375007,984,86370,0,2,999999999999,999999999999,999999999999
305,memset,393,1200,126279813,0,1110,9220258,1200,90110,0,1110,999999999999,999999999999,999999999999
304,memcpy,1000,1824,135501351,0,28,14709468,1824,93150,0,28,999999999999,999999999999,999999999999
201,free,12,808,150211719,0,17,1727653,808,95730,0,17,999999999999,999999999999,999999999999
202,dlfree,1698,2224,151940052,0,17,23411765,2224,96080,0,17,999999999999,999999999999,999999999999
308,strdup,48,960,175353117,0,2,2476775,960,97430,0,2,999999999999,999999999999,999999999999
309,strlen,179,648,177830562,0,8,4679739,648,97840,0,8,999999999999,999999999999,999999999999
207,__main_void,214,1400,182516241,0,1,4640649,1400,119390,0,1,999999999999,999999999999,999999999999
209,__wasi_args_sizes_get,18,824,187157670,0,1,1838603,824,120230,0,1,999999999999,999999999999,999999999999
208,__wasi_args_get,18,816,188998343,0,1,1905894,816,128030,0,1,999999999999,999999999999,999999999999
20,main,905,3392,190905487,0,1,13674216,3392,129160,0,1,999999999999,999999999999,999999999999
114,jpeg_std_error,100,640,204580883,0,1,2472805,640,130130,0,1,999999999999,999999999999,999999999999
28,jpeg_CreateDecompress,271,1424,207054478,0,1,5251331,1424,131260,0,1,999999999999,999999999999,999999999999
