id,name,size.bytecode,size.static
14,__wasm_call_ctors,6,808
15,undefined_weak:__wasilibc_find_relpath_alloc,4,504
16,_start,69,984
17,keymatch,126,1032
18,read_stdin,12,528
19,write_stdout,13,528
20,main,905,3392
21,COM_handler,708,2360
22,parse_switches,1597,5048
23,usage,630,2448
24,jpeg_abort,39,920
25,jpeg_destroy,46,912
26,jpeg_alloc_quant_table,35,912
27,jpeg_alloc_huff_table,36,912
28,jpeg_CreateDecompress,271,1424
29,jpeg_destroy_decompress,11,808
30,jpeg_set_marker_processor,99,960
31,jpeg_read_header,123,1160
32,jpeg_consume_input,688,2864
33,jpeg_finish_decompress,237,1448
34,jpeg_start_decompress,543,2184
35,jpeg_read_scanlines,242,1384
36,jpeg_stdio_src,148,1152
37,term_source,4,512
38,skip_input_data,230,1408
39,fill_input_buffer,156,1232
40,init_source,14,544
41,jinit_d_coef_controller,460,1800
42,start_output_pass,431,1488
43,start_input_pass,99,640
44,decompress_data,471,1920
45,consume_data,892,2552
46,decompress_onepass,820,3008
47,dummy_consume_data,6,520
48,decompress_smooth_data,1581,3944
49,jinit_color_deconverter,1269,2952
50,start_pass_dcolor,3,512
51,grayscale_convert,28,872
52,ycc_rgb_convert,309,928
53,null_convert,300,1056
54,ycck_cmyk_convert,343,1064
55,jinit_inverse_dct,166,1208
56,start_pass,869,3616
57,jpeg_make_d_derived_tbl,4031,6928
58,jpeg_fill_bit_buffer,388,1576
59,jpeg_huff_decode,299,1448
60,jinit_huff_decoder,99,960
61,decode_mcu,3733,8016
62,start_pass_huff_decoder,393,1760
63,jinit_input_controller,92,984
64,finish_input_pass,19,536
65,start_input_pass,926,2536
66,reset_input_controller,80,1032
67,consume_markers,929,2808
68,jinit_d_main_controller,521,1952
69,start_pass_main,974,2024
70,process_data_context_main,937,2480
71,process_data_simple_main,116,1184
72,process_data_crank_post,34,888
73,jpeg_resync_to_restart,371,1648
74,next_marker,441,1600
75,jinit_marker_reader,443,1368
76,skip_variable,240,1400
77,read_restart_marker,164,1176
78,read_markers,6409,15288
79,reset_marker_reader,48,608
80,get_app0,1569,3840
81,get_app14,1283,3440
82,get_sof,1308,3472
83,jpeg_calc_output_dimensions,1037,2392
84,jinit_master_decompress,1112,3248
85,finish_output_pass,56,904
86,prepare_for_output_pass,447,1968
87,jinit_merged_upsampler,434,1728
88,start_pass_merged_upsample,29,560
89,h2v2_merged_upsample,682,1520
90,merged_2v_upsample,274,1280
91,h2v1_merged_upsample,463,1144
92,merged_1v_upsample,66,936
93,jinit_phuff_decoder,157,1200
94,start_pass_phuff_decoder,1215,3048
95,decode_mcu_AC_first,867,2528
96,decode_mcu_DC_first,900,2480
97,decode_mcu_AC_refine,1501,3616
98,decode_mcu_DC_refine,511,1824
99,jinit_d_post_controller,178,1328
100,start_pass_dpost,252,1352
101,post_process_1pass,161,1200
102,post_process_prepass,233,1400
103,post_process_2pass,233,1312
104,jinit_upsampler,623,1968
105,sep_upsample,312,1456
106,start_pass_upsample,32,568
107,noop_upsample,10,528
108,fullsize_upsample,11,528
109,h2v1_fancy_upsample,431,1080
110,h2v1_upsample,142,688
111,h2v2_fancy_upsample,1077,1664
112,h2v2_upsample,176,1136
113,int_upsample,486,1784
114,jpeg_std_error,100,640
115,reset_error_mgr,23,552
116,format_message,317,1160
117,output_message,91,1032
118,emit_message,107,992
119,error_exit,38,928
120,jpeg_idct_float,1354,2904
121,jpeg_idct_ifast,1147,2296
122,jpeg_idct_islow,1334,2496
123,jpeg_idct_4x4,1745,2784
124,jpeg_idct_2x2,1100,1960
125,jpeg_idct_1x1,53,600
126,jinit_memory_mgr,384,1704
127,self_destruct,55,1056
128,free_pool,391,1600
129,access_virt_barray,809,2352
130,access_virt_sarray,800,2336
131,realize_virt_arrays,565,1960
132,request_virt_barray,145,1176
133,request_virt_sarray,145,1176
134,alloc_barray,569,1928
135,alloc_sarray,577,1976
136,alloc_large,242,1360
137,alloc_small,431,1656
138,jpeg_get_small,11,824
139,jpeg_free_small,11,824
140,jpeg_get_large,11,824
141,jpeg_free_large,11,824
142,jpeg_mem_available,5,520
143,jpeg_open_backing_store,31,864
144,jpeg_mem_init,5,520
145,jpeg_mem_term,4,512
146,jinit_1pass_quantizer,1532,3192
147,new_color_map_1_quant,31,864
148,finish_pass_1_quant,4,512
149,start_pass_1_quant,1070,2528
150,create_colorindex,581,4240
151,color_quantize3,319,1048
152,color_quantize,559,2024
153,quantize3_ord_dither,369,1000
154,quantize_ord_dither,493,1912
155,quantize_fs_dither,905,2336
156,jinit_2pass_quantizer,442,2024
157,new_color_map_2_quant,15,544
158,start_pass_2_quant,769,3280
159,init_error_limit,469,2568
160,pass2_no_dither,201,1224
161,pass2_fs_dither,866,2280
162,finish_pass2,4,512
163,finish_pass1,1571,3184
164,prescan_quantize,165,728
165,update_box,1354,1968
166,fill_inverse_cmap,4236,5088
167,jdiv_round_up,14,528
168,jround_up,20,528
169,jcopy_sample_rows,247,1384
170,jcopy_block_row,19,832
171,jzero_far,17,832
172,read_color_map,1898,5328
173,read_pbm_integer,266,1368
174,jinit_write_bmp,324,1552
175,finish_output_bmp,1279,3576
176,start_output_bmp,4,512
177,put_gray_rows,291,1416
178,put_pixel_rows,467,1616
179,write_colormap,764,3064
180,jinit_write_gif,318,1576
181,finish_output_gif,363,1624
182,put_pixel_rows,404,1616
183,start_output_gif,49,888
184,emit_header,997,3688
185,output,293,1336
