id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,70,968,61060,0,0,4347639,968,64561,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4409758,0,1,1483332,512,67870,0,1,999999999999,999999999999,999999999999
8,__original_main,223,1224,5893732,0,1,4963381,1224,68461,0,1,999999999999,999999999999,999999999999
9,read,113,968,10857831,0,13307,3120295,968,69941,0,13307,999999999999,999999999999,999999999999
12,__wasi_fd_read,22,824,13980967,0,13307,1929264,824,73481,0,13307,999999999999,999999999999,999999999999
7,adpcm_coder,371,920,15924411,60000000,13306,9290628,920,86181,16250000000,13306,999999999999,999999999999,999999999999
10,write,113,976,25223139,0,13306,3123996,976,1329043,10000000,13306,999999999999,999999999999,999999999999
14,__wasi_fd_write,22,824,28347635,0,13307,1940574,824,1329933,0,13307,999999999999,999999999999,999999999999
18,fprintf,56,904,217314258,0,1,3090856,904,16536345328,0,1,999999999999,999999999999,999999999999
41,vfprintf,398,1568,220407174,0,1,7287864,1568,16536347497,0,1,999999999999,999999999999,999999999999
42,printf_core,9070,18952,227695668,0,2,212035118,18952,16536349228,0,2,999999999999,999999999999,999999999999
24,__towrite,94,624,439733426,0,1,3332206,624,16536371697,0,1,999999999999,999999999999,999999999999
25,__fwritex,234,1368,443067032,0,9,7125234,1368,16536377697,0,9,999999999999,999999999999,999999999999
46,memcpy,1000,1824,450193326,0,9,14698408,1824,16536379328,0,9,999999999999,999999999999,999999999999
43,pop_arg,565,1808,464893394,0,2,5842631,1808,16536388468,0,2,999999999999,999999999999,999999999999
33,__stdio_write,316,1368,470738335,0,1,7097304,1368,16536417928,0,1,999999999999,999999999999,999999999999
32,writev,115,976,477836419,0,1,2930926,976,16536419668,0,1,999999999999,999999999999,999999999999
17,__wasm_call_dtors,15,864,480801415,0,1,1758143,864,16536443888,0,1,999999999999,999999999999,999999999999
16,dummy,3,512,482560288,0,1,1312563,512,16536444358,0,1,999999999999,999999999999,999999999999
23,__stdio_exit,388,1712,483873680,0,1,8210397,1712,16536444828,0,1,999999999999,999999999999,999999999999
22,__ofl_lock,10,520,492084977,10000000,1,1474702,520,16536445418,20000000,1,999999999999,999999999999,999999999999
