id,name,size.bytecode,size.static
5,__wasm_call_ctors,3,512
6,_start,70,968
7,adpcm_coder,371,920
8,__original_main,223,1224
9,read,113,968
10,write,113,976
11,__wasi_fd_close,16,816
12,__wasi_fd_read,22,824
13,__wasi_fd_seek,22,824
14,__wasi_fd_write,22,824
15,__wasi_proc_exit,12,792
16,dummy,3,512
17,__wasm_call_dtors,15,864
18,fprintf,56,904
19,dummy,5,512
20,__lctrans,13,808
21,strerror,86,904
22,__ofl_lock,10,520
23,__stdio_exit,388,1712
24,__towrite,94,624
25,__fwritex,234,1368
26,fwrite,279,1384
27,__overflow,165,1192
28,fputc,70,904
29,perror,177,1320
30,close,34,864
31,__stdio_close,14,840
32,writev,115,976
33,__stdio_write,316,1368
34,__lseek,101,968
35,__stdio_seek,19,840
36,wcrtomb,311,856
37,wctomb,26,848
38,frexp,144,1200
39,fputs,37,944
40,abort,6,504
41,vfprintf,398,1568
42,printf_core,9070,18952
43,pop_arg,565,1808
44,pad,159,1168
45,long_double_not_supported,30,856
46,memcpy,1000,1824
47,memset,394,1200
48,strlen,179,648
49,memchr,371,800
50,strnlen,25,880
