id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
6,_start,70,968,57980,0,0,4354699,968,60900,0,0,999999999999,999999999999,999999999999
5,__wasm_call_ctors,3,512,4413499,0,1,1477113,512,64260,0,1,999999999999,999999999999,999999999999
8,__original_main,223,1224,5891202,0,1,4953269,1224,64760,0,1,999999999999,999999999999,999999999999
9,read,113,968,10845241,0,13307,3106076,968,66220,0,13307,999999999999,999999999999,999999999999
12,__wasi_fd_read,22,824,13954067,0,13307,1940624,824,69150,10000000,13307,999999999999,999999999999,999999999999
7,adpcm_decoder,295,856,15910261,60000000,13306,7775685,856,81060,11930000000,13306,999999999999,999999999999,999999999999
10,write,113,976,23689976,0,13306,3129666,976,1053882,0,13306,999999999999,999999999999,999999999999
14,__wasi_fd_write,22,824,26820132,0,13307,1952344,824,1054742,0,13307,999999999999,999999999999,999999999999
18,fprintf,56,904,186670529,0,1,3111627,904,12226389483,0,1,999999999999,999999999999,999999999999
41,vfprintf,398,1568,189784076,0,1,7358114,1568,12226391673,0,1,999999999999,999999999999,999999999999
42,printf_core,9070,18952,197142770,0,2,211999948,18952,12226393643,0,2,999999999999,999999999999,999999999999
24,__towrite,94,624,409144998,0,1,3369446,624,12226416673,0,1,999999999999,999999999999,999999999999
25,__fwritex,234,1368,412515624,0,9,7110884,1368,12226423323,0,9,999999999999,999999999999,999999999999
46,memcpy,1000,1824,419627568,0,9,14693808,1824,12226425303,0,9,999999999999,999999999999,999999999999
43,pop_arg,565,1808,434322816,0,2,5815522,1808,12226434913,0,2,999999999999,999999999999,999999999999
33,__stdio_write,316,1368,440140817,0,1,7122423,1368,12226464173,0,1,999999999999,999999999999,999999999999
32,writev,115,976,447263941,0,1,2943515,976,12226465823,0,1,999999999999,999999999999,999999999999
17,__wasm_call_dtors,15,864,450242247,0,1,1765124,864,12226490273,0,1,999999999999,999999999999,999999999999
16,dummy,3,512,452008070,0,1,1317803,512,12226490843,0,1,999999999999,999999999999,999999999999
23,__stdio_exit,388,1712,453326713,0,1,8235986,1712,12226491263,0,1,999999999999,999999999999,999999999999
22,__ofl_lock,10,520,461563389,10000000,1,1478702,520,12226491893,10000000,1,999999999999,999999999999,999999999999
